round,agent_id,metric,value
0,0,loss,2.7518308
0,1,loss,3.5435023
0,2,loss,3.621229
0,3,loss,2.9223197
0,4,loss,3.1514587
0,5,loss,2.9805086
0,6,loss,2.9288206
0,7,loss,3.0132353
0,8,loss,3.2926033
0,9,loss,3.121135
1,0,loss,4.2937555
1,1,loss,4.715138
1,2,loss,5.037599
1,3,loss,4.2254868
1,4,loss,4.5449204
1,5,loss,4.067392
1,6,loss,3.7790763
1,7,loss,3.898199
1,8,loss,4.9468045
1,9,loss,4.9121747
2,0,loss,6.6842976
2,1,loss,6.129113
2,2,loss,6.216039
2,3,loss,5.0970855
2,4,loss,7.5479307
2,5,loss,5.6323805
2,6,loss,5.2169237
2,7,loss,6.0591407
2,8,loss,6.004402
2,9,loss,6.381204
3,0,loss,10.015983
3,1,loss,7.352343
3,2,loss,8.020595
3,3,loss,5.7419505
3,4,loss,9.246238
3,5,loss,7.0640283
3,6,loss,6.376923
3,7,loss,7.21262
3,8,loss,6.7479963
3,9,loss,7.3503785
4,0,loss,12.591059
4,1,loss,8.359993
4,2,loss,8.914971
4,3,loss,6.2042856
4,4,loss,10.181228
4,5,loss,7.961084
4,6,loss,7.4966974
4,7,loss,7.803867
4,8,loss,7.7982564
4,9,loss,8.057028
5,0,loss,15.114735
5,1,loss,8.968004
5,2,loss,9.760465
5,3,loss,6.723391
5,4,loss,11.455914
5,5,loss,8.977241
5,6,loss,8.233731
5,7,loss,8.475028
5,8,loss,8.85108
5,9,loss,8.622942
6,0,loss,17.382183
6,1,loss,9.780655
6,2,loss,10.298068
6,3,loss,7.3766985
6,4,loss,12.129925
6,5,loss,10.428841
6,6,loss,8.871158
6,7,loss,9.132056
6,8,loss,10.200808
6,9,loss,9.290972
7,0,loss,19.979498
7,1,loss,10.669343
7,2,loss,10.886571
7,3,loss,8.25004
7,4,loss,12.575747
7,5,loss,11.517839
7,6,loss,9.405467
7,7,loss,9.994293
7,8,loss,11.23335
7,9,loss,10.025841
8,0,loss,21.915136
8,1,loss,11.903394
8,2,loss,11.53067
8,3,loss,9.008319
8,4,loss,13.01837
8,5,loss,12.412239
8,6,loss,10.133314
8,7,loss,10.638723
8,8,loss,12.1207905
8,9,loss,10.802981
9,0,loss,23.377085
9,1,loss,13.8353615
9,2,loss,12.142
9,3,loss,9.357216
9,4,loss,13.534435
9,5,loss,13.20559
9,6,loss,10.591646
9,7,loss,11.037136
9,8,loss,12.751783
9,9,loss,11.32177
