round,agent_id,metric,value
0,0,loss,1.8715937
0,1,loss,2.1078568
0,2,loss,2.3117871
0,3,loss,2.0291154
0,4,loss,1.9869394
0,5,loss,2.174797
0,6,loss,1.9204793
0,7,loss,2.1473982
0,8,loss,2.125586
0,9,loss,2.17321
1,0,loss,1.2335347
1,1,loss,1.3496971
1,2,loss,1.6055816
1,3,loss,1.3304471
1,4,loss,1.2174431
1,5,loss,1.5005442
1,6,loss,1.2351003
1,7,loss,1.4834754
1,8,loss,1.3206921
1,9,loss,1.4330438
2,0,loss,0.67188716
2,1,loss,0.80510813
2,2,loss,0.9566718
2,3,loss,0.66344523
2,4,loss,0.6854654
2,5,loss,0.8791536
2,6,loss,0.7000888
2,7,loss,0.9195859
2,8,loss,0.7761785
2,9,loss,0.75892884
3,0,loss,0.3357931
3,1,loss,0.4101537
3,2,loss,0.48435345
3,3,loss,0.28214598
3,4,loss,0.41192588
3,5,loss,0.4933288
3,6,loss,0.3983832
3,7,loss,0.50033045
3,8,loss,0.41740456
3,9,loss,0.3487368
4,0,loss,0.19320236
4,1,loss,0.21789122
4,2,loss,0.25161967
4,3,loss,0.15576474
4,4,loss,0.23978922
4,5,loss,0.30259746
4,6,loss,0.24969536
4,7,loss,0.24825479
4,8,loss,0.22841688
4,9,loss,0.19105431
5,0,loss,0.14043747
5,1,loss,0.14289536
5,2,loss,0.14749122
5,3,loss,0.1235632
5,4,loss,0.15829125
5,5,loss,0.20255964
5,6,loss,0.1714886
5,7,loss,0.13916509
5,8,loss,0.14944202
5,9,loss,0.13526057
6,0,loss,0.12468457
6,1,loss,0.11959995
6,2,loss,0.110775515
6,3,loss,0.10398329
6,4,loss,0.12023155
6,5,loss,0.1518905
6,6,loss,0.1160687
6,7,loss,0.105212905
6,8,loss,0.12571785
6,9,loss,0.11092302
7,0,loss,0.12483251
7,1,loss,0.11391145
7,2,loss,0.1103844
7,3,loss,0.090249784
7,4,loss,0.108062886
7,5,loss,0.13368566
7,6,loss,0.089933
7,7,loss,0.098002076
7,8,loss,0.11825353
7,9,loss,0.10332392
8,0,loss,0.14495857
8,1,loss,0.123835534
8,2,loss,0.12078964
8,3,loss,0.08997157
8,4,loss,0.11223572
8,5,loss,0.13921677
8,6,loss,0.08766746
8,7,loss,0.10123202
8,8,loss,0.11510973
8,9,loss,0.10298329
9,0,loss,0.16754474
9,1,loss,0.1423086
9,2,loss,0.13159722
9,3,loss,0.091157995
9,4,loss,0.12738693
9,5,loss,0.16082948
9,6,loss,0.10345255
9,7,loss,0.11012731
9,8,loss,0.11453487
9,9,loss,0.104284115
