round,agent_id,metric,value
0,0,loss,26.73494
0,1,loss,12.592195
0,2,loss,14.607979
0,3,loss,15.880986
0,4,loss,9.972038
0,5,loss,6.5246773
0,6,loss,6.470061
0,7,loss,9.938812
0,8,loss,8.5475
0,9,loss,7.9754806
1,0,loss,41.934647
1,1,loss,33.3313
1,2,loss,45.639946
1,3,loss,44.432026
1,4,loss,36.08113
1,5,loss,43.3571
1,6,loss,57.99977
1,7,loss,22.997421
1,8,loss,25.173594
1,9,loss,37.557106
2,0,loss,62.6046
2,1,loss,34.845436
2,2,loss,48.022686
2,3,loss,47.68954
2,4,loss,51.427788
2,5,loss,66.45598
2,6,loss,66.05201
2,7,loss,54.859364
2,8,loss,40.425827
2,9,loss,43.371117
3,0,loss,98.371346
3,1,loss,47.099533
3,2,loss,82.844025
3,3,loss,54.007015
3,4,loss,42.98893
3,5,loss,73.99599
3,6,loss,101.58332
3,7,loss,74.62496
3,8,loss,61.252525
3,9,loss,45.965275
4,0,loss,118.51612
4,1,loss,66.02522
4,2,loss,82.73959
4,3,loss,76.936966
4,4,loss,53.08779
4,5,loss,79.452705
4,6,loss,111.28613
4,7,loss,72.0833
4,8,loss,78.07287
4,9,loss,69.788246
5,0,loss,119.09167
5,1,loss,85.199684
5,2,loss,82.21285
5,3,loss,73.29022
5,4,loss,59.34867
5,5,loss,87.29821
5,6,loss,93.23196
5,7,loss,79.27541
5,8,loss,74.21696
5,9,loss,78.14717
6,0,loss,108.02037
6,1,loss,88.87967
6,2,loss,82.00004
6,3,loss,95.857025
6,4,loss,72.48026
6,5,loss,75.9883
6,6,loss,124.994736
6,7,loss,89.58737
6,8,loss,75.5115
6,9,loss,82.01882
7,0,loss,92.22922
7,1,loss,113.21328
7,2,loss,89.793396
7,3,loss,99.706764
7,4,loss,70.04713
7,5,loss,85.64153
7,6,loss,139.18983
7,7,loss,99.95354
7,8,loss,68.62656
7,9,loss,95.93747
8,0,loss,89.68665
8,1,loss,117.99328
8,2,loss,80.45521
8,3,loss,120.867874
8,4,loss,78.533676
8,5,loss,81.84933
8,6,loss,120.82382
8,7,loss,97.71356
8,8,loss,69.59683
8,9,loss,98.5564
9,0,loss,90.6063
9,1,loss,114.15614
9,2,loss,101.40584
9,3,loss,127.49675
9,4,loss,77.17844
9,5,loss,61.19482
9,6,loss,129.25024
9,7,loss,94.12201
9,8,loss,64.66036
9,9,loss,115.90383
