round,agent_id,metric,value
0,9,loss,2.3920777
0,1,loss,2.4799678
0,3,loss,2.3117237
0,4,loss,2.3858016
0,6,loss,2.36467
0,0,loss,2.1385336
0,8,loss,2.2850187
0,7,loss,2.3987482
0,2,loss,2.1616726
0,5,loss,2.331607
1,1,loss,2.124505
1,8,loss,1.9859105
1,3,loss,2.0857873
1,6,loss,1.7493169
1,4,loss,2.049848
1,5,loss,2.1671069
1,9,loss,2.031974
1,2,loss,1.8108037
1,7,loss,2.207746
1,0,loss,1.8199278
2,6,loss,1.9293102
2,2,loss,2.3618424
2,3,loss,2.9337862
2,5,loss,2.8587468
2,8,loss,2.5308144
2,7,loss,3.2928703
2,0,loss,1.5420977
2,4,loss,1.7462155
2,1,loss,1.5129893
2,9,loss,1.5356772
3,9,loss,1.5728956
3,1,loss,1.6822702
3,7,loss,3.1667356
3,4,loss,2.4018507
3,6,loss,1.7645782
3,8,loss,1.711301
3,3,loss,1.5058395
3,5,loss,1.5261157
3,2,loss,1.730684
3,0,loss,1.2842011
4,9,loss,1.6448684
4,4,loss,1.5242456
4,8,loss,2.052484
4,5,loss,2.4534156
4,3,loss,1.7935876
4,2,loss,1.4123731
4,1,loss,1.2022896
4,0,loss,1.0658873
4,6,loss,1.537272
4,7,loss,1.5766943
5,3,loss,1.1270622
5,7,loss,2.8440568
5,5,loss,1.2496281
5,4,loss,1.1783111
5,8,loss,1.1455694
5,1,loss,1.0364512
5,6,loss,0.96162754
5,0,loss,0.88129526
5,9,loss,1.2032342
5,2,loss,0.9987837
6,9,loss,1.9130795
6,3,loss,1.2432474
6,5,loss,0.7544846
6,8,loss,1.5074868
6,4,loss,1.3222935
6,6,loss,0.8787617
6,0,loss,0.7348764
6,1,loss,0.7627226
6,7,loss,1.5301763
6,2,loss,0.7061553
7,5,loss,0.97864467
7,8,loss,1.647657
7,7,loss,1.3250327
7,3,loss,1.5108606
7,1,loss,0.83406574
7,9,loss,0.9116621
7,2,loss,0.52698094
7,0,loss,0.58569795
7,4,loss,0.7439708
7,6,loss,0.74673915
8,4,loss,1.110553
8,1,loss,0.81636745
8,8,loss,1.5679966
8,3,loss,0.7476772
8,0,loss,0.62593454
8,7,loss,0.7702174
8,5,loss,0.5386571
8,6,loss,0.5471894
8,9,loss,0.6448204
8,2,loss,0.41784653
9,1,loss,0.48335487
9,9,loss,0.51598936
9,6,loss,0.6622959
9,5,loss,1.4153631
9,8,loss,1.4934975
9,3,loss,1.4074347
9,2,loss,0.35028675
9,0,loss,0.44642895
9,4,loss,0.67642397
9,7,loss,0.3566054
