round,agent_id,metric,value
0,9,loss,1.7821045
0,3,loss,1.8282269
0,7,loss,1.7187293
0,1,loss,1.7999995
0,5,loss,1.8066392
0,2,loss,1.7961081
0,8,loss,1.8738496
0,4,loss,1.8760356
0,6,loss,1.91512
0,0,loss,1.9376577
1,9,loss,1.0792228
1,6,loss,1.0249813
1,7,loss,1.07165
1,0,loss,1.2703496
1,8,loss,1.1569066
1,3,loss,1.0543433
1,4,loss,1.2283901
1,5,loss,1.0156642
1,2,loss,0.9691439
1,1,loss,1.1160963
2,7,loss,0.5845846
2,1,loss,0.64522237
2,9,loss,0.9385032
2,3,loss,0.60506284
2,2,loss,0.6806013
2,0,loss,0.6347628
2,5,loss,0.7781591
2,4,loss,1.0734341
2,6,loss,0.7345547
2,8,loss,1.112726
3,4,loss,0.37085402
3,3,loss,0.45700133
3,7,loss,0.3635499
3,2,loss,0.38341916
3,8,loss,0.81169605
3,5,loss,0.5503411
3,6,loss,0.43923265
3,9,loss,0.37862194
3,1,loss,0.4892123
3,0,loss,0.49004757
4,6,loss,0.27432656
4,7,loss,0.27003473
4,4,loss,0.2833389
4,3,loss,0.27090266
4,8,loss,0.48961982
4,2,loss,0.26700443
4,9,loss,0.26429814
4,5,loss,0.2928123
4,0,loss,0.291714
4,1,loss,0.28510916
5,1,loss,0.21630771
5,6,loss,0.22705346
5,9,loss,0.23317266
5,4,loss,0.27139258
5,5,loss,0.2088071
5,0,loss,0.22836392
5,8,loss,0.20837589
5,3,loss,0.24437226
5,2,loss,0.25627193
5,7,loss,0.22930884
6,1,loss,0.18140307
6,3,loss,0.26036435
6,8,loss,0.22829387
6,7,loss,0.18328343
6,6,loss,0.20230342
6,5,loss,0.18897483
6,4,loss,0.20033951
6,2,loss,0.1946648
6,9,loss,0.18133906
6,0,loss,0.18667917
7,0,loss,0.17273775
7,8,loss,0.17411149
7,9,loss,0.15941115
7,6,loss,0.1844683
7,5,loss,0.17721277
7,2,loss,0.16214627
7,4,loss,0.16173695
7,3,loss,0.19314101
7,7,loss,0.16095284
7,1,loss,0.16547798
8,9,loss,0.14436518
8,3,loss,0.16700357
8,0,loss,0.14652419
8,1,loss,0.14857168
8,4,loss,0.15139785
8,6,loss,0.17176211
8,5,loss,0.1497833
8,7,loss,0.1428004
8,2,loss,0.14588448
8,8,loss,0.1587539
9,3,loss,0.13784035
9,6,loss,0.14679423
9,5,loss,0.137907
9,1,loss,0.14017169
9,8,loss,0.15233493
9,0,loss,0.13783829
9,4,loss,0.133215
9,7,loss,0.13079889
9,2,loss,0.13002652
9,9,loss,0.13408053
10,3,loss,0.14049907
10,9,loss,0.124077454
10,8,loss,0.12016226
10,4,loss,0.12570688
10,1,loss,0.12626237
10,7,loss,0.12255556
10,6,loss,0.12936278
10,5,loss,0.12661402
10,0,loss,0.1269471
10,2,loss,0.12572595
11,6,loss,0.114247344
11,1,loss,0.11806319
11,2,loss,0.11692542
11,3,loss,0.13034242
11,5,loss,0.11697345
11,7,loss,0.11559558
11,8,loss,0.108983554
11,4,loss,0.11582768
11,9,loss,0.11907343
11,0,loss,0.1161074
12,7,loss,0.10826876
12,4,loss,0.109625556
12,6,loss,0.10807823
12,2,loss,0.107479125
12,8,loss,0.103652805
12,9,loss,0.11169858
12,5,loss,0.11241883
12,1,loss,0.115386255
12,0,loss,0.103157155
12,3,loss,0.12636322
13,8,loss,0.09917678
13,4,loss,0.10177573
13,6,loss,0.10109939
13,7,loss,0.09749534
13,2,loss,0.097578585
13,3,loss,0.1105514
13,9,loss,0.100515775
13,5,loss,0.10305751
13,0,loss,0.09776356
13,1,loss,0.09949976
14,8,loss,0.095387876
14,9,loss,0.093377575
14,4,loss,0.097238325
14,5,loss,0.09399141
14,3,loss,0.10188924
14,1,loss,0.093738765
14,2,loss,0.09370617
14,7,loss,0.09350432
14,6,loss,0.0966588
14,0,loss,0.09109944
15,9,loss,0.08923664
15,4,loss,0.0950216
15,0,loss,0.08778553
15,3,loss,0.09295464
15,2,loss,0.09020621
15,7,loss,0.08849826
15,5,loss,0.09114634
15,6,loss,0.089748584
15,1,loss,0.092433624
15,8,loss,0.08933456
16,7,loss,0.08566307
16,8,loss,0.08753658
16,2,loss,0.0898971
16,5,loss,0.08657352
16,9,loss,0.08686435
16,3,loss,0.08566406
16,0,loss,0.0875109
16,1,loss,0.09144712
16,4,loss,0.09064223
16,6,loss,0.08552952
17,0,loss,0.08580234
17,8,loss,0.0849998
17,7,loss,0.08634836
17,5,loss,0.08872003
17,6,loss,0.08775731
17,2,loss,0.09243957
17,4,loss,0.0897059
17,1,loss,0.086671636
17,3,loss,0.084454454
17,9,loss,0.08352737
18,2,loss,0.0837558
18,6,loss,0.08429277
18,8,loss,0.08555016
18,9,loss,0.08409251
18,5,loss,0.08349945
18,1,loss,0.08255206
18,4,loss,0.085326605
18,7,loss,0.08254378
18,0,loss,0.08249694
18,3,loss,0.08331987
19,7,loss,0.08318227
19,3,loss,0.08736753
19,6,loss,0.08657529
19,2,loss,0.0819776
19,9,loss,0.083812326
19,5,loss,0.08222685
19,8,loss,0.08271634
19,4,loss,0.08337971
19,0,loss,0.08235595
19,1,loss,0.08087229
