round,agent_id,metric,value
0,4,loss,2.855072700500488
0,1,loss,4.218386821746826
0,0,loss,2.2485517921447755
0,2,loss,4.77799034500122
0,3,loss,4.604700778961182
1,1,loss,1.1183014192581178
1,0,loss,1.1732566814422607
1,2,loss,1.2679202480316163
1,3,loss,1.574014430999756
1,4,loss,1.3162032527923584
2,1,loss,1.1222971858978272
2,4,loss,0.689368857383728
2,2,loss,1.1478656358718873
2,0,loss,0.66935369348526
2,3,loss,1.3502134504318237
3,1,loss,0.5835168652534485
3,2,loss,1.17981516456604
3,3,loss,1.0402970972061156
3,0,loss,0.4983506271839142
3,4,loss,0.8969467167854309
4,2,loss,0.543198814868927
4,1,loss,0.4185767545700073
4,3,loss,0.5686690587997436
4,0,loss,0.398843701839447
4,4,loss,0.6057158942222596
5,3,loss,0.33437370824813845
5,2,loss,0.36445431160926817
5,4,loss,0.4192994236946106
5,0,loss,0.3505024945735931
5,1,loss,0.3196046619415283
6,2,loss,0.23862462759017944
6,0,loss,0.26145959734916685
6,3,loss,0.23075735700130462
6,1,loss,0.25276966905593873
6,4,loss,0.1811642016172409
7,4,loss,0.3036408531665802
7,1,loss,0.17398587942123414
7,3,loss,0.29225121819972993
7,2,loss,0.3398252058029175
7,0,loss,0.1796891211271286
8,0,loss,0.29979991698265074
8,1,loss,0.14786116182804107
8,4,loss,0.16440469992160797
8,3,loss,0.1612719852924347
8,2,loss,0.20217251098155975
9,0,loss,0.15910544657707215
9,3,loss,0.1496306757926941
9,4,loss,0.20027275598049163
9,1,loss,0.1366270009279251
9,2,loss,0.14957447612285615
10,0,loss,0.19589734482765198
10,3,loss,0.13386359620094299
10,2,loss,0.13531274163722992
10,1,loss,0.13004868865013122
10,4,loss,0.18209765183925627
11,4,loss,0.13638407850265502
11,1,loss,0.1254379391670227
11,3,loss,0.12439061033725739
11,0,loss,0.13406709802150726
11,2,loss,0.12274298810958863
12,1,loss,0.11939268982410431
12,2,loss,0.11690373992919922
12,3,loss,0.11790132522583008
12,4,loss,0.11855412077903747
12,0,loss,0.1251442141532898
13,3,loss,0.11238906931877136
13,4,loss,0.10680142199993134
13,2,loss,0.11381046295166015
13,0,loss,0.11221082711219788
13,1,loss,0.11485942912101746
14,4,loss,0.09793915426731109
14,2,loss,0.10483795654773712
14,1,loss,0.10616926729679108
14,3,loss,0.10336007028818131
14,0,loss,0.10340217870473861
15,0,loss,0.09442304128408432
15,3,loss,0.09416060709953308
15,2,loss,0.09994692945480346
15,1,loss,0.09214489996433257
15,4,loss,0.0943233995437622
16,2,loss,0.09454397600889206
16,3,loss,0.08893037766218186
16,4,loss,0.09197370731830597
16,0,loss,0.08087832224369049
16,1,loss,0.08621323770284653
17,4,loss,0.0903819500207901
17,2,loss,0.08904660189151764
17,1,loss,0.08732513231039048
17,3,loss,0.08818581688404083
17,0,loss,0.0719849030971527
18,1,loss,0.07181243795156479
18,4,loss,0.07159227782487869
18,0,loss,0.06981395280361176
18,2,loss,0.07002193093299866
18,3,loss,0.07121561861038209
19,4,loss,0.06881655031442642
19,3,loss,0.06981205624341964
19,0,loss,0.06858363115787507
19,2,loss,0.06923232835531234
19,1,loss,0.07088076376914978
