round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
0,1,100.00%,0.00%,0.8531,"[0.573910653591156, 0.426089346408844]"
1,0,50.00%,50.00%,0.4735,"[0.622805655002594, 0.3771943747997284]"
2,1,66.67%,33.33%,0.8362,"[0.5666530132293701, 0.43334701657295227]"
3,0,50.00%,50.00%,0.5760,"[0.5621208548545837, 0.43787911534309387]"
4,1,60.00%,40.00%,0.7446,"[0.5250656008720398, 0.4749344289302826]"
5,1,66.67%,33.33%,0.8238,"[0.5612319111824036, 0.4387681186199188]"
6,0,57.14%,42.86%,0.4979,"[0.6078034043312073, 0.3921966850757599]"
7,0,50.00%,50.00%,0.5479,"[0.578148603439331, 0.42185136675834656]"
8,0,44.44%,55.56%,0.5756,"[0.5623540878295898, 0.4376458525657654]"
9,1,50.00%,60.00%,0.6469,"[0.4763195812702179, 0.5236804485321045]"
10,1,54.55%,54.55%,0.7610,"[0.5328063368797302, 0.46719372272491455]"
11,1,58.33%,50.00%,0.9201,"[0.6015013456344604, 0.39849868416786194]"
12,1,61.54%,53.85%,0.6134,"[0.4584919214248657, 0.5415080785751343]"
13,1,64.29%,50.00%,0.8700,"[0.5810281038284302, 0.418971985578537]"
14,1,66.67%,46.67%,0.8241,"[0.5613855719566345, 0.43861445784568787]"
15,0,62.50%,50.00%,0.4635,"[0.6291002035140991, 0.37089982628822327]"
16,0,58.82%,52.94%,0.5618,"[0.5701969265937805, 0.42980313301086426]"
17,0,55.56%,55.56%,0.4408,"[0.6435456871986389, 0.3564543128013611]"
18,0,52.63%,57.89%,0.4432,"[0.6419583559036255, 0.3580416142940521]"
19,1,55.00%,55.00%,0.7724,"[0.5381149053573608, 0.4618850350379944]"
20,1,57.14%,52.38%,0.8335,"[0.5654870271682739, 0.4345128834247589]"
21,1,59.09%,50.00%,0.8828,"[0.5863866209983826, 0.4136134088039398]"
22,1,60.87%,47.83%,0.7772,"[0.5403190851211548, 0.4596809148788452]"
23,0,58.33%,50.00%,0.4376,"[0.6456149220466614, 0.3543850779533386]"
24,0,56.00%,52.00%,0.4695,"[0.6253029704093933, 0.3746970593929291]"
25,1,57.69%,53.85%,0.6738,"[0.49021247029304504, 0.5097874999046326]"
26,1,59.26%,51.85%,0.8909,"[0.5896981954574585, 0.4103018641471863]"
27,0,57.14%,53.57%,0.5647,"[0.5685209035873413, 0.4314790964126587]"
28,0,55.17%,55.17%,0.4450,"[0.640831470489502, 0.35916852951049805]"
29,1,56.67%,53.33%,0.8225,"[0.5606533288955688, 0.43934667110443115]"
30,1,58.06%,51.61%,0.8463,"[0.5709921717643738, 0.429007887840271]"
31,0,56.25%,53.12%,0.4651,"[0.6280909180641174, 0.3719090223312378]"
32,0,54.55%,54.55%,0.4209,"[0.6564655303955078, 0.3435344994068146]"
33,0,52.94%,55.88%,0.4629,"[0.6294844150543213, 0.3705156147480011]"
34,1,54.29%,57.14%,0.6610,"[0.483645498752594, 0.5163545608520508]"
35,1,55.56%,58.33%,0.6903,"[0.4985809028148651, 0.5014190673828125]"
36,0,54.05%,59.46%,0.4631,"[0.6293131113052368, 0.3706868290901184]"
37,0,52.63%,60.53%,0.5670,"[0.5672478079795837, 0.43275219202041626]"
38,1,53.85%,61.54%,0.5936,"[0.44768738746643066, 0.5523125529289246]"
39,1,55.00%,60.00%,0.8581,"[0.5760507583618164, 0.4239492118358612]"
40,1,56.10%,60.98%,0.6189,"[0.4614756107330322, 0.5385244488716125]"
41,1,57.14%,59.52%,0.7830,"[0.5429789423942566, 0.45702099800109863]"
42,1,58.14%,58.14%,0.7683,"[0.5361818075180054, 0.4638182520866394]"
43,0,56.82%,59.09%,0.5332,"[0.5867258310317993, 0.41327419877052307]"
44,0,55.56%,60.00%,0.4374,"[0.645721971988678, 0.35427799820899963]"
45,1,56.52%,58.70%,0.8145,"[0.5571281909942627, 0.44287174940109253]"
46,0,55.32%,59.57%,0.4676,"[0.6264899969100952, 0.3735100328922272]"
47,1,56.25%,58.33%,0.8389,"[0.5678127408027649, 0.4321872293949127]"
48,0,55.10%,59.18%,0.5781,"[0.560935378074646, 0.439064621925354]"
49,0,54.00%,60.00%,0.4026,"[0.6685461401939392, 0.3314538896083832]"
50,1,54.90%,60.78%,0.6861,"[0.49644407629966736, 0.503555953502655]"
51,0,53.85%,61.54%,0.5749,"[0.5627380609512329, 0.4372619688510895]"
52,1,54.72%,60.38%,0.7617,"[0.5331370830535889, 0.46686288714408875]"
