round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
0,1,100.00%,100.00%,0.2284,"[0.20417800545692444, 0.7958219647407532]"
1,0,50.00%,50.00%,2.6318,"[0.07194683700799942, 0.9280532002449036]"
2,1,66.67%,66.67%,0.1650,"[0.15207315981388092, 0.8479268550872803]"
3,0,50.00%,50.00%,1.4057,"[0.2451840043067932, 0.7548159956932068]"
4,1,60.00%,60.00%,0.6427,"[0.47411900758743286, 0.5258809328079224]"
5,1,66.67%,66.67%,0.3301,"[0.2811328172683716, 0.7188671827316284]"
6,0,57.14%,57.14%,1.4491,"[0.23477911949157715, 0.7652208209037781]"
7,0,50.00%,50.00%,1.0182,"[0.3612309992313385, 0.6387689709663391]"
8,0,44.44%,44.44%,0.9472,"[0.3878425657749176, 0.61215740442276]"
9,1,50.00%,40.00%,1.3138,"[0.7311928868293762, 0.26880717277526855]"
10,1,54.55%,36.36%,1.1850,"[0.6942479014396667, 0.30575206875801086]"
11,1,58.33%,41.67%,0.6109,"[0.457156777381897, 0.542843222618103]"
12,1,61.54%,38.46%,1.4545,"[0.7664729952812195, 0.23352694511413574]"
13,1,64.29%,42.86%,0.5573,"[0.4272374212741852, 0.5727625489234924]"
14,1,66.67%,46.67%,0.5578,"[0.427518755197525, 0.5724812746047974]"
15,0,62.50%,43.75%,1.6032,"[0.20125538110733032, 0.7987446784973145]"
16,0,58.82%,41.18%,0.7978,"[0.45031943917274475, 0.5496805906295776]"
17,0,55.56%,38.89%,1.5155,"[0.2197074443101883, 0.7802925109863281]"
18,0,52.63%,36.84%,1.3212,"[0.26681363582611084, 0.7331863641738892]"
19,1,55.00%,35.00%,0.8444,"[0.5701923370361328, 0.4298076331615448]"
20,1,57.14%,38.10%,0.6701,"[0.4883360266685486, 0.5116639137268066]"
21,1,59.09%,40.91%,0.6025,"[0.45254313945770264, 0.5474568605422974]"
22,1,60.87%,39.13%,0.8891,"[0.5889762043952942, 0.4110237658023834]"
23,0,58.33%,37.50%,1.4543,"[0.23357495665550232, 0.7664250731468201]"
24,0,56.00%,36.00%,1.2361,"[0.29051223397254944, 0.7094877362251282]"
25,1,57.69%,34.62%,0.8238,"[0.5612220168113708, 0.43877795338630676]"
26,1,59.26%,37.04%,0.5594,"[0.42845824360847473, 0.5715417861938477]"
27,0,57.14%,35.71%,0.8418,"[0.4309139549732208, 0.5690860152244568]"
28,0,55.17%,34.48%,1.2184,"[0.29570797085762024, 0.7042919993400574]"
29,1,56.67%,36.67%,0.6243,"[0.4643687605857849, 0.5356312394142151]"
30,1,58.06%,38.71%,0.5772,"[0.43852272629737854, 0.5614772439002991]"
31,0,56.25%,37.50%,1.1016,"[0.3323516845703125, 0.6676483154296875]"
32,0,54.55%,36.36%,1.1426,"[0.3189939856529236, 0.6810060143470764]"
33,0,52.94%,35.29%,0.9534,"[0.3854407072067261, 0.6145592927932739]"
