round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
0,1,100.00%,0.00%,0.7921,"[0.553906261920929, 0.44609373807907104]"
1,0,50.00%,50.00%,0.7006,"[0.5110891461372375, 0.48891088366508484]"
2,1,66.67%,33.33%,0.7696,"[0.5256028175354004, 0.4743971526622772]"
3,0,50.00%,50.00%,0.6332,"[0.532466471195221, 0.4675334692001343]"
4,1,60.00%,40.00%,0.7753,"[0.5410999059677124, 0.4589000642299652]"
5,1,66.67%,33.33%,0.7592,"[0.5316023826599121, 0.4683976471424103]"
6,0,57.14%,42.86%,0.6588,"[0.5070409774780273, 0.49295905232429504]"
7,0,50.00%,50.00%,0.6556,"[0.5176548957824707, 0.4823451638221741]"
8,0,44.44%,55.56%,0.664,"[0.5167129635810852, 0.4832870066165924]"
9,1,50.00%,50.00%,0.7965,"[0.5482988357543945, 0.45170116424560547]"
10,1,54.55%,45.45%,0.752,"[0.5308401584625244, 0.469159871339798]"
11,1,58.33%,41.67%,0.7159,"[0.5118695497512817, 0.4881304204463959]"
12,1,61.54%,38.46%,0.7964,"[0.5345304608345032, 0.4654695391654968]"
13,1,64.29%,35.71%,0.723,"[0.5151996612548828, 0.4848003685474396]"
14,1,66.67%,33.33%,0.7044,"[0.5043395757675171, 0.4956603944301605]"
15,0,62.50%,31.25%,0.7174,"[0.48533791303634644, 0.5146620869636536]"
16,0,58.82%,29.41%,0.6921,"[0.49873122572898865, 0.501268744468689]"
17,0,55.56%,27.78%,0.7346,"[0.4787735342979431, 0.5212265253067017]"
18,0,52.63%,26.32%,0.75,"[0.47203367948532104, 0.5279662609100342]"
19,1,55.00%,25.00%,0.7032,"[0.5043954253196716, 0.49560457468032837]"
20,1,57.14%,23.81%,0.6892,"[0.5015085339546204, 0.49849140644073486]"
21,1,59.09%,22.73%,0.6826,"[0.5004114508628845, 0.4995885193347931]"
22,1,60.87%,21.74%,0.7034,"[0.5032753944396973, 0.49672460556030273]"
23,0,58.33%,20.83%,0.7427,"[0.47582516074180603, 0.5241748690605164]"
24,0,56.00%,20.00%,0.7436,"[0.47645923495292664, 0.523540735244751]"
25,1,57.69%,23.08%,0.6655,"[0.4882497787475586, 0.5117502212524414]"
26,1,59.26%,25.93%,0.6643,"[0.48570555448532104, 0.514294445514679]"
27,0,57.14%,25.00%,0.7278,"[0.48408886790275574, 0.5159111022949219]"
28,0,55.17%,24.14%,0.7621,"[0.46527227759361267, 0.5347277522087097]"
29,1,56.67%,26.67%,0.6616,"[0.48338061571121216, 0.5166194438934326]"
30,1,58.06%,29.03%,0.6593,"[0.4818255305290222, 0.5181745290756226]"
31,0,56.25%,28.12%,0.7534,"[0.4678068161010742, 0.5321931838989258]"
32,0,54.55%,27.27%,0.7629,"[0.4657970368862152, 0.5342029929161072]"
33,0,52.94%,26.47%,0.7522,"[0.46980300545692444, 0.530197024345398]"
34,1,54.29%,25.71%,0.7054,"[0.5048683881759644, 0.49513161182403564]"
35,1,55.56%,27.78%,0.6707,"[0.48965805768966675, 0.5103419423103333]"
36,0,54.05%,27.03%,0.7473,"[0.4731672704219818, 0.526832640171051]"
37,0,52.63%,26.32%,0.724,"[0.4848514497280121, 0.5151485800743103]"
38,1,53.85%,28.21%,0.6977,"[0.4934910535812378, 0.5065088868141174]"
39,1,55.00%,30.00%,0.6598,"[0.48390939831733704, 0.5160906314849854]"
40,1,56.10%,31.71%,0.6744,"[0.48788145184516907, 0.5121185779571533]"
41,1,57.14%,33.33%,0.6707,"[0.4883666932582855, 0.5116333365440369]"
42,1,58.14%,34.88%,0.6615,"[0.48345011472702026, 0.5165498852729797]"
43,0,56.82%,34.09%,0.7508,"[0.4722854495048523, 0.5277145504951477]"
44,0,55.56%,33.33%,0.7633,"[0.4709872007369995, 0.5290127992630005]"
45,1,56.52%,34.78%,0.6464,"[0.47576695680618286, 0.5242331027984619]"
46,0,55.32%,34.04%,0.7661,"[0.465853750705719, 0.534146249294281]"
47,1,56.25%,35.42%,0.6437,"[0.47599151730537415, 0.5240084528923035]"
48,0,55.10%,34.69%,0.7451,"[0.47598031163215637, 0.524019718170166]"
49,0,54.00%,34.00%,0.7687,"[0.46364498138427734, 0.5363550186157227]"
