round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,hedge_weights
0,1,100.00%,100.00%,0.3139,"[0.2586077153682709, 0.7413923144340515]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421]"
1,0,50.00%,50.00%,1.6237,"[0.19059725105762482, 0.8094027638435364]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421]"
2,1,66.67%,66.67%,0.2317,"[0.21043066680431366, 0.7895693182945251]","[0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541]"
3,0,50.00%,50.00%,1.6192,"[0.1998637616634369, 0.8001362085342407]","[0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541, 0.809999942779541]"
4,1,60.00%,60.00%,0.2433,"[0.22276781499385834, 0.7772321701049805]","[0.7289999127388, 0.7289999127388, 0.7289999127388, 0.7289999127388, 0.7289999127388, 0.7289999127388, 0.7289999127388, 0.7289999127388, 0.7289999127388]"
5,1,66.67%,66.67%,0.2231,"[0.20140302181243896, 0.798596978187561]","[0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556]"
6,0,57.14%,57.14%,1.7447,"[0.19635817408561707, 0.8036418557167053]","[0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556]"
7,0,50.00%,50.00%,1.6845,"[0.18900786340236664, 0.8109921216964722]","[0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556]"
8,0,44.44%,44.44%,1.6229,"[0.19790251553058624, 0.8020974397659302]","[0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556, 0.6560999155044556]"
9,1,50.00%,50.00%,0.2587,"[0.22900302708148956, 0.7709970474243164]","[0.59048992395401, 0.59048992395401, 0.59048992395401, 0.59048992395401, 0.59048992395401, 0.59048992395401, 0.59048992395401, 0.59048992395401, 0.59048992395401]"
10,1,54.55%,54.55%,0.2557,"[0.23347927629947662, 0.7665207386016846]","[0.5314409136772156, 0.5314409136772156, 0.5314409136772156, 0.5314409136772156, 0.5314409136772156, 0.5314409136772156, 0.5314409136772156, 0.5314409136772156, 0.5314409136772156]"
