round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,,1
0,1,100.00%,0.00%,0.7339,"[0.5017743110656738, 0.4982256591320038]",0.7339,
1,0,50.00%,0.00%,2.1046,"[0.13268323242664337, 0.8673167824745178]",2.1046,
2,1,66.67%,33.33%,0.2055,"[0.15829478204250336, 0.8417052626609802]",0.2055,
3,0,50.00%,25.00%,1.8526,"[0.13545390963554382, 0.8645461201667786]",1.8526,
4,1,60.00%,40.00%,0.262,"[0.18780040740966797, 0.812199592590332]",0.262,
5,1,66.67%,50.00%,0.1443,"[0.13685572147369385, 0.8631442189216614]",0.1443,
6,0,57.14%,42.86%,2.107,"[0.17317761480808258, 0.8268223404884338]",2.107,
7,0,50.00%,37.50%,1.9793,"[0.11639733612537384, 0.8836026191711426]",1.9793,
8,0,44.44%,33.33%,1.9902,"[0.13479581475257874, 0.8652042150497437]",1.9902,
9,1,50.00%,40.00%,0.1907,"[0.30049869418144226, 0.6995013356208801]",0.1907,
10,1,54.55%,45.45%,0.2464,"[0.19276945292949677, 0.807230532169342]",0.2464,
11,1,58.33%,50.00%,0.1835,"[0.2101972997188568, 0.7898026704788208]",0.1835,
12,1,61.54%,46.15%,0.4895,"[0.5131750702857971, 0.4868248701095581]",0.4895,
13,1,64.29%,50.00%,0.1973,"[0.12723475694656372, 0.8727651834487915]",0.1973,
14,1,66.67%,53.33%,0.2772,"[0.12188488990068436, 0.8781151175498962]",0.2772,
15,0,62.50%,50.00%,2.2934,"[0.10172713547945023, 0.8982728123664856]",2.2934,
16,0,58.82%,47.06%,2.2247,"[0.10156932473182678, 0.8984307050704956]",2.2247,
17,0,55.56%,44.44%,2.2079,"[0.11113571375608444, 0.888864278793335]",2.2079,
18,0,52.63%,42.11%,2.3545,"[0.1067713126540184, 0.8932287096977234]",2.3545,
19,1,55.00%,45.00%,0.1411,"[0.13617797195911407, 0.8638220429420471]",0.1411,
20,1,57.14%,47.62%,0.1576,"[0.09808697551488876, 0.9019129872322083]",0.1576,
21,1,59.09%,50.00%,0.106,"[0.1161678358912468, 0.8838320970535278]",0.106,
22,1,60.87%,52.17%,0.1781,"[0.11578597873449326, 0.8842139840126038]",0.1781,
23,0,58.33%,50.00%,2.0966,"[0.11360358446836472, 0.8863964676856995]",2.0966,
24,0,56.00%,48.00%,2.1673,"[0.12404027581214905, 0.8759596943855286]",2.1673,
25,1,57.69%,50.00%,0.0743,"[0.12502902746200562, 0.8749710321426392]",0.0743,
26,1,59.26%,51.85%,0.107,"[0.12867724895477295, 0.8713228106498718]",0.107,
27,0,57.14%,50.00%,2.1313,"[0.10141874849796295, 0.8985812067985535]",2.1313,
28,0,55.17%,48.28%,1.9709,"[0.13095740973949432, 0.8690425753593445]",1.9709,
29,1,56.67%,50.00%,0.1259,"[0.12470007687807083, 0.875299870967865]",0.1259,
30,1,58.06%,51.61%,0.128,"[0.13158464431762695, 0.8684154152870178]",0.128,
31,0,56.25%,50.00%,1.9804,"[0.15457306802272797, 0.8454269170761108]",1.9804,
32,0,54.55%,48.48%,1.6886,"[0.18289585411548615, 0.817104160785675]",1.6886,
33,0,52.94%,47.06%,1.6188,"[0.19047772884368896, 0.809522271156311]",1.6188,
34,1,54.29%,48.57%,0.1829,"[0.23440563678741455, 0.7655943632125854]",0.1829,
35,1,55.56%,50.00%,0.1966,"[0.1784507930278778, 0.8215491771697998]",0.1966,
36,0,54.05%,48.65%,1.5908,"[0.24369919300079346, 0.7563008069992065]",1.5908,
37,0,52.63%,47.37%,1.6486,"[0.19324816763401031, 0.8067518472671509]",1.6486,
38,1,53.85%,48.72%,0.1742,"[0.1841268092393875, 0.8158732652664185]",0.1742,
39,1,55.00%,50.00%,0.3072,"[0.25495684146881104, 0.745043158531189]",0.3072,
40,1,56.10%,51.22%,0.1366,"[0.2398177683353424, 0.76018226146698]",0.1366,
41,1,57.14%,52.38%,0.2714,"[0.20284678041934967, 0.7971531748771667]",0.2714,
42,1,58.14%,53.49%,0.2354,"[0.21568283438682556, 0.7843171954154968]",0.2354,
43,0,56.82%,52.27%,1.4363,"[0.24548310041427612, 0.7545168995857239]",1.4363,
44,0,55.56%,51.11%,1.1338,"[0.3354010283946991, 0.6645989418029785]",1.1338,
45,1,56.52%,52.17%,0.2283,"[0.22758373618125916, 0.7724162340164185]",0.2283,
46,0,55.32%,51.06%,1.216,"[0.27012166380882263, 0.7298783659934998]",1.216,
47,1,56.25%,52.08%,0.243,"[0.19243372976779938, 0.807566225528717]",0.243,
48,0,55.10%,51.02%,1.79,"[0.16471700370311737, 0.8352829217910767]",1.79,
49,0,54.00%,50.00%,0.91,"[0.4100196659564972, 0.58998042345047]",0.91,
50,1,54.90%,50.98%,0.1932,"[0.19711323082447052, 0.8028867244720459]",0.1932,
51,0,53.85%,50.00%,1.2866,"[0.23150137066841125, 0.7684985995292664]",1.2866,
52,1,54.72%,50.94%,0.2531,"[0.20936186611652374, 0.7906381487846375]",0.2531,
53,0,53.70%,50.00%,1.0035,"[0.33227720856666565, 0.667722761631012]",1.0035,
54,1,54.55%,50.91%,0.2515,"[0.23133008182048798, 0.768669843673706]",0.2515,
55,1,55.36%,51.79%,0.2092,"[0.17725706100463867, 0.8227429389953613]",0.2092,
56,1,56.14%,52.63%,0.3446,"[0.30444416403770447, 0.6955558657646179]",0.3446,
57,1,56.90%,53.45%,0.1558,"[0.2171257883310318, 0.7828741669654846]",0.1558,
58,1,57.63%,54.24%,0.2981,"[0.2738133668899536, 0.7261866331100464]",0.2981,
59,0,56.67%,53.33%,0.9286,"[0.4002208411693573, 0.5997791886329651]",0.9286,
60,0,55.74%,52.46%,0.706,"[0.4998610019683838, 0.5001389980316162]",0.706,
61,0,54.84%,51.61%,0.7918,"[0.4586066007614136, 0.5413933992385864]",0.7918,
62,0,53.97%,50.79%,1.4144,"[0.18956676125526428, 0.8104332089424133]",1.4144,
63,0,53.12%,50.00%,1.5102,"[0.20809674263000488, 0.7919033169746399]",1.5102,
64,1,53.85%,50.77%,0.2782,"[0.25411590933799744, 0.745884120464325]",0.2782,
65,1,54.55%,51.52%,0.4857,"[0.3689458966255188, 0.6310540437698364]",0.4857,
66,1,55.22%,52.24%,0.2805,"[0.2402341067790985, 0.7597659230232239]",0.2805,
67,0,54.41%,52.94%,0.6632,"[0.529545783996582, 0.4704541862010956]",0.6632,
68,0,53.62%,52.17%,1.3228,"[0.21980641782283783, 0.780193567276001]",1.3228,
69,0,52.86%,51.43%,0.8983,"[0.40504130721092224, 0.5949586629867554]",0.8983,
70,0,52.11%,50.70%,1.2272,"[0.2952212691307068, 0.7047787308692932]",1.2272,
71,0,51.39%,51.39%,0.7521,"[0.5013543367385864, 0.4986456036567688]",0.7521,
72,0,50.68%,52.05%,0.5163,"[0.5894894599914551, 0.4105105996131897]",0.5163,
73,1,51.35%,52.70%,0.6835,"[0.48940569162368774, 0.5105943083763123]",0.6835,
74,0,50.67%,53.33%,0.6171,"[0.5352256894111633, 0.46477434039115906]",0.6171,
75,0,50.00%,53.95%,0.3034,"[0.7360318899154663, 0.2639680504798889]",0.3034,
76,0,49.35%,54.55%,0.1482,"[0.8661542534828186, 0.1338457316160202]",0.1482,
77,0,48.72%,55.13%,0.1804,"[0.8364831805229187, 0.1635167896747589]",0.1804,
78,0,48.10%,55.70%,0.0976,"[0.9101740121841431, 0.08982598036527634]",0.0976,
79,1,48.75%,55.00%,1.217,"[0.6991881132125854, 0.30081185698509216]",1.217,
80,1,49.38%,54.32%,1.2665,"[0.7346290349960327, 0.2653709053993225]",1.2665,
81,0,48.78%,54.88%,0.0588,"[0.934819221496582, 0.0651807114481926]",0.0588,
82,1,49.40%,54.22%,1.6016,"[0.770155131816864, 0.22984489798545837]",1.6016,
83,0,48.81%,54.76%,0.0587,"[0.9377515912055969, 0.06224837154150009]",0.0587,
84,1,49.41%,54.12%,2.2378,"[0.8892906904220581, 0.1107092946767807]",2.2378,
85,0,48.84%,54.65%,0.0522,"[0.9433199763298035, 0.05667997524142265]",0.0522,
86,0,48.28%,55.17%,0.0669,"[0.9403114914894104, 0.05968856066465378]",0.0669,
87,1,48.86%,54.55%,0.9006,"[0.6591546535491943, 0.34084534645080566]",0.9006,
88,1,49.44%,53.93%,1.7622,"[0.8320909142494202, 0.16790911555290222]",1.7622,
89,0,48.89%,54.44%,0.0739,"[0.9154602885246277, 0.08453971892595291]",0.0739,
90,0,48.35%,54.95%,0.0845,"[0.9178913235664368, 0.08210863918066025]",0.0845,
91,1,48.91%,54.35%,2.0893,"[0.8687740564346313, 0.13122586905956268]",2.0893,
92,1,49.46%,54.84%,0.5876,"[0.39271634817123413, 0.6072836518287659]",0.5876,
93,0,48.94%,55.32%,0.095,"[0.9136789441108704, 0.08632107079029083]",0.095,
94,0,48.42%,55.79%,0.0471,"[0.9533482789993286, 0.0466516837477684]",0.0471,
95,0,47.92%,56.25%,0.0889,"[0.914577066898346, 0.08542296290397644]",0.0889,
96,0,47.42%,56.70%,0.0686,"[0.9464677572250366, 0.05353230610489845]",0.0686,
97,1,47.96%,57.14%,0.2776,"[0.2878332734107971, 0.7121667861938477]",0.2776,
98,1,48.48%,56.57%,1.6973,"[0.8266609907150269, 0.17333897948265076]",1.6973,
99,0,48.00%,57.00%,0.2256,"[0.8104227185249329, 0.18957722187042236]",0.2256,
100,0,47.52%,57.43%,0.0735,"[0.9184613823890686, 0.08153858780860901]",0.0735,
101,1,48.04%,56.86%,1.7804,"[0.8467597961425781, 0.15324023365974426]",1.7804,
102,0,47.57%,57.28%,0.4498,"[0.7036978602409363, 0.29630208015441895]",0.4498,
103,0,47.12%,57.69%,0.0766,"[0.9250468611717224, 0.074953094124794]",0.0766,
104,0,46.67%,58.10%,0.3151,"[0.7156667709350586, 0.2843332588672638]",0.3151,
105,1,47.17%,57.55%,1.7646,"[0.8292492032051086, 0.17075075209140778]",1.7646,
106,0,46.73%,57.94%,0.2709,"[0.754275381565094, 0.2457246035337448]",0.2709,
107,1,47.22%,57.41%,1.9403,"[0.8398537039756775, 0.16014637053012848]",1.9403,
108,0,46.79%,57.80%,0.4183,"[0.732602059841156, 0.2673979103565216]",0.4183,
109,1,47.27%,57.27%,1.7229,"[0.8377549648284912, 0.1622450053691864]",1.7229,
110,0,46.85%,57.66%,0.0351,"[0.9653554558753967, 0.034644488245248795]",0.0351,
111,1,47.32%,57.14%,0.9136,"[0.6603010296821594, 0.33969900012016296]",0.9136,
112,0,46.90%,57.52%,0.0503,"[0.9543066024780273, 0.04569333791732788]",0.0503,
113,0,46.49%,57.89%,0.0487,"[0.9543664455413818, 0.04563358053565025]",0.0487,
114,1,46.96%,58.26%,0.0915,"[0.05476216599345207, 0.9452378749847412]",0.0915,
115,1,47.41%,57.76%,2.1641,"[0.8708773851394653, 0.12912265956401825]",2.1641,
116,0,47.01%,58.12%,0.04,"[0.9623234272003174, 0.03767658770084381]",0.04,
117,1,47.46%,58.47%,0.1711,"[0.1843772679567337, 0.8156227469444275]",0.1711,
118,1,47.90%,57.98%,0.7795,"[0.5213960409164429, 0.4786040186882019]",0.7795,
119,0,47.50%,58.33%,0.3024,"[0.6956530809402466, 0.30434685945510864]",0.3024,
120,1,47.93%,58.68%,0.1455,"[0.17202425003051758, 0.8279757499694824]",0.1455,
121,0,47.54%,59.02%,0.0591,"[0.9182565808296204, 0.08174342662096024]",0.0591,
122,1,47.97%,58.54%,0.7389,"[0.5588604211807251, 0.4411395788192749]",0.7389,
123,1,48.39%,58.87%,0.1277,"[0.09399992972612381, 0.9060001373291016]",0.1277,
124,1,48.80%,59.20%,1.024,"[0.4842785596847534, 0.5157214999198914]",1.024,
125,1,49.21%,59.52%,0.1018,"[0.08340255916118622, 0.9165974259376526]",0.1018,
126,1,49.61%,59.84%,0.4875,"[0.4817631244659424, 0.5182368159294128]",0.4875,
127,0,49.22%,60.16%,0.2431,"[0.7620136141777039, 0.23798637092113495]",0.2431,
128,1,49.61%,60.47%,0.0612,"[0.030958818271756172, 0.9690412282943726]",0.0612,
129,1,50.00%,60.77%,0.1848,"[0.16945672035217285, 0.8305432200431824]",0.1848,
130,1,50.38%,61.07%,0.0948,"[0.06948939710855484, 0.9305105805397034]",0.0948,
131,0,50.00%,61.36%,0.5074,"[0.5562216639518738, 0.44377830624580383]",0.5074,
132,1,50.38%,61.65%,0.0433,"[0.027869513258337975, 0.9721304774284363]",0.0433,
133,1,50.75%,61.94%,0.0635,"[0.06739672273397446, 0.9326032996177673]",0.0635,
