round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
0,1,100.00%,100.00%,0.6051,"[0.4538896679878235, 0.5461103320121765]"
1,0,50.00%,50.00%,0.792,"[0.45294883847236633, 0.547051191329956]"
2,1,66.67%,66.67%,0.599,"[0.45066308975219727, 0.549336850643158]"
3,0,50.00%,50.00%,0.7821,"[0.457400381565094, 0.542599618434906]"
4,1,60.00%,60.00%,0.6094,"[0.45616844296455383, 0.5438315868377686]"
5,1,66.67%,66.67%,0.6162,"[0.46178722381591797, 0.5382128357887268]"
6,0,57.14%,57.14%,0.7643,"[0.4648554027080536, 0.5351446270942688]"
7,0,50.00%,50.00%,0.7915,"[0.45629313588142395, 0.5437068343162537]"
8,0,44.44%,44.44%,0.7939,"[0.45118993520736694, 0.5488100051879883]"
9,1,50.00%,50.00%,0.6283,"[0.46261048316955566, 0.5373895764350891]"
10,1,54.55%,54.55%,0.6178,"[0.460673451423645, 0.5393266081809998]"
11,1,58.33%,58.33%,0.6289,"[0.4658317565917969, 0.5341681838035583]"
12,1,61.54%,61.54%,0.6542,"[0.4819253981113434, 0.5180745124816895]"
13,1,64.29%,64.29%,0.6566,"[0.4795256555080414, 0.520474374294281]"
14,1,66.67%,66.67%,0.6527,"[0.4637184143066406, 0.5362815260887146]"
15,0,62.50%,62.50%,0.715,"[0.48818039894104004, 0.51181960105896]"
16,0,58.82%,58.82%,0.7725,"[0.45953357219696045, 0.5404664874076843]"
17,0,55.56%,55.56%,0.7781,"[0.46503373980522156, 0.5349662899971008]"
18,0,52.63%,52.63%,0.8006,"[0.4494032859802246, 0.5505967140197754]"
19,1,55.00%,55.00%,0.5827,"[0.44208014011383057, 0.5579198002815247]"
20,1,57.14%,57.14%,0.6041,"[0.45012110471725464, 0.5498788952827454]"
21,1,59.09%,59.09%,0.6219,"[0.46435534954071045, 0.5356445908546448]"
22,1,60.87%,60.87%,0.6323,"[0.46845611929893494, 0.5315439105033875]"
23,0,58.33%,58.33%,0.7265,"[0.4762316346168518, 0.5237683653831482]"
24,0,56.00%,56.00%,0.7709,"[0.4633661210536957, 0.5366339087486267]"
25,1,57.69%,57.69%,0.6082,"[0.4529019594192505, 0.5470980405807495]"
26,1,59.26%,59.26%,0.5927,"[0.44575807452201843, 0.5542418360710144]"
27,0,57.14%,57.14%,0.7798,"[0.45603758096694946, 0.5439623594284058]"
