round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
0,1,100.00%,100.00%,0.5322,"[0.40856069326400757, 0.5914393663406372]"
1,0,50.00%,50.00%,0.8531,"[0.42468854784965515, 0.5753114223480225]"
2,1,66.67%,66.67%,0.5407,"[0.4211999177932739, 0.5788001418113708]"
3,0,50.00%,50.00%,0.8823,"[0.4153713285923004, 0.5846286416053772]"
4,1,60.00%,60.00%,0.5256,"[0.4116666316986084, 0.5883333683013916]"
5,1,66.67%,66.67%,0.5462,"[0.4205133318901062, 0.579486608505249]"
6,0,57.14%,57.14%,0.8683,"[0.42539212107658386, 0.5746079087257385]"
7,0,50.00%,50.00%,0.874,"[0.41628748178482056, 0.5837125182151794]"
8,0,44.44%,44.44%,0.862,"[0.4180809557437897, 0.5819190740585327]"
9,1,50.00%,50.00%,0.5222,"[0.407682865858078, 0.5923171043395996]"
10,1,54.55%,54.55%,0.5338,"[0.4159451723098755, 0.5840548276901245]"
11,1,58.33%,58.33%,0.5501,"[0.42889419198036194, 0.5711057782173157]"
12,1,61.54%,61.54%,0.5554,"[0.4422791600227356, 0.5577208399772644]"
13,1,64.29%,64.29%,0.5454,"[0.4437396228313446, 0.5562604069709778]"
14,1,66.67%,66.67%,0.5431,"[0.4330346882343292, 0.5669653415679932]"
15,0,62.50%,62.50%,0.781,"[0.4591728150844574, 0.540827214717865]"
16,0,58.82%,58.82%,0.8577,"[0.4164584279060364, 0.5835416316986084]"
17,0,55.56%,55.56%,0.8217,"[0.4390796422958374, 0.5609203577041626]"
18,0,52.63%,52.63%,0.8394,"[0.43162888288497925, 0.5683711767196655]"
19,1,55.00%,55.00%,0.5181,"[0.4082028567790985, 0.5917971730232239]"
20,1,57.14%,57.14%,0.5446,"[0.4197838008403778, 0.5802162289619446]"
21,1,59.09%,59.09%,0.5607,"[0.4291948974132538, 0.5708051323890686]"
22,1,60.87%,60.87%,0.5516,"[0.4232161045074463, 0.5767838954925537]"
23,0,58.33%,58.33%,0.7679,"[0.47350403666496277, 0.5264959335327148]"
24,0,56.00%,56.00%,0.795,"[0.4439237415790558, 0.5560762882232666]"
25,1,57.69%,57.69%,0.5309,"[0.4156018793582916, 0.584398090839386]"
26,1,59.26%,59.26%,0.5482,"[0.42630940675735474, 0.5736905932426453]"
27,0,57.14%,57.14%,0.8352,"[0.4244040548801422, 0.5755959749221802]"
28,0,55.17%,55.17%,0.8166,"[0.4411757290363312, 0.5588242411613464]"
29,1,56.67%,56.67%,0.5589,"[0.42764726281166077, 0.5723526477813721]"
30,1,58.06%,58.06%,0.5607,"[0.4207417368888855, 0.5792582631111145]"
31,0,56.25%,56.25%,0.7655,"[0.47033828496932983, 0.5296617150306702]"
32,0,54.55%,54.55%,0.7644,"[0.4695117473602295, 0.5304881930351257]"
33,0,52.94%,52.94%,0.777,"[0.45393607020378113, 0.5460638403892517]"
34,1,54.29%,54.29%,0.5103,"[0.3949049413204193, 0.6050950288772583]"
35,1,55.56%,55.56%,0.5331,"[0.4542689621448517, 0.5457310080528259]"
36,0,54.05%,54.05%,0.7335,"[0.47524040937423706, 0.5247595906257629]"
37,0,52.63%,52.63%,0.8361,"[0.4202938973903656, 0.579706072807312]"
38,1,53.85%,53.85%,0.5645,"[0.43004289269447327, 0.5699570775032043]"
39,1,55.00%,55.00%,0.6076,"[0.46979856491088867, 0.5302014350891113]"
40,1,56.10%,56.10%,0.5255,"[0.4440900981426239, 0.5559098720550537]"
41,1,57.14%,57.14%,0.6047,"[0.447609007358551, 0.5523910522460938]"
42,1,58.14%,58.14%,0.6154,"[0.45861342549324036, 0.541386604309082]"
43,0,56.82%,56.82%,0.6962,"[0.47590070962905884, 0.5240993499755859]"
44,0,55.56%,55.56%,0.7141,"[0.4883056879043579, 0.5116942524909973]"
45,1,56.52%,56.52%,0.5755,"[0.44103094935417175, 0.5589690208435059]"
46,0,55.32%,57.45%,0.6962,"[0.5062190294265747, 0.4937809407711029]"
47,1,56.25%,58.33%,0.5887,"[0.4650733768939972, 0.53492671251297]"
48,0,55.10%,57.14%,0.7484,"[0.4636085629463196, 0.5363914966583252]"
49,0,54.00%,58.00%,0.6387,"[0.5277383923530579, 0.47226154804229736]"
50,1,54.90%,58.82%,0.5883,"[0.4306876063346863, 0.569312334060669]"
51,0,53.85%,57.69%,0.7922,"[0.4355316758155823, 0.5644683241844177]"
52,1,54.72%,58.49%,0.5732,"[0.4489268362522125, 0.5510731339454651]"
53,0,53.70%,59.26%,0.739,"[0.5107519626617432, 0.48924803733825684]"
54,1,54.55%,60.00%,0.5886,"[0.44584885239601135, 0.5541511178016663]"
55,1,55.36%,60.71%,0.573,"[0.41254743933677673, 0.5874525904655457]"
56,1,56.14%,61.40%,0.6311,"[0.4795115888118744, 0.520488440990448]"
57,1,56.90%,62.07%,0.5975,"[0.40672096610069275, 0.5932790637016296]"
58,1,57.63%,61.02%,0.8234,"[0.5450806617736816, 0.45491930842399597]"
59,0,56.67%,61.67%,0.577,"[0.5620265603065491, 0.4379734694957733]"
60,0,55.74%,62.30%,0.6017,"[0.555351734161377, 0.44464826583862305]"
61,0,54.84%,62.90%,0.6517,"[0.5136568546295166, 0.4863431751728058]"
62,0,53.97%,61.90%,0.865,"[0.44117578864097595, 0.5588242411613464]"
63,0,53.12%,60.94%,0.8352,"[0.4270825982093811, 0.5729173421859741]"
64,1,53.85%,61.54%,0.5779,"[0.4406226575374603, 0.5593773722648621]"
65,1,54.55%,60.61%,0.6372,"[0.5046054124832153, 0.4953945279121399]"
66,1,55.22%,61.19%,0.6833,"[0.4812849462032318, 0.5187150835990906]"
67,0,54.41%,61.76%,0.588,"[0.5721321702003479, 0.4278678297996521]"
68,0,53.62%,60.87%,0.8267,"[0.45321688055992126, 0.5467830896377563]"
69,0,52.86%,60.00%,0.7238,"[0.4975634217262268, 0.5024365782737732]"
70,0,52.11%,59.15%,0.7819,"[0.4681011736392975, 0.5318988561630249]"
71,0,51.39%,58.33%,0.6398,"[0.4571649730205536, 0.542834997177124]"
72,0,50.68%,58.90%,0.6191,"[0.5349817276000977, 0.46501830220222473]"
73,1,51.35%,59.46%,0.6892,"[0.4903262257575989, 0.5096738338470459]"
74,0,50.67%,60.00%,0.7722,"[0.5240759253501892, 0.4759240746498108]"
75,0,50.00%,60.53%,0.5886,"[0.5506060123443604, 0.4493940472602844]"
76,0,49.35%,61.04%,0.5477,"[0.5857551097869873, 0.4142448604106903]"
77,0,48.72%,61.54%,0.5603,"[0.5695862174034119, 0.43041378259658813]"
78,0,48.10%,62.03%,0.5448,"[0.5831408500671387, 0.41685912013053894]"
79,1,48.75%,62.50%,0.6761,"[0.4963489770889282, 0.5036510825157166]"
80,1,49.38%,62.96%,0.7296,"[0.49601563811302185, 0.5039843320846558]"
81,0,48.78%,63.41%,0.4939,"[0.6207495927810669, 0.37925031781196594]"
82,1,49.40%,63.86%,0.7018,"[0.492098867893219, 0.507901132106781]"
83,0,48.81%,64.29%,0.4831,"[0.6130606532096863, 0.3869393467903137]"
84,1,49.41%,63.53%,0.8042,"[0.556752622127533, 0.44324737787246704]"
85,0,48.84%,63.95%,0.4743,"[0.622441291809082, 0.37755873799324036]"
86,0,48.28%,64.37%,0.4917,"[0.6109020113945007, 0.38909804821014404]"
87,1,48.86%,64.77%,0.6089,"[0.43319806456565857, 0.5668019652366638]"
88,1,49.44%,64.04%,0.8098,"[0.5326129198074341, 0.46738702058792114]"
89,0,48.89%,64.44%,0.4991,"[0.621088445186615, 0.378911554813385]"
90,0,48.35%,64.84%,0.4587,"[0.6243079900741577, 0.3756920397281647]"
91,1,48.91%,64.13%,0.777,"[0.5218189358711243, 0.47818103432655334]"
92,1,49.46%,63.44%,0.7961,"[0.5390359163284302, 0.4609641432762146]"
93,0,48.94%,63.83%,0.4845,"[0.6200042366981506, 0.37999579310417175]"
94,0,48.42%,64.21%,0.4775,"[0.6176362037658691, 0.38236376643180847]"
95,0,47.92%,64.58%,0.5582,"[0.5776634812355042, 0.42233648896217346]"
96,0,47.42%,64.95%,0.5123,"[0.5951390266418457, 0.4048609435558319]"
97,1,47.96%,65.31%,0.6387,"[0.46914559602737427, 0.5308544039726257]"
98,1,48.48%,65.66%,0.686,"[0.48802146315574646, 0.5119785666465759]"
99,0,48.00%,65.00%,0.6164,"[0.48863494396209717, 0.5113651156425476]"
100,0,47.52%,65.35%,0.4607,"[0.6246628761291504, 0.3753371238708496]"
101,1,48.04%,64.71%,0.6554,"[0.5991896390914917, 0.4008104205131531]"
102,0,47.57%,65.05%,0.6496,"[0.5179036855697632, 0.4820963740348816]"
103,0,47.12%,65.38%,0.4564,"[0.6360152959823608, 0.3639846742153168]"
104,0,46.67%,65.71%,0.6845,"[0.5657998323440552, 0.4342001676559448]"
105,1,47.17%,65.09%,0.5892,"[0.5937747955322266, 0.4062252342700958]"
106,0,46.73%,65.42%,0.5039,"[0.6170724630355835, 0.3829275667667389]"
107,1,47.22%,65.74%,0.8107,"[0.48361796140670776, 0.5163819789886475]"
108,0,46.79%,66.06%,0.7909,"[0.5190804600715637, 0.4809195399284363]"
109,1,47.27%,65.45%,1.0269,"[0.6347635388374329, 0.36523643136024475]"
110,0,46.85%,65.77%,0.4027,"[0.6637201309204102, 0.33627986907958984]"
111,1,47.32%,65.18%,0.709,"[0.5803415775299072, 0.41965845227241516]"
112,0,46.90%,65.49%,0.4092,"[0.6671459674835205, 0.3328540623188019]"
113,0,46.49%,65.79%,0.4297,"[0.6483723521232605, 0.3516275882720947]"
114,1,46.96%,66.09%,0.4861,"[0.3719887435436249, 0.6280112862586975]"
115,1,47.41%,65.52%,0.768,"[0.5041556358337402, 0.49584436416625977]"
116,0,47.01%,65.81%,0.4144,"[0.6691197156906128, 0.3308803141117096]"
117,1,47.46%,66.10%,0.6018,"[0.44025281071662903, 0.5597471594810486]"
118,1,47.90%,65.55%,0.705,"[0.5219978094100952, 0.4780021607875824]"
119,0,47.50%,65.83%,0.4829,"[0.6028524041175842, 0.39714759588241577]"
120,1,47.93%,66.12%,0.4965,"[0.44802126288414, 0.5519787669181824]"
121,0,47.54%,66.39%,0.4094,"[0.6647933125495911, 0.3352067172527313]"
122,1,47.97%,66.67%,0.7294,"[0.4053424000740051, 0.5946575999259949]"
123,1,48.39%,66.94%,0.5966,"[0.39642733335494995, 0.6035726070404053]"
124,1,48.80%,66.40%,0.9363,"[0.5828499794006348, 0.41714996099472046]"
125,1,49.21%,66.67%,0.6419,"[0.49139419198036194, 0.5086057782173157]"
126,1,49.61%,66.14%,0.7307,"[0.554503858089447, 0.4454961121082306]"
127,0,49.22%,66.41%,0.4464,"[0.6556967496871948, 0.3443032205104828]"
128,1,49.61%,66.67%,0.5406,"[0.3873460590839386, 0.6126539707183838]"
129,1,50.00%,66.15%,0.8162,"[0.544188380241394, 0.4558117091655731]"
130,1,50.38%,66.41%,0.5587,"[0.4285537898540497, 0.5714462399482727]"
131,0,50.00%,66.67%,0.4417,"[0.6432467699050903, 0.3567532002925873]"
132,1,50.38%,66.92%,0.6327,"[0.34790003299713135, 0.6520999670028687]"
133,1,50.75%,67.16%,0.7797,"[0.4691239893436432, 0.5308760404586792]"
134,0,50.37%,67.41%,0.5848,"[0.5552966594696045, 0.4447033703327179]"
135,1,50.74%,66.91%,0.4921,"[0.5178561806678772, 0.4821438789367676]"
136,1,51.09%,67.15%,0.4451,"[0.3624725937843323, 0.6375274658203125]"
137,0,50.72%,66.67%,0.8618,"[0.38477641344070435, 0.6152235865592957]"
138,1,51.08%,66.91%,0.4173,"[0.34552279114723206, 0.6544771790504456]"
139,1,51.43%,67.14%,0.4331,"[0.3518969714641571, 0.6481029391288757]"
140,0,51.06%,66.67%,0.6447,"[0.4441869556903839, 0.5558130145072937]"
141,0,50.70%,66.20%,0.9966,"[0.4227543771266937, 0.5772456526756287]"
142,1,51.05%,66.43%,0.4767,"[0.36750972270965576, 0.6324902176856995]"
143,0,50.69%,66.67%,0.6415,"[0.5302172899246216, 0.4697827398777008]"
144,0,50.34%,66.21%,0.7819,"[0.46840736269950867, 0.5315926671028137]"
145,0,50.00%,65.75%,0.8616,"[0.4531503915786743, 0.5468496084213257]"
146,1,50.34%,65.99%,0.4081,"[0.32557621598243713, 0.6744238138198853]"
147,0,50.00%,65.54%,0.763,"[0.4723084568977356, 0.5276915431022644]"
148,0,49.66%,65.77%,0.7247,"[0.5122585892677307, 0.4877414107322693]"
149,0,49.33%,66.00%,0.7496,"[0.5178089737892151, 0.4821910560131073]"
150,0,49.01%,66.23%,0.6297,"[0.5012262463569641, 0.4987737536430359]"
151,1,49.34%,66.45%,0.4188,"[0.3645487427711487, 0.6354511976242065]"
152,1,49.67%,66.67%,0.4149,"[0.33076417446136475, 0.6692358255386353]"
153,1,50.00%,66.88%,0.5232,"[0.38396233320236206, 0.6160376667976379]"
154,1,50.32%,67.10%,0.5091,"[0.36487436294555664, 0.6351256966590881]"
155,0,50.00%,67.31%,0.4232,"[0.6532345414161682, 0.3467654883861542]"
156,1,50.32%,66.88%,0.7664,"[0.5470171570777893, 0.4529827833175659]"
157,0,50.00%,67.09%,0.4393,"[0.6437851190567017, 0.35621488094329834]"
158,0,49.69%,67.30%,0.7957,"[0.5174137949943542, 0.4825862646102905]"
159,0,49.38%,66.88%,0.6554,"[0.4432615637779236, 0.5567384958267212]"
160,1,49.69%,67.08%,0.4081,"[0.35522761940956116, 0.6447724103927612]"
161,0,49.38%,67.28%,0.4696,"[0.6063201427459717, 0.39367979764938354]"
162,0,49.08%,67.48%,0.4702,"[0.6140817403793335, 0.38591834902763367]"
163,0,48.78%,67.68%,0.688,"[0.5007876753807068, 0.4992123246192932]"
164,0,48.48%,67.27%,0.6892,"[0.41025587916374207, 0.5897440910339355]"
165,0,48.19%,67.47%,0.4426,"[0.6387032270431519, 0.36129674315452576]"
166,1,48.50%,67.07%,0.6456,"[0.5695251822471619, 0.43047481775283813]"
167,1,48.81%,66.67%,0.611,"[0.5518198609352112, 0.4481801390647888]"
168,1,49.11%,66.86%,0.4893,"[0.4889424443244934, 0.5110574960708618]"
169,1,49.41%,66.47%,0.7292,"[0.616096019744873, 0.38390401005744934]"
170,0,49.12%,66.67%,0.6347,"[0.6468152403831482, 0.3531847894191742]"
171,0,48.84%,66.86%,0.3841,"[0.6865488886833191, 0.3134511113166809]"
172,0,48.55%,67.05%,0.3753,"[0.6865899562835693, 0.31341004371643066]"
173,1,48.85%,67.24%,0.5342,"[0.3454133868217468, 0.6545866131782532]"
174,0,48.57%,67.43%,0.366,"[0.6898202896118164, 0.3101797103881836]"
175,0,48.30%,67.61%,0.378,"[0.682852029800415, 0.31714797019958496]"
176,1,48.59%,67.23%,0.6363,"[0.6032212376594543, 0.39677873253822327]"
177,1,48.88%,67.42%,0.5071,"[0.41732925176620483, 0.5826707482337952]"
178,1,49.16%,67.60%,0.5057,"[0.3861117959022522, 0.6138882040977478]"
179,0,48.89%,67.78%,0.4248,"[0.6616801023483276, 0.33831992745399475]"
180,1,49.17%,67.40%,0.8605,"[0.6123193502426147, 0.38768064975738525]"
181,1,49.45%,67.03%,0.7677,"[0.5523399710655212, 0.44766005873680115]"
182,1,49.73%,67.21%,0.484,"[0.4390873312950134, 0.5609126687049866]"
183,1,50.00%,67.39%,0.8259,"[0.4047602713108063, 0.5952396988868713]"
184,0,49.73%,67.57%,0.591,"[0.6297499537467957, 0.37025001645088196]"
185,0,49.46%,67.74%,0.3819,"[0.6872866153717041, 0.3127133846282959]"
186,1,49.73%,67.38%,0.7003,"[0.5376001000404358, 0.4623998701572418]"
187,1,50.00%,67.02%,0.7703,"[0.6602870225906372, 0.3397129774093628]"
188,0,49.74%,67.20%,0.452,"[0.55295729637146, 0.44704267382621765]"
189,1,50.00%,67.37%,0.3973,"[0.3918910622596741, 0.6081089973449707]"
190,1,50.26%,67.54%,0.4094,"[0.3528219759464264, 0.647178053855896]"
191,1,50.52%,67.71%,0.4451,"[0.3543855845928192, 0.6456144452095032]"
192,1,50.78%,67.88%,0.4685,"[0.34596937894821167, 0.6540305614471436]"
