round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
0,1,100.00%,100.00%,0.1637,"[0.1483522355556488, 0.8516477942466736]"
1,0,50.00%,50.00%,2.3163,"[0.10004369169473648, 0.8999562859535217]"
2,1,66.67%,66.67%,0.1342,"[0.11922308057546616, 0.8807770013809204]"
3,0,50.00%,50.00%,1.6240,"[0.2005070000886917, 0.7994929552078247]"
4,1,60.00%,60.00%,0.2032,"[0.1874171495437622, 0.8125828504562378]"
5,1,66.67%,66.67%,0.2499,"[0.21094003319740295, 0.7890599966049194]"
6,0,57.14%,57.14%,1.2387,"[0.29589369893074036, 0.704106330871582]"
7,0,50.00%,50.00%,1.3958,"[0.23935726284980774, 0.7606427669525146]"
8,0,44.44%,44.44%,1.5059,"[0.21421301364898682, 0.785787045955658]"
9,1,50.00%,50.00%,0.2891,"[0.2934859097003937, 0.7065140604972839]"
10,1,54.55%,54.55%,0.2804,"[0.26199930906295776, 0.738000750541687]"
11,1,58.33%,58.33%,0.3328,"[0.26894161105155945, 0.7310583591461182]"
12,1,61.54%,61.54%,0.4925,"[0.3802431523799896, 0.619756817817688]"
13,1,64.29%,64.29%,0.3379,"[0.2905789315700531, 0.7094210386276245]"
14,1,66.67%,66.67%,0.4031,"[0.32844871282577515, 0.6715512871742249]"
15,0,62.50%,62.50%,1.0982,"[0.33961817622184753, 0.6603818535804749]"
16,0,58.82%,58.82%,1.3322,"[0.26207199692726135, 0.737928032875061]"
17,0,55.56%,55.56%,1.5440,"[0.2154620736837387, 0.7845379114151001]"
18,0,52.63%,52.63%,1.7236,"[0.1736648976802826, 0.8263351321220398]"
19,1,55.00%,55.00%,0.2164,"[0.20369859039783478, 0.7963013648986816]"
20,1,57.14%,57.14%,0.2483,"[0.23502033948898315, 0.7649796605110168]"
21,1,59.09%,59.09%,0.3099,"[0.2666478455066681, 0.7333521842956543]"
22,1,60.87%,60.87%,0.4298,"[0.34805724024772644, 0.6519426703453064]"
23,0,58.33%,58.33%,1.0596,"[0.3381602168083191, 0.6618398427963257]"
24,0,56.00%,56.00%,1.3428,"[0.2631272077560425, 0.7368727326393127]"
25,1,57.69%,57.69%,0.3176,"[0.2747122645378113, 0.7252877354621887]"
26,1,59.26%,59.26%,0.3284,"[0.2758495509624481, 0.7241504192352295]"
27,0,57.14%,57.14%,1.1444,"[0.32008934020996094, 0.6799106597900391]"
28,0,55.17%,55.17%,1.3143,"[0.2679423391819, 0.7320576906204224]"
29,1,56.67%,56.67%,0.2714,"[0.22538229823112488, 0.7746177315711975]"
30,1,58.06%,58.06%,0.3796,"[0.321161150932312, 0.6788387894630432]"
31,0,56.25%,56.25%,1.0490,"[0.3479040861129761, 0.6520959734916687]"
32,0,54.55%,54.55%,1.2674,"[0.27919304370880127, 0.7208069562911987]"
33,0,52.94%,52.94%,1.3843,"[0.2502468228340149, 0.7497531771659851]"
34,1,54.29%,54.29%,0.3106,"[0.2732897996902466, 0.7267102003097534]"
35,1,55.56%,55.56%,0.2602,"[0.2939208745956421, 0.7060791254043579]"
36,0,54.05%,54.05%,1.1684,"[0.3123799264431, 0.6876200437545776]"
37,0,52.63%,52.63%,1.2591,"[0.28297802805900574, 0.7170220017433167]"
38,1,53.85%,53.85%,0.3777,"[0.2787773609161377, 0.7212226390838623]"
39,1,55.00%,55.00%,0.3715,"[0.3340778946876526, 0.6659221053123474]"
40,1,56.10%,56.10%,0.4609,"[0.3696011006832123, 0.6303989291191101]"
41,1,57.14%,57.14%,0.4584,"[0.3716025948524475, 0.6283974051475525]"
42,1,58.14%,58.14%,0.4238,"[0.357253760099411, 0.6427462100982666]"
43,0,56.82%,56.82%,1.0168,"[0.35327500104904175, 0.6467249989509583]"
44,0,55.56%,55.56%,1.0565,"[0.3185552954673767, 0.6814447641372681]"
45,1,56.52%,56.52%,0.3589,"[0.2756759524345398, 0.7243240475654602]"
46,0,55.32%,55.32%,1.0805,"[0.34026703238487244, 0.65973299741745]"
47,1,56.25%,56.25%,0.3440,"[0.2999343276023865, 0.7000657320022583]"
48,0,55.10%,55.10%,1.0860,"[0.34015926718711853, 0.6598407030105591]"
49,0,54.00%,54.00%,0.9995,"[0.37069523334503174, 0.6293047070503235]"
50,1,54.90%,54.90%,0.3573,"[0.2710336446762085, 0.7289663553237915]"
51,0,53.85%,53.85%,1.0407,"[0.3590465784072876, 0.6409534811973572]"
52,1,54.72%,54.72%,0.3861,"[0.3255949914455414, 0.674405038356781]"
53,0,53.70%,53.70%,0.9722,"[0.3693244755268097, 0.6306754350662231]"
54,1,54.55%,54.55%,0.4281,"[0.34678107500076294, 0.6532189846038818]"
55,1,55.36%,55.36%,0.3893,"[0.34707608819007874, 0.6529239416122437]"
56,1,56.14%,56.14%,0.4986,"[0.3981477916240692, 0.6018521785736084]"
57,1,56.90%,56.90%,0.4923,"[0.3956216871738434, 0.604378342628479]"
58,1,57.63%,57.63%,0.5414,"[0.41307854652404785, 0.5869214534759521]"
59,0,56.67%,56.67%,0.8239,"[0.4437931478023529, 0.5562068223953247]"
60,0,55.74%,55.74%,0.9209,"[0.4047032296657562, 0.5952968001365662]"
61,0,54.84%,54.84%,0.9504,"[0.383899986743927, 0.616100013256073]"
62,0,53.97%,53.97%,1.1644,"[0.31348955631256104, 0.686510443687439]"
63,0,53.12%,53.12%,1.2262,"[0.337519109249115, 0.662480890750885]"
64,1,53.85%,53.85%,0.3905,"[0.318939208984375, 0.681060791015625]"
65,1,54.55%,54.55%,0.5073,"[0.4014703929424286, 0.5985296368598938]"
66,1,55.22%,55.22%,0.5296,"[0.40927761793136597, 0.590722382068634]"
67,0,54.41%,54.41%,0.7398,"[0.4819833040237427, 0.5180166363716125]"
68,0,53.62%,53.62%,0.8980,"[0.4032246172428131, 0.5967754125595093]"
69,0,52.86%,52.86%,0.9101,"[0.40335363149642944, 0.5966463685035706]"
70,0,52.11%,52.11%,0.9893,"[0.3683992624282837, 0.6316007375717163]"
71,0,51.39%,51.39%,0.8263,"[0.3673837184906006, 0.6326162815093994]"
72,0,50.68%,52.05%,0.5941,"[0.5039950609207153, 0.49600493907928467]"
73,1,51.35%,52.70%,0.7272,"[0.4906412661075592, 0.5093587040901184]"
74,0,50.67%,53.33%,0.6991,"[0.500269889831543, 0.49973005056381226]"
75,0,50.00%,53.95%,0.5875,"[0.5695094466209412, 0.43049049377441406]"
76,0,49.35%,54.55%,0.4694,"[0.6488631963729858, 0.3511367738246918]"
77,0,48.72%,55.13%,0.4435,"[0.6603958606719971, 0.33960410952568054]"
78,0,48.10%,55.70%,0.3126,"[0.739804744720459, 0.2601952850818634]"
79,1,48.75%,55.00%,1.1033,"[0.6639677286148071, 0.33603227138519287]"
80,1,49.38%,54.32%,1.0353,"[0.6453056335449219, 0.3546943664550781]"
81,0,48.78%,54.88%,0.3476,"[0.7094175219535828, 0.2905825078487396]"
82,1,49.40%,54.22%,0.9793,"[0.6669358015060425, 0.33306413888931274]"
83,0,48.81%,54.76%,0.2956,"[0.7379319667816162, 0.2620680034160614]"
84,1,49.41%,54.12%,1.2781,"[0.7103297114372253, 0.28967031836509705]"
85,0,48.84%,54.65%,0.3143,"[0.7284066677093506, 0.27159327268600464]"
86,0,48.28%,55.17%,0.2407,"[0.7770382165908813, 0.22296173870563507]"
87,1,48.86%,54.55%,1.0252,"[0.6287840604782104, 0.37121590971946716]"
88,1,49.44%,53.93%,1.1638,"[0.7029911875724792, 0.29700881242752075]"
89,0,48.89%,54.44%,0.2707,"[0.7027454972267151, 0.2972544729709625]"
90,0,48.35%,54.95%,0.2528,"[0.7762190103530884, 0.2237810492515564]"
91,1,48.91%,54.35%,1.3306,"[0.7356578707695007, 0.26434212923049927]"
92,1,49.46%,53.76%,0.8646,"[0.5690624117851257, 0.43093758821487427]"
93,0,48.94%,54.26%,0.3094,"[0.7359058260917664, 0.26409420371055603]"
94,0,48.42%,54.74%,0.2243,"[0.7866557836532593, 0.21334417164325714]"
95,0,47.92%,55.21%,0.2378,"[0.776709794998169, 0.22329021990299225]"
96,0,47.42%,55.67%,0.2050,"[0.8361855745315552, 0.16381444036960602]"
97,1,47.96%,55.10%,0.9106,"[0.5615651607513428, 0.43843480944633484]"
98,1,48.48%,54.55%,1.2361,"[0.7144663333892822, 0.2855336368083954]"
99,0,48.00%,55.00%,0.3000,"[0.6919893622398376, 0.30801066756248474]"
100,0,47.52%,55.45%,0.2740,"[0.7683145999908447, 0.23168538510799408]"
101,1,48.04%,54.90%,1.3911,"[0.7624725103378296, 0.237527534365654]"
102,0,47.57%,55.34%,0.3464,"[0.6415051817893982, 0.35849475860595703]"
103,0,47.12%,55.77%,0.2755,"[0.7588646411895752, 0.24113541841506958]"
104,0,46.67%,56.19%,0.3539,"[0.7287722229957581, 0.27122771739959717]"
105,1,47.17%,55.66%,1.2839,"[0.7195956707000732, 0.28040432929992676]"
106,0,46.73%,56.07%,0.3709,"[0.6883625984191895, 0.31163740158081055]"
107,1,47.22%,55.56%,1.1546,"[0.7563893795013428, 0.24361062049865723]"
108,0,46.79%,55.96%,0.8270,"[0.7180804014205933, 0.28191956877708435]"
109,1,47.27%,55.45%,1.0529,"[0.6517457962036133, 0.34825417399406433]"
110,0,46.85%,55.86%,0.2594,"[0.7404133677482605, 0.2595866918563843]"
111,1,47.32%,55.36%,0.9801,"[0.6499423980712891, 0.35005757212638855]"
112,0,46.90%,55.75%,0.2823,"[0.7527108192443848, 0.24728916585445404]"
113,0,46.49%,56.14%,0.2613,"[0.7684434056282043, 0.23155660927295685]"
114,1,46.96%,56.52%,0.3165,"[0.2631649971008301, 0.7368350028991699]"
115,1,47.41%,56.03%,1.3636,"[0.7671133279800415, 0.2328866720199585]"
