round,ground_truth,correct_percentage,loss,softmax_output,hedge_weights
0,21,0.00%,3.8068,"[0.008587540127336979, 0.05992083624005318, 0.10895320773124695, 0.10459385812282562, 0.019730746746063232, 0.028331713750958443, 0.023850852623581886, 0.05656091496348381, 0.01597927324473858, 0.04065798223018646, 0.02457340434193611, 0.016944343224167824, 0.008385487832129002, 0.005510566756129265, 0.018294747918844223, 0.03200420364737511, 0.008531315252184868, 0.014740126207470894, 0.06390712410211563, 0.02110733464360237, 0.04449921101331711, 0.020909858867526054, 0.011236319318413734, 0.05874750390648842, 0.02546738088130951, 0.07584558427333832, 0.05327758193016052, 0.028850998729467392]","[0.8288048505783081, 0.17119517922401428]"
1,2,0.00%,2.9836,"[0.04305896908044815, 0.025249946862459183, 0.03651663661003113, 0.017261279746890068, 0.013954748399555683, 0.04135909676551819, 0.022275805473327637, 0.019771916791796684, 0.009064434096217155, 0.08353175967931747, 0.03989306464791298, 0.012424174696207047, 0.05094917491078377, 0.0136713907122612, 0.1012461856007576, 0.04410995915532112, 0.03379523754119873, 0.025251071900129318, 0.0580160915851593, 0.0376562662422657, 0.015043471939861774, 0.0274830162525177, 0.04308108985424042, 0.022250475361943245, 0.03519030660390854, 0.00707631092518568, 0.044842157512903214, 0.07597586512565613]","[0.60065758228302, 0.3993423581123352]"
2,21,0.00%,3.7173,"[0.008464007638394833, 0.05832827091217041, 0.11718843877315521, 0.09543261677026749, 0.017552463337779045, 0.04534204676747322, 0.025502696633338928, 0.04666804149746895, 0.013857368379831314, 0.0654519572854042, 0.021464446559548378, 0.015097749419510365, 0.009500962682068348, 0.0046776761300861835, 0.018697138875722885, 0.03112710267305374, 0.012425695545971394, 0.01566191390156746, 0.06134781613945961, 0.023245953023433685, 0.023230837658047676, 0.023215141147375107, 0.013735266402363777, 0.041696999222040176, 0.036779142916202545, 0.07062733173370361, 0.05462513118982315, 0.029055828228592873]","[0.8455793857574463, 0.15442058444023132]"
3,5,0.00%,4.7980,"[0.009741879999637604, 0.062406931072473526, 0.09863072633743286, 0.08356824517250061, 0.011634394526481628, 0.06453850865364075, 0.026538684964179993, 0.04389221966266632, 0.008444937877357006, 0.07030367851257324, 0.02159721963107586, 0.012881890870630741, 0.017252061516046524, 0.004254103172570467, 0.022966375574469566, 0.034251004457473755, 0.013349069282412529, 0.019223205745220184, 0.06316830962896347, 0.025020958855748177, 0.024106137454509735, 0.02826540544629097, 0.0180019810795784, 0.03486347571015358, 0.027736861258745193, 0.06564034521579742, 0.053702253848314285, 0.03401919826865196]","[0.878160297870636, 0.12183964997529984]"
4,21,0.00%,3.1787,"[0.005096287466585636, 0.03707818686962128, 0.0808086097240448, 0.061835773289203644, 0.011480405926704407, 0.11742248386144638, 0.041957832872867584, 0.03939228132367134, 0.00418058829382062, 0.09708265215158463, 0.0117682795971632, 0.011625674553215504, 0.021578384563326836, 0.003233343828469515, 0.01650996506214142, 0.017557792365550995, 0.022188959643244743, 0.0338384285569191, 0.03680889680981636, 0.029674477875232697, 0.007514285854995251, 0.04169169068336487, 0.02187293767929077, 0.02544061280786991, 0.06484990566968918, 0.07190249115228653, 0.05147405341267586, 0.014134684577584267]","[0.9039508104324341, 0.09604917466640472]"
5,26,0.00%,3.0403,"[0.008455316536128521, 0.0537203773856163, 0.10835706442594528, 0.09701675176620483, 0.0145730497315526, 0.06062988191843033, 0.03180551901459694, 0.051594097167253494, 0.012361206114292145, 0.05723508819937706, 0.021699637174606323, 0.019834373146295547, 0.00950907077640295, 0.003599050920456648, 0.016162440180778503, 0.02185399830341339, 0.008972066454589367, 0.016915535554289818, 0.05714444816112518, 0.02781919576227665, 0.021738175302743912, 0.03104105032980442, 0.016175158321857452, 0.048591308295726776, 0.03605196624994278, 0.07508949190378189, 0.04867228865623474, 0.02338235266506672]","[0.008047748357057571, 0.9919522404670715]"
6,0,0.00%,4.7225,"[0.008707333356142044, 0.04131126403808594, 0.0647556409239769, 0.06509583443403244, 0.01177893579006195, 0.09117631614208221, 0.03277480974793434, 0.036485861986875534, 0.005641416180878878, 0.09669945389032364, 0.021695783361792564, 0.013517600484192371, 0.027811601758003235, 0.0038782318588346243, 0.02204308658838272, 0.025469597429037094, 0.020814506337046623, 0.024272728711366653, 0.04752710461616516, 0.02843262441456318, 0.01246570609509945, 0.054503899067640305, 0.03525053337216377, 0.027160262688994408, 0.04230150580406189, 0.0504671111702919, 0.0649162009358406, 0.023045029491186142]","[0.009478854946792126, 0.9905211925506592]"
7,10,0.00%,4.2155,"[0.009466834366321564, 0.030646683648228645, 0.14777301251888275, 0.12631167471408844, 0.006969660986214876, 0.06760269403457642, 0.05309927091002464, 0.03554488718509674, 0.004519338253885508, 0.036090508103370667, 0.011269526556134224, 0.01888260990381241, 0.018704423680901527, 0.0044049606658518314, 0.02088306099176407, 0.02331276424229145, 0.008925206027925014, 0.02405637316405773, 0.06105167418718338, 0.03905472159385681, 0.025596411898732185, 0.035283491015434265, 0.0178693737834692, 0.03282690420746803, 0.014709662646055222, 0.08072207123041153, 0.03007366508245468, 0.014348478987812996]","[0.0010000000474974513, 0.999190628528595]"
8,6,0.00%,3.2330,"[0.009503467939794064, 0.0387338250875473, 0.10757328569889069, 0.09887594729661942, 0.008165322244167328, 0.09856020659208298, 0.05039369314908981, 0.03342709317803383, 0.0037449048832058907, 0.05255432799458504, 0.012011054903268814, 0.017046961933374405, 0.025438696146011353, 0.003608820727095008, 0.02015935629606247, 0.02735861763358116, 0.010781395249068737, 0.025468382984399796, 0.05889606848359108, 0.041971076279878616, 0.017637886106967926, 0.0399150624871254, 0.023356057703495026, 0.029223496094346046, 0.01660122536122799, 0.06662974506616592, 0.04438816383481026, 0.017975885421037674]","[0.0010000000474974513, 0.9992572665214539]"
9,17,0.00%,4.1768,"[0.01089034229516983, 0.036600735038518906, 0.07070478051900864, 0.08319561183452606, 0.014967063441872597, 0.02075190655887127, 0.01955307461321354, 0.036040280014276505, 0.01292949728667736, 0.06708096712827682, 0.04942440986633301, 0.011291743256151676, 0.02302318811416626, 0.009124789386987686, 0.0376431867480278, 0.03821149095892906, 0.01802031509578228, 0.014442095533013344, 0.06973691284656525, 0.019708609208464622, 0.04928307235240936, 0.05175361782312393, 0.024739962071180344, 0.03783271089196205, 0.02378355711698532, 0.03628905117511749, 0.07642070949077606, 0.03655635565519333]","[0.0010000000474974513, 0.9999101758003235]"
10,2,0.00%,2.5691,"[0.01019000168889761, 0.03998347744345665, 0.07358120381832123, 0.07674823701381683, 0.013956435024738312, 0.039361003786325455, 0.02559901401400566, 0.039821550250053406, 0.008953404612839222, 0.07977518439292908, 0.03867415711283684, 0.011894969269633293, 0.02349701337516308, 0.006106516811996698, 0.029438871890306473, 0.03098241426050663, 0.017943456768989563, 0.01892140321433544, 0.06091633066534996, 0.02234455943107605, 0.027984069660305977, 0.055074989795684814, 0.02922983467578888, 0.035108331590890884, 0.032597243785858154, 0.04176899790763855, 0.07756220549345016, 0.031985171139240265]","[0.0010000000474974513, 0.9990741014480591]"
11,0,0.00%,4.5664,"[0.002894313307479024, 0.028491226956248283, 0.018580477684736252, 0.03768998757004738, 0.011113314889371395, 0.10292965918779373, 0.03204531595110893, 0.026839150115847588, 0.0030196949373930693, 0.08426772803068161, 0.022174406796693802, 0.019827496260404587, 0.06299325078725815, 0.0030825939029455185, 0.013172917999327183, 0.020481672137975693, 0.012198908254504204, 0.037282656878232956, 0.02137606032192707, 0.04956196993589401, 0.015239358879625797, 0.08634485304355621, 0.030739976093173027, 0.04191399738192558, 0.05470437556505203, 0.033828407526016235, 0.11160538345575333, 0.015600806102156639]","[0.0010000000474974513, 0.9999977350234985]"
12,18,0.00%,2.6496,"[0.015514034777879715, 0.08745578676462173, 0.02834775671362877, 0.04347293823957443, 0.031409185379743576, 0.056835416704416275, 0.022306712344288826, 0.03849118575453758, 0.015668364241719246, 0.05405857786536217, 0.029599180445075035, 0.015944765880703926, 0.03541780635714531, 0.01212312187999487, 0.022332096472382545, 0.06577586382627487, 0.018372606486082077, 0.02130487561225891, 0.04024672508239746, 0.023386213928461075, 0.036832962185144424, 0.026731867343187332, 0.02340901456773281, 0.03153161332011223, 0.015272748656570911, 0.03777787461876869, 0.08758574724197388, 0.0627950057387352]","[0.0010000000474974513, 0.9996075630187988]"
13,17,0.00%,4.1175,"[0.008760704658925533, 0.03242632746696472, 0.08079815655946732, 0.08950319141149521, 0.0169427078217268, 0.051321957260370255, 0.04928519204258919, 0.044933103024959564, 0.01305314339697361, 0.04677615314722061, 0.03162635862827301, 0.03302161023020744, 0.013805209659039974, 0.00462917797267437, 0.01672137901186943, 0.01943676359951496, 0.00969143956899643, 0.018545523285865784, 0.04811079055070877, 0.042087629437446594, 0.025663848966360092, 0.05380968376994133, 0.02290099300444126, 0.053872790187597275, 0.03263605758547783, 0.05050816014409065, 0.06503082811832428, 0.02410108968615532]","[0.0010000000474974513, 1.0]"
