round,ground_truth,correct_percentage,loss,softmax_output,hedge_weights
0,10,0.00%,4.0549,"[0.008447874337434769, 0.02938736230134964, 0.010067783296108246, 0.05189356207847595, 0.10668595135211945, 0.004496637266129255, 0.005567766260355711, 0.01406177133321762, 0.04131132364273071, 0.06239178031682968, 0.017187904566526413, 0.00921996682882309, 0.023403825238347054, 0.1589895784854889, 0.019270047545433044, 0.009131143800914288, 0.02244979329407215, 0.027750542387366295, 0.04944197088479996, 0.09615088999271393, 0.0018935413099825382, 0.006237308494746685, 0.05538446456193924, 0.03525060787796974, 0.047843463718891144, 0.006689754314720631, 0.014445081353187561, 0.06494834274053574]","[0.1990216076374054, 0.22063998878002167, 0.1641218066215515, 0.12682078778743744, 0.12973983585834503, 0.15965594351291656]"
1,26,0.00%,3.3701,"[0.020519014447927475, 0.029682204127311707, 0.014328123070299625, 0.05300077795982361, 0.045370038598775864, 0.009777206927537918, 0.004696243442595005, 0.015595528297126293, 0.056787505745887756, 0.04909319058060646, 0.02208591252565384, 0.016896281391382217, 0.012180515564978123, 0.08739569783210754, 0.027904381975531578, 0.01631452888250351, 0.038158904761075974, 0.024041539058089256, 0.05237909406423569, 0.06729351729154587, 0.0034245133865624666, 0.011112062260508537, 0.03975406289100647, 0.017680983990430832, 0.18318627774715424, 0.010907732881605625, 0.03519411385059357, 0.03524009883403778]","[0.14169149100780487, 0.2034035176038742, 0.2071332484483719, 0.1829673945903778, 0.11527983099222183, 0.14952452480793]"
2,19,0.00%,2.8063,"[0.0237432848662138, 0.027404410764575005, 0.013341059908270836, 0.05148923397064209, 0.04319760948419571, 0.012569548562169075, 0.004039450082927942, 0.01350508350878954, 0.054233748465776443, 0.03461699187755585, 0.029469506815075874, 0.015008615329861641, 0.01236406248062849, 0.06837543100118637, 0.02902052365243435, 0.019220571964979172, 0.03372280299663544, 0.02918410301208496, 0.04779592528939247, 0.06089983507990837, 0.00427682651206851, 0.013451691716909409, 0.03737127035856247, 0.014879834838211536, 0.2233525514602661, 0.010971393436193466, 0.042328912764787674, 0.030165769159793854]","[0.19270966947078705, 0.14574721455574036, 0.2294357717037201, 0.1539023071527481, 0.09320062398910522, 0.18500441312789917]"
3,3,0.00%,3.1591,"[0.022322792559862137, 0.024511320516467094, 0.012970766983926296, 0.04335218667984009, 0.0405660904943943, 0.011914555914700031, 0.003829079680144787, 0.012932458892464638, 0.05892808362841606, 0.03310026228427887, 0.030504044145345688, 0.01848846860229969, 0.013140375725924969, 0.06684324145317078, 0.02956419810652733, 0.021233050152659416, 0.03896617516875267, 0.02983328513801098, 0.03857942298054695, 0.07215201109647751, 0.00441483361646533, 0.013537179678678513, 0.03303423151373863, 0.01601787470281124, 0.2174132615327835, 0.011840350925922394, 0.051169924437999725, 0.02884048782289028]","[0.24590033292770386, 0.0902734100818634, 0.24361220002174377, 0.14599953591823578, 0.19527196884155273, 0.07894252985715866]"
4,7,0.00%,3.9375,"[0.024918707087635994, 0.019951321184635162, 0.012498056516051292, 0.04235383868217468, 0.04122283309698105, 0.0121727604418993, 0.004896414931863546, 0.01494697853922844, 0.05102885887026787, 0.03696314990520477, 0.028524164110422134, 0.02106224186718464, 0.013657964766025543, 0.06679672747850418, 0.028524259105324745, 0.022748928517103195, 0.05313358083367348, 0.024333588778972626, 0.04252734035253525, 0.0760524719953537, 0.00423058308660984, 0.01238969061523676, 0.03571925684809685, 0.019100073724985123, 0.18642155826091766, 0.015026462264358997, 0.05947275087237358, 0.02932542748749256]","[0.17846757173538208, 0.3229513168334961, 0.0973358303308487, 0.10121927410364151, 0.1723790168762207, 0.1276470273733139]"
5,21,0.00%,4.4105,"[0.02317604050040245, 0.02063247561454773, 0.012759971432387829, 0.04407487437129021, 0.04159129410982132, 0.013389910571277142, 0.004061488434672356, 0.013544755056500435, 0.05290331691503525, 0.03032110445201397, 0.03533674404025078, 0.018063433468341827, 0.012918488122522831, 0.06464353948831558, 0.028604144230484962, 0.023509947583079338, 0.044720351696014404, 0.031021179631352425, 0.03600693866610527, 0.07818213105201721, 0.0043878015130758286, 0.013134801760315895, 0.03331386297941208, 0.015788380056619644, 0.20353253185749054, 0.01213779579848051, 0.05878695100545883, 0.029455838724970818]","[0.2780168652534485, 0.13451600074768066, 0.19471096992492676, 0.08756909519433975, 0.19319118559360504, 0.11199585348367691]"
6,4,0.00%,3.1168,"[0.02393031306564808, 0.02029627375304699, 0.012006520293653011, 0.04619159549474716, 0.04240882396697998, 0.01188318245112896, 0.004725400824099779, 0.013418572954833508, 0.049554258584976196, 0.03321487456560135, 0.03194639831781387, 0.018523847684264183, 0.01281525008380413, 0.06309284269809723, 0.030730070546269417, 0.027082059532403946, 0.04473423585295677, 0.026762478053569794, 0.03788657858967781, 0.07939457148313522, 0.004470873158425093, 0.015085255727171898, 0.03495515137910843, 0.017045794054865837, 0.19443511962890625, 0.013889205642044544, 0.06386429071426392, 0.025656184181571007]","[0.15969273447990417, 0.23526912927627563, 0.20033127069473267, 0.07120490819215775, 0.19160641729831696, 0.141895592212677]"
7,26,0.00%,2.8065,"[0.022089878097176552, 0.020675526931881905, 0.01117277517914772, 0.04677620530128479, 0.04689106345176697, 0.013336608186364174, 0.004469743929803371, 0.014210780151188374, 0.04776274785399437, 0.029344528913497925, 0.03898952156305313, 0.015088656917214394, 0.01350580807775259, 0.0661226436495781, 0.02903931960463524, 0.0254230760037899, 0.04048433527350426, 0.032788533717393875, 0.039070792496204376, 0.08081258088350296, 0.004449066706001759, 0.014982009306550026, 0.0351780541241169, 0.016643716022372246, 0.18791909515857697, 0.012495004571974277, 0.06081336364150047, 0.029464513063430786]","[0.1560937911272049, 0.19810783863067627, 0.20226047933101654, 0.21635764837265015, 0.062339525669813156, 0.1648407280445099]"
8,7,0.00%,4.1429,"[0.025586888194084167, 0.016332076862454414, 0.011792609468102455, 0.04371350258588791, 0.052772440016269684, 0.013132493942975998, 0.00493207760155201, 0.017869237810373306, 0.0387585312128067, 0.036256320774555206, 0.034244392067193985, 0.01783098094165325, 0.015079082921147346, 0.06683140993118286, 0.030056143179535866, 0.023021820932626724, 0.05813194066286087, 0.0282613392919302, 0.04207593575119972, 0.08690452575683594, 0.004279089625924826, 0.012846507132053375, 0.036005642265081406, 0.020855112001299858, 0.14761124551296234, 0.01598246768116951, 0.06867074221372604, 0.030165430158376694]","[0.22576196491718292, 0.13243022561073303, 0.20264805853366852, 0.08457901328802109, 0.15254107117652893, 0.20203973352909088]"
9,14,0.00%,3.5158,"[0.023505860939621925, 0.017140764743089676, 0.0110319247469306, 0.046234194189310074, 0.052834346890449524, 0.01252746768295765, 0.004326974507421255, 0.016418371349573135, 0.03822266310453415, 0.03591187298297882, 0.03645896539092064, 0.016489816829562187, 0.014197254553437233, 0.0679970309138298, 0.029975121840834618, 0.02713766321539879, 0.04641098156571388, 0.03218939155340195, 0.03998716175556183, 0.08457264304161072, 0.004256593994796276, 0.01598261296749115, 0.035530611872673035, 0.01902100071310997, 0.15529637038707733, 0.013612226583063602, 0.07572657614946365, 0.02700350061058998]","[0.17880727350711823, 0.13207150995731354, 0.21577049791812897, 0.08638451993465424, 0.24203947186470032, 0.14492666721343994]"
10,25,0.00%,4.2342,"[0.030321504920721054, 0.01740286499261856, 0.012195304967463017, 0.05565063655376434, 0.05322881415486336, 0.014807840809226036, 0.005069586914032698, 0.019237909466028214, 0.029793063178658485, 0.03911780193448067, 0.03424800932407379, 0.016835691407322884, 0.014826825819909573, 0.061670172959566116, 0.028224017471075058, 0.03150500729680061, 0.04703887179493904, 0.030767666175961494, 0.049979206174612045, 0.059232860803604126, 0.0048719048500061035, 0.018592868000268936, 0.04189958795905113, 0.018012559041380882, 0.1456892043352127, 0.013458098284900188, 0.08242751657962799, 0.023894697427749634]","[0.16270339488983154, 0.13732612133026123, 0.16543801128864288, 0.15108095109462738, 0.09008245915174484, 0.29336902499198914]"
11,10,0.00%,3.3572,"[0.026614507660269737, 0.015433547087013721, 0.01070691179484129, 0.04402514919638634, 0.06073596701025963, 0.011589724570512772, 0.005072451662272215, 0.019382692873477936, 0.03337067365646362, 0.038255415856838226, 0.032369911670684814, 0.017973799258470535, 0.017838582396507263, 0.06485483795404434, 0.030917951837182045, 0.023660577833652496, 0.05861189216375351, 0.0261961929500103, 0.04598613083362579, 0.08607205003499985, 0.004376161843538284, 0.013866239227354527, 0.03840988129377365, 0.024636005982756615, 0.12754738330841064, 0.018148627132177353, 0.07535190135240555, 0.02799481339752674]","[0.11693789809942245, 0.18491820991039276, 0.21565964818000793, 0.24610453844070435, 0.07720600068569183, 0.15917372703552246]"
12,26,0.00%,2.4228,"[0.030138853937387466, 0.014421987347304821, 0.010831008665263653, 0.04637746885418892, 0.05880754441022873, 0.01379392296075821, 0.0047047995030879974, 0.01954561099410057, 0.026550251990556717, 0.03804996609687805, 0.03510107845067978, 0.0168078001588583, 0.015666363760828972, 0.05712481588125229, 0.034832049161195755, 0.02858009748160839, 0.05415841192007065, 0.03062521107494831, 0.04424367845058441, 0.0767800509929657, 0.005067914258688688, 0.018384696915745735, 0.034749411046504974, 0.021446652710437775, 0.13007056713104248, 0.018093876540660858, 0.09250807017087936, 0.022537782788276672]","[0.10477960854768753, 0.1640050709247589, 0.18692609667778015, 0.29183056950569153, 0.18346327543258667, 0.068995401263237]"
13,3,0.00%,3.2092,"[0.029756197705864906, 0.01222510077059269, 0.009845416061580181, 0.04015245661139488, 0.05429936572909355, 0.014117333106696606, 0.005599332042038441, 0.019375059753656387, 0.026196209713816643, 0.03235337510704994, 0.03792380169034004, 0.017647357657551765, 0.015213491395115852, 0.04923366382718086, 0.036290884017944336, 0.034158799797296524, 0.0615515299141407, 0.026671210303902626, 0.040590424090623856, 0.08189481496810913, 0.005522759631276131, 0.019191676750779152, 0.03392490744590759, 0.021571528166532516, 0.12372306734323502, 0.02341780997812748, 0.10758377611637115, 0.019968729466199875]","[0.1973392367362976, 0.20752988755702972, 0.09506551921367645, 0.2617368996143341, 0.05525101348757744, 0.18307745456695557]"
14,8,0.00%,3.6516,"[0.036785684525966644, 0.011915665119886398, 0.008152474649250507, 0.042300838977098465, 0.046621281653642654, 0.01644469052553177, 0.005891541950404644, 0.016938121989369392, 0.01953798159956932, 0.022936519235372543, 0.038343753665685654, 0.017067082226276398, 0.015225524082779884, 0.035178292542696, 0.034745216369628906, 0.0494978129863739, 0.059498101472854614, 0.02567663975059986, 0.04246024787425995, 0.057759176939725876, 0.0072117215022444725, 0.026812607422471046, 0.032207898795604706, 0.01809702068567276, 0.13953706622123718, 0.02476424165070057, 0.13476742804050446, 0.01362534798681736]","[0.17412340641021729, 0.0945626050233841, 0.19708260893821716, 0.21177874505519867, 0.06524777412414551, 0.2572047710418701]"
