round,ground_truth,correct_percentage,loss,prediction,hedge_weights
0,7,0.00%,3.5075,10,"[0.949999988079071, 0.05000000074505806]"
1,4,0.00%,3.8489,10,"[0.949999988079071, 0.05000000074505806]"
2,3,0.00%,3.6847,10,"[0.949999988079071, 0.05000000074505806]"
3,26,0.00%,3.6582,10,"[0.949999988079071, 0.05000000074505806]"
4,19,0.00%,3.2165,10,"[0.949999988079071, 0.05000000074505806]"
5,17,0.00%,4.2343,10,"[0.949999988079071, 0.05000000074505806]"
6,10,14.29%,1.7581,10,"[0.949999988079071, 0.05000000074505806]"
7,2,12.50%,3.1394,10,"[0.949999988079071, 0.05000000074505806]"
8,24,11.11%,3.2479,10,"[0.949999988079071, 0.05000000074505806]"
9,17,10.00%,3.8298,10,"[0.949999988079071, 0.05000000074505806]"
10,12,9.09%,3.4191,10,"[0.949999988079071, 0.05000000074505806]"
11,11,8.33%,4.4955,10,"[0.949999988079071, 0.05000000074505806]"
12,2,7.69%,2.9617,10,"[0.949999988079071, 0.05000000074505806]"
13,13,7.14%,4.5473,10,"[0.949999988079071, 0.05000000074505806]"
14,27,6.67%,4.4209,10,"[0.949999988079071, 0.05000000074505806]"
15,6,6.25%,4.1930,10,"[0.949999988079071, 0.05000000074505806]"
16,2,5.88%,2.6813,10,"[0.949999988079071, 0.05000000074505806]"
17,13,5.56%,4.2891,10,"[0.949999988079071, 0.05000000074505806]"
18,8,5.26%,3.1502,10,"[0.949999988079071, 0.05000000074505806]"
19,0,5.00%,3.6894,10,"[0.949999988079071, 0.05000000074505806]"
20,13,4.76%,4.0937,10,"[0.949999988079071, 0.05000000074505806]"
21,20,4.55%,4.4143,10,"[0.949999988079071, 0.05000000074505806]"
22,5,4.35%,4.0161,10,"[0.949999988079071, 0.05000000074505806]"
23,10,8.33%,2.1289,10,"[0.949999988079071, 0.05000000074505806]"
24,9,8.00%,3.2505,10,"[0.949999988079071, 0.05000000074505806]"
25,4,7.69%,2.8727,10,"[0.949999988079071, 0.05000000074505806]"
26,12,7.41%,3.1145,10,"[0.949999988079071, 0.05000000074505806]"
27,24,7.14%,3.1169,10,"[0.949999988079071, 0.05000000074505806]"
28,7,6.90%,3.1641,10,"[0.949999988079071, 0.05000000074505806]"
29,2,6.67%,2.2850,10,"[0.949999988079071, 0.05000000074505806]"
30,9,6.45%,3.3579,10,"[0.949999988079071, 0.05000000074505806]"
31,5,6.25%,3.9957,10,"[0.949999988079071, 0.05000000074505806]"
32,2,9.09%,2.3641,2,"[0.949999988079071, 0.05000000074505806]"
33,17,8.82%,4.2026,2,"[0.949999988079071, 0.05000000074505806]"
34,15,8.57%,4.9401,2,"[0.949999988079071, 0.05000000074505806]"
35,17,8.33%,4.0029,2,"[0.949999988079071, 0.05000000074505806]"
36,21,8.11%,4.5262,2,"[0.949999988079071, 0.05000000074505806]"
37,12,7.89%,2.7684,2,"[0.949999988079071, 0.05000000074505806]"
38,13,7.69%,4.0738,2,"[0.949999988079071, 0.05000000074505806]"
39,21,7.50%,4.6624,2,"[0.949999988079071, 0.05000000074505806]"
40,12,7.32%,2.7012,2,"[0.949999988079071, 0.05000000074505806]"
41,6,7.14%,3.8045,2,"[0.949999988079071, 0.05000000074505806]"
42,27,6.98%,3.9185,2,"[0.949999988079071, 0.05000000074505806]"
43,15,6.82%,4.8100,2,"[0.949999988079071, 0.05000000074505806]"
44,12,6.67%,2.4857,2,"[0.949999988079071, 0.05000000074505806]"
45,10,6.52%,2.3351,2,"[0.949999988079071, 0.05000000074505806]"
46,2,8.51%,2.0016,2,"[0.949999988079071, 0.05000000074505806]"
47,16,8.33%,4.3312,2,"[0.949999988079071, 0.05000000074505806]"
48,13,8.16%,4.1060,2,"[0.949999988079071, 0.05000000074505806]"
49,14,8.00%,5.2794,2,"[0.949999988079071, 0.05000000074505806]"
50,8,7.84%,3.7127,2,"[0.949999988079071, 0.05000000074505806]"
51,10,7.69%,2.3131,2,"[0.949999988079071, 0.05000000074505806]"
52,17,7.55%,4.0741,2,"[0.949999988079071, 0.05000000074505806]"
53,14,7.41%,5.1732,2,"[0.949999988079071, 0.05000000074505806]"
54,0,7.27%,3.7898,2,"[0.949999988079071, 0.05000000074505806]"
55,3,7.14%,3.1964,2,"[0.949999988079071, 0.05000000074505806]"
56,18,7.02%,3.9264,2,"[0.949999988079071, 0.05000000074505806]"
57,13,6.90%,3.9761,2,"[0.949999988079071, 0.05000000074505806]"
58,8,6.78%,3.4195,2,"[0.949999988079071, 0.05000000074505806]"
59,19,6.67%,3.0717,2,"[0.949999988079071, 0.05000000074505806]"
60,9,6.56%,3.1782,2,"[0.949999988079071, 0.05000000074505806]"
61,14,6.45%,5.0509,2,"[0.949999988079071, 0.05000000074505806]"
62,4,6.35%,2.7701,2,"[0.949999988079071, 0.05000000074505806]"
63,25,6.25%,4.7327,2,"[0.949999988079071, 0.05000000074505806]"
64,26,6.15%,3.4094,2,"[0.949999988079071, 0.05000000074505806]"
65,26,6.06%,3.2846,2,"[0.949999988079071, 0.05000000074505806]"
66,25,5.97%,4.7331,2,"[0.949999988079071, 0.05000000074505806]"
67,1,5.88%,4.7416,2,"[0.949999988079071, 0.05000000074505806]"
68,14,5.80%,4.6980,2,"[0.949999988079071, 0.05000000074505806]"
69,22,5.71%,4.2444,2,"[0.949999988079071, 0.05000000074505806]"
70,12,7.04%,2.3463,12,"[0.949999988079071, 0.05000000074505806]"
71,19,6.94%,3.0592,12,"[0.949999988079071, 0.05000000074505806]"
72,4,6.85%,2.5724,12,"[0.949999988079071, 0.05000000074505806]"
73,19,6.76%,3.1810,12,"[0.949999988079071, 0.05000000074505806]"
74,10,6.67%,3.1257,12,"[0.949999988079071, 0.05000000074505806]"
75,1,6.58%,4.6284,12,"[0.949999988079071, 0.05000000074505806]"
76,6,6.49%,3.5364,12,"[0.949999988079071, 0.05000000074505806]"
