round,ground_truth,correct_percentage,loss,prediction,agent0hw,agent1hw
0,24,0.00%,3.3396,0,0.949999988,0.050000001
1,5,0.00%,4.7568,14,0.050000001,0.949999988
2,20,0.00%,4.2565,0,0.050000001,0.949999988
3,9,0.00%,3.2856,21,0.050000001,0.949999988
4,15,0.00%,3.8051,2,0.050000001,0.949999988
5,8,0.00%,3.348,3,0.050000001,0.949999988
6,5,0.00%,4.7047,14,0.050000001,0.949999988
7,5,0.00%,4.149,3,0.050000001,0.949999988
8,6,0.00%,2.6312,14,0.050000001,0.949999988
9,2,0.00%,4.0533,19,0.050000001,0.949999988
10,11,0.00%,3.5713,2,0.050000001,0.949999988
11,4,0.00%,4.4358,3,0.050000001,0.949999988
12,16,0.00%,3.7778,21,0.050000001,0.949999988
13,3,0.00%,2.5019,0,0.050000001,0.949999988
14,14,0.00%,2.922,11,0.050000001,0.949999988
15,17,0.00%,2.7237,0,0.050000001,0.949999988
16,9,0.00%,2.8077,11,0.050000001,0.949999988
17,15,0.00%,3.3415,11,0.050000001,0.949999988
18,12,0.00%,5.1421,3,0.050000001,0.949999988
19,2,0.00%,2.9792,0,0.050000001,0.949999988
20,6,0.00%,3.273,14,0.050000001,0.949999988
21,13,0.00%,3.0876,3,0.050000001,0.949999988
22,10,0.00%,2.784,0,0.050000001,0.949999988
23,26,0.00%,4.3128,11,0.050000001,0.949999988
24,24,0.00%,2.5732,3,0.050000001,0.949999988
25,2,0.00%,2.4402,19,0.050000001,0.949999988
26,3,0.00%,2.415,11,0.050000001,0.949999988
27,14,0.00%,2.8829,3,0.050000001,0.949999988
28,11,0.00%,2.9224,3,0.050000001,0.949999988
29,0,0.00%,2.8884,3,0.050000001,0.949999988
30,5,0.00%,3.4913,14,0.050000001,0.949999988
31,9,0.00%,3.7228,3,0.050000001,0.949999988
32,14,0.00%,3.2455,11,0.050000001,0.949999988
33,23,0.00%,4.1346,10,0.050000001,0.949999988
34,13,0.00%,2.813,24,0.050000001,0.949999988
35,7,0.00%,4.3539,11,0.050000001,0.949999988
36,1,0.00%,4.8863,0,0.050000001,0.949999988
37,5,0.00%,2.9406,14,0.050000001,0.949999988
38,14,0.00%,2.7368,5,0.050000001,0.949999988
39,18,0.00%,3.3504,21,0.050000001,0.949999988
40,14,0.00%,2.6885,11,0.050000001,0.949999988
41,26,0.00%,2.8995,3,0.050000001,0.949999988
42,3,2.33%,2.7489,3,0.050000001,0.949999988
