round,ground_truth,fused_pred,fused_correct,loss,correct_percentage,agent0_hw,agent1_hw,agent0_pred,agent0_correct,agent1_pred,agent1_correct
0,1,27,0,3.0945,0.00%,0.5002723336219788,0.49972763657569885,1,1,1,1
1,0,13,0,2.7894,0.00%,0.5002707242965698,0.4997292757034302,0,1,0,1
2,3,27,0,2.2019,0.00%,0.5259542465209961,0.4740457832813263,3,1,6,0
3,24,0,0,2.8928,0.00%,0.5270196795463562,0.4729802906513214,24,1,24,1
4,16,3,0,3.7430,0.00%,0.526775598526001,0.473224401473999,16,1,16,1
5,1,0,0,2.4189,0.00%,0.5270897746086121,0.47291022539138794,1,1,1,1
6,11,27,0,3.8959,0.00%,0.533111035823822,0.466888964176178,11,1,11,1
7,15,3,0,3.3095,0.00%,0.5348215699195862,0.46517840027809143,15,1,15,1
8,14,0,0,3.7490,0.00%,0.534569263458252,0.46543073654174805,14,1,14,1
9,17,3,0,4.5954,0.00%,0.5330419540405273,0.46695801615715027,17,1,17,1
10,20,27,0,3.9307,0.00%,0.5365890264511108,0.4634109437465668,20,1,20,1
11,0,13,0,2.3878,0.00%,0.5365576148033142,0.4634423851966858,0,1,0,1
12,1,0,0,2.3739,0.00%,0.5383772850036621,0.4616226851940155,1,1,1,1
13,12,27,0,3.9338,0.00%,0.5399109125137329,0.4600890874862671,12,1,12,1
14,13,26,0,3.4585,0.00%,0.5404508709907532,0.45954909920692444,13,1,13,1
15,11,27,0,3.6025,0.00%,0.5455564260482788,0.4544435739517212,11,1,11,1
16,13,26,0,3.3558,0.00%,0.54449462890625,0.4555053412914276,13,1,13,1
17,5,0,0,3.3279,0.00%,0.5441921353340149,0.4558079242706299,5,1,5,1
18,15,3,0,3.0818,0.00%,0.5450572371482849,0.45494282245635986,15,1,15,1
19,16,3,0,3.3791,0.00%,0.5452923774719238,0.4547075927257538,16,1,16,1
20,4,10,0,4.8901,0.00%,0.5456894636154175,0.45431050658226013,4,1,4,1
21,23,3,0,3.5110,0.00%,0.5692763328552246,0.4307236671447754,23,1,18,0
22,0,13,0,2.1619,0.00%,0.5690657496452332,0.43093425035476685,0,1,0,1
23,1,1,1,2.0149,4.17%,0.5684952735900879,0.4315047264099121,1,1,1,1
24,7,15,0,4.3376,4.00%,0.5696427226066589,0.43035730719566345,7,1,7,1
25,16,3,0,3.1844,3.85%,0.5696853995323181,0.4303146004676819,16,1,16,1
26,26,15,0,3.4498,3.70%,0.5991270542144775,0.40087294578552246,26,1,7,0
27,5,0,0,3.1645,3.57%,0.5993844270706177,0.4006155729293823,5,1,5,1
28,7,15,0,3.9216,3.45%,0.611905574798584,0.388094425201416,7,1,26,0
29,2,10,0,4.0600,3.33%,0.6119816303253174,0.38801833987236023,2,1,2,1
30,27,6,0,2.9514,3.23%,0.6233527660369873,0.3766472637653351,27,1,9,0
31,1,1,1,1.9168,6.25%,0.6218424439430237,0.37815752625465393,1,1,1,1
32,8,0,0,3.2188,6.06%,0.6269999146461487,0.3730001151561737,8,1,8,1
33,3,3,1,1.7034,8.82%,0.6276493668556213,0.3723506033420563,3,1,3,1
34,27,1,0,2.4958,8.57%,0.6295115947723389,0.3704884350299835,27,1,27,1
35,4,10,0,4.5303,8.33%,0.629529595375061,0.37047043442726135,4,1,4,1
36,0,13,0,2.0295,8.11%,0.6294212937355042,0.3705786466598511,0,1,0,1
37,17,3,0,4.3196,7.89%,0.6273873448371887,0.3726126551628113,17,1,17,1
38,7,15,0,3.8000,7.69%,0.6279718279838562,0.3720281422138214,7,1,7,1
39,5,0,0,2.9663,7.50%,0.6311904191970825,0.3688095211982727,5,1,5,1
40,5,0,0,2.8266,7.32%,0.6291998624801636,0.3708001375198364,5,1,5,1
41,12,0,0,3.7910,7.14%,0.6287491917610168,0.37125080823898315,12,1,12,1
42,4,10,0,4.3502,6.98%,0.6305107474327087,0.36948922276496887,4,1,4,1
43,21,0,0,2.6629,6.82%,0.6308985948562622,0.3691014051437378,21,1,21,1
44,25,0,0,4.6415,6.67%,0.6362398266792297,0.36376020312309265,25,1,25,1
45,19,3,0,3.6867,6.52%,0.6376675367355347,0.36233246326446533,19,1,19,1
46,0,0,1,1.8600,8.51%,0.6444119215011597,0.35558804869651794,0,1,0,1
47,16,3,0,4.2382,8.33%,0.6643824577331543,0.3356175720691681,16,1,25,0
48,10,0,0,2.7417,8.16%,0.6673109531402588,0.3326890170574188,10,1,10,1
49,16,3,0,2.8681,8.00%,0.6675708293914795,0.3324292302131653,16,1,16,1
50,11,0,0,3.3429,7.84%,0.6700683832168579,0.3299315869808197,11,1,11,1
51,21,0,0,2.5427,7.69%,0.6694623827934265,0.3305376172065735,21,1,21,1
52,0,0,1,1.8593,9.43%,0.6685994267463684,0.3314005732536316,0,1,0,1
53,11,0,0,3.3041,9.26%,0.6780470609664917,0.3219529092311859,11,1,20,0
54,27,1,0,2.3374,9.09%,0.6724541187286377,0.3275458812713623,27,1,27,1
55,15,0,0,2.9079,8.93%,0.6806562542915344,0.31934377551078796,15,1,15,1
56,15,3,0,2.9246,8.77%,0.6952080130577087,0.30479201674461365,15,1,3,0
57,27,6,0,2.8436,8.62%,0.702639639377594,0.297360360622406,27,1,9,0
58,13,26,0,2.8737,8.47%,0.7054212689399719,0.2945787012577057,13,1,13,1
59,19,3,0,3.4367,8.33%,0.7065000534057617,0.29349997639656067,19,1,19,1
60,1,1,1,1.9023,9.84%,0.7200677394866943,0.27993226051330566,1,1,18,0
61,6,15,0,5.2590,9.68%,0.7212954759597778,0.27870455384254456,6,1,6,1
62,21,0,0,2.3483,9.52%,0.7214365601539612,0.27856341004371643,21,1,21,1
63,6,15,0,4.7022,9.38%,0.7350298762321472,0.26497015357017517,6,1,3,0
64,13,26,0,2.7766,9.23%,0.736406147480011,0.2635939121246338,13,1,13,1
65,25,10,0,4.5407,9.09%,0.75270015001297,0.24729983508586884,25,1,2,0
66,20,0,0,3.9134,8.96%,0.7612388730049133,0.23876111209392548,20,1,11,0
67,10,15,0,2.4637,8.82%,0.7657843232154846,0.23421567678451538,10,1,10,1
68,11,0,0,3.1090,8.70%,0.7694092988967896,0.23059071600437164,11,1,11,1
69,8,0,0,2.9197,8.57%,0.7707043886184692,0.22929559648036957,8,1,8,1
70,21,0,0,2.0809,8.45%,0.7704474925994873,0.2295524924993515,21,1,21,1
71,17,3,0,4.2067,8.33%,0.7700241804122925,0.22997578978538513,17,1,17,1
72,11,27,0,2.9713,8.22%,0.7732735276222229,0.2267264574766159,11,1,11,1
73,3,3,1,1.7573,9.46%,0.7795669436454773,0.2204331010580063,3,1,3,1
74,20,0,0,3.7499,9.33%,0.7866146564483643,0.21338535845279694,20,1,11,0
75,8,0,0,2.6904,9.21%,0.7821417450904846,0.2178582102060318,8,1,8,1
76,13,26,0,2.7850,9.09%,0.7853678464889526,0.21463215351104736,13,1,13,1
77,8,0,0,2.6055,8.97%,0.7840716242790222,0.21592837572097778,8,1,8,1
78,1,1,1,1.8175,10.13%,0.7861231565475464,0.2138768434524536,1,1,1,1
79,6,15,0,4.3243,10.00%,0.7916671633720398,0.20833280682563782,6,1,6,1
80,5,0,0,2.6097,9.88%,0.8234495520591736,0.1765504628419876,5,1,22,0
81,13,26,0,2.4981,9.76%,0.8281506896018982,0.1718492954969406,13,1,13,1
82,27,6,0,2.8512,9.64%,0.835207998752594,0.1647920161485672,27,1,9,0
83,12,13,0,3.9615,9.52%,0.8338121175765991,0.1661878526210785,12,1,12,1
84,2,10,0,3.7466,9.41%,0.8337141871452332,0.16628585755825043,2,1,2,1
85,20,3,0,3.4304,9.30%,0.8450350761413574,0.15496495366096497,20,1,3,0
86,15,3,0,2.5195,9.20%,0.8450384736061096,0.154961496591568,15,1,15,1
87,5,5,1,2.1138,10.23%,0.8523852229118347,0.1476147472858429,5,1,7,0
88,6,15,0,3.5327,10.11%,0.8574154376983643,0.14258457720279694,6,1,6,1
89,1,1,1,1.8052,11.11%,0.8580291867256165,0.14197079837322235,1,1,1,1
90,17,8,0,4.0209,10.99%,0.8570695519447327,0.14293046295642853,17,1,17,1
91,0,13,0,2.2090,10.87%,0.8565162420272827,0.14348377287387848,0,1,0,1
92,14,27,0,3.2848,10.75%,0.86026930809021,0.13973067700862885,14,1,14,1
93,7,15,0,3.4741,10.64%,0.8603112697601318,0.13968876004219055,7,1,7,1
94,8,0,0,2.2510,10.53%,0.8602742552757263,0.13972574472427368,8,1,8,1
95,19,3,0,3.1369,10.42%,0.860299825668335,0.13970020413398743,19,1,19,1
96,19,3,0,2.8618,10.31%,0.8627347946166992,0.1372651904821396,19,1,19,1
97,14,5,0,3.3444,10.20%,0.8633581399917603,0.13664184510707855,14,1,14,1
98,24,6,0,2.9921,10.10%,0.8638216257095337,0.1361783891916275,24,1,24,1
99,8,0,0,2.1518,10.00%,0.863822340965271,0.13617761433124542,8,1,8,1
100,17,8,0,3.9191,9.90%,0.8633434772491455,0.13665653765201569,17,1,17,1
101,24,0,0,3.1689,9.80%,0.8701900243759155,0.12980999052524567,24,1,10,0
102,2,10,0,3.4722,9.71%,0.8704684376716614,0.12953157722949982,2,1,2,1
103,18,1,0,4.4425,9.62%,0.8714248538017273,0.12857511639595032,18,1,18,1
104,19,3,0,2.7394,9.52%,0.8723199963569641,0.12768001854419708,19,1,19,1
105,16,16,1,2.4727,10.38%,0.8719531297683716,0.1280469000339508,16,1,16,1
106,7,6,0,3.3114,10.28%,0.8777728080749512,0.12222715467214584,7,1,26,0
107,0,13,0,2.0367,10.19%,0.8777719140052795,0.12222810089588165,0,1,0,1
108,24,27,0,2.7910,10.09%,0.8779057264328003,0.12209425121545792,24,1,24,1
109,6,5,0,3.4352,10.00%,0.8857614398002625,0.11423855274915695,6,1,3,0
110,0,13,0,1.9926,9.91%,0.8856312036514282,0.11436878144741058,0,1,0,1
111,18,6,0,3.9468,9.82%,0.885649561882019,0.11435043066740036,18,1,18,1
112,2,10,0,2.7186,9.73%,0.887955367565155,0.11204460263252258,2,1,2,1
113,14,17,0,2.9865,9.65%,0.8875718116760254,0.112428218126297,14,1,14,1
114,8,0,0,2.0176,9.57%,0.8908057808876038,0.10919418931007385,8,1,8,1
115,20,0,0,3.0890,9.48%,0.8951479196548462,0.10485206544399261,20,1,20,1
116,6,15,0,3.7962,9.40%,0.8973390460014343,0.10266091674566269,6,1,6,1
117,9,6,0,4.6883,9.32%,0.895929217338562,0.1040707603096962,9,1,9,1
118,24,0,0,2.6466,9.24%,0.8958936929702759,0.1041063517332077,24,1,24,1
119,22,26,0,3.7001,9.17%,0.8972224593162537,0.10277755558490753,22,1,22,1
120,24,0,0,2.4980,9.09%,0.8989366888999939,0.10106326639652252,24,1,24,1
121,25,5,0,4.1437,9.02%,0.9062015414237976,0.09379849582910538,25,1,2,0
122,21,21,1,1.9278,9.76%,0.9062042236328125,0.0937957838177681,21,1,21,1
123,3,27,0,1.9539,9.68%,0.9112386107444763,0.0887613445520401,3,1,3,1
124,27,6,0,2.5693,9.60%,0.9061098694801331,0.09389016032218933,9,0,27,1
125,1,1,1,1.6685,10.32%,0.9061830043792725,0.09381697326898575,1,1,1,1
126,4,1,0,4.1922,10.24%,0.9184203147888184,0.08157966285943985,4,1,11,0
127,10,15,0,2.6094,10.16%,0.9189611673355103,0.08103883266448975,10,1,10,1
128,2,10,0,3.0117,10.08%,0.9189743995666504,0.08102557063102722,2,1,2,1
129,27,6,0,2.0180,10.00%,0.9161595106124878,0.08384046703577042,27,1,27,1
130,7,5,0,3.2121,9.92%,0.9162350296974182,0.0837649330496788,7,1,7,1
131,0,0,1,1.8344,10.61%,0.9162411093711853,0.08375892043113708,0,1,0,1
132,24,24,1,2.2403,11.28%,0.9199352860450745,0.08006473630666733,24,1,24,1
133,18,3,0,3.4865,11.19%,0.9204407930374146,0.07955923676490784,18,1,18,1
134,10,15,0,2.4400,11.11%,0.9205687046051025,0.07943127304315567,10,1,10,1
135,21,21,1,1.6213,11.76%,0.9202390313148499,0.07976095378398895,21,1,21,1
136,25,27,0,3.9111,11.68%,0.9277087450027466,0.07229122519493103,25,1,18,0
137,10,15,0,2.3400,11.59%,0.9280532598495483,0.07194676995277405,10,1,10,1
138,10,15,0,2.2743,11.51%,0.9280725121498108,0.0719275251030922,10,1,10,1
139,7,5,0,3.0193,11.43%,0.9279606938362122,0.07203930616378784,7,1,7,1
140,24,24,1,2.1439,12.06%,0.9279731512069702,0.0720268115401268,24,1,24,1
141,10,0,0,2.2027,11.97%,0.9339473843574524,0.06605260074138641,10,1,24,0
142,25,17,0,3.6096,11.89%,0.9373864531517029,0.06261355429887772,25,1,18,0
143,21,21,1,1.5309,12.50%,0.9373764991760254,0.0626235157251358,21,1,21,1
144,20,0,0,2.8241,12.41%,0.938438892364502,0.061561115086078644,20,1,20,1
145,0,0,1,1.6014,13.01%,0.938402533531189,0.061597470194101334,0,1,0,1
146,3,3,1,1.5655,13.61%,0.9385337829589844,0.06146623566746712,3,1,3,1
147,16,16,1,2.1529,14.19%,0.9385384321212769,0.061461515724658966,16,1,16,1
148,6,10,0,4.0537,14.09%,0.9420610666275024,0.057938963174819946,6,1,3,0
149,9,17,0,4.2536,14.00%,0.9475234746932983,0.05247650668025017,9,1,17,0
150,2,10,0,2.6934,13.91%,0.947521984577179,0.05247803032398224,2,1,2,1
151,15,3,0,2.5345,13.82%,0.9473301768302917,0.05266983434557915,15,1,15,1
152,15,3,0,2.7582,13.73%,0.9473224878311157,0.052677515894174576,15,1,15,1
153,9,17,0,4.2186,13.64%,0.9466787576675415,0.0533212386071682,9,1,9,1
154,18,3,0,3.2642,13.55%,0.9463853240013123,0.05361466109752655,18,1,18,1
155,7,5,0,2.7293,13.46%,0.9463523030281067,0.05364767462015152,7,1,7,1
156,22,26,0,3.7395,13.38%,0.9485152363777161,0.05148478224873543,22,1,18,0
157,7,5,0,2.7067,13.29%,0.949451744556427,0.050548240542411804,7,1,7,1
158,4,10,0,3.3345,13.21%,0.9552120566368103,0.0447879284620285,4,1,20,0
159,16,16,1,2.0989,13.75%,0.9552203416824341,0.044779662042856216,16,1,16,1
160,5,5,1,2.3827,14.29%,0.9551963210105896,0.0448036789894104,5,1,5,1
161,3,3,1,1.4252,14.81%,0.9556989669799805,0.044301051646471024,3,1,3,1
162,10,10,1,2.0205,15.34%,0.9574379920959473,0.04256201907992363,10,1,10,1
163,26,13,0,2.9132,15.24%,0.9572662115097046,0.042733803391456604,26,1,26,1
164,20,0,0,2.6733,15.15%,0.9585464596748352,0.04145357385277748,20,1,20,1
165,16,16,1,1.8843,15.66%,0.9585399031639099,0.04146010801196098,16,1,16,1
166,12,13,0,3.7600,15.57%,0.9580639004707336,0.041936084628105164,12,1,12,1
167,14,17,0,3.2534,15.48%,0.9581647515296936,0.04183525592088699,14,1,14,1
168,25,21,0,3.3194,15.38%,0.9607284069061279,0.039271581918001175,25,1,22,0
