round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,,
0,17,17,17,0.035714287,0.035714287,17,1,17,1,0.9122622013092041,1,1
1,9,9,9,0.5048076510429382,0.49519237875938416,9,1,9,1,0.9308644533157349,2,1
2,27,27,7,0.5068281292915344,0.4931718707084656,27,1,27,1,0.4885164499282837,3,1
3,7,7,7,0.529109776,0.47089022397994995,7,1,7,1,0.989933968,4,1
4,1,1,1,0.5270212888717651,0.47297871112823486,1,1,1,1,0.9999673366546631,5,1
5,11,11,11,0.5273105502128601,0.4726894795894623,11,1,11,1,0.9936085343360901,6,1
6,21,21,21,0.5293338298797607,0.47066617012023926,21,1,16,0,0.7217055559158325,7,1
7,11,11,13,0.5422942042350769,0.4577057659626007,11,1,11,1,0.28889766335487366,8,1
8,8,8,8,0.5600066184997559,0.43999338150024414,8,1,8,1,0.9982433915138245,9,1
9,18,18,18,0.5590105652809143,0.4409894645214081,18,1,18,1,0.9644122123718262,10,1
10,20,20,20,0.5622932314872742,0.43770676851272583,20,1,20,1,0.8160011768341064,11,1
11,16,16,16,0.5726295113563538,0.42737048864364624,16,1,16,1,0.9998541474342346,12,1
12,12,12,7,0.5728551745414734,0.427144855,12,1,12,1,0.3416343927383423,13,1
13,6,6,6,0.6004848480224609,0.3995151221752167,6,1,3,0,0.9412188529968262,14,1
14,9,9,9,0.5976674556732178,0.4023325443267822,9,1,9,1,0.9903095960617065,15,1
15,18,18,2,0.5994330644607544,0.4005669057369232,18,1,18,1,0.6788714528083801,16,1
16,2,18,2,0.6085416674613953,0.3914583623409271,18,0,2,1,0.13648204505443573,16,0.941176471
17,25,25,25,0.5750922560691833,0.42490774393081665,25,1,25,1,0.9699349403381348,17,0.944444444
18,2,2,2,0.5797977447509766,0.42020225524902344,2,1,2,1,0.9994004964828491,18,0.947368421
19,27,27,27,0.5791907906532288,0.42080923914909363,27,1,27,1,0.9083560705184937,19,0.95
20,13,13,13,0.5735667943954468,0.4264332056045532,13,1,13,1,0.9998565316200256,20,0.952380952
21,24,24,24,0.5739131569862366,0.42608681321144104,24,1,24,1,0.9999747276306152,21,0.954545455
22,4,4,4,0.5739700198173523,0.4260299801826477,4,1,4,1,0.9949404001235962,22,0.956521739
23,8,8,8,0.5738123655319214,0.4261876046657562,8,1,8,1,0.9861027002334595,23,0.958333333
24,12,12,12,0.5701216459274292,0.4298783540725708,12,1,12,1,0.9946127533912659,24,0.96
25,5,5,5,0.571075439,0.4289245903491974,5,1,5,1,0.9999285340309143,25,0.961538462
26,26,26,26,0.5708187222480774,0.4291812479496002,26,1,26,1,0.9999999403953552,26,0.962962963
27,6,6,6,0.5708250999450684,0.42917492985725403,6,1,6,1,0.9951632022857666,27,0.964285714
28,4,4,4,0.5722182393074036,0.4277817904949188,4,1,4,1,0.9991324543952942,28,0.965517241
29,16,16,16,0.5716809630393982,0.4283190071582794,16,1,16,1,0.9999988675117493,29,0.966666667
30,8,8,8,0.5717183947563171,0.42828160524368286,8,1,8,1,0.9618839621543884,30,0.967741935
31,26,26,26,0.5679572820663452,0.4320427179336548,26,1,26,1,0.7602578401565552,31,0.96875
32,4,4,4,0.5767768621444702,0.4232231080532074,4,1,4,1,0.9978440999984741,32,0.96969697
33,5,5,5,0.578135073,0.42186492681503296,5,1,5,1,0.9998428225517273,33,0.970588235
34,9,9,9,0.5779094696044922,0.4220905303955078,9,1,9,1,0.8709722757339478,34,0.971428571
35,14,14,14,0.5714061260223389,0.4285939037799835,14,1,14,1,0.9999856948852539,35,0.972222222
36,15,15,15,0.5714755058288574,0.4285244643688202,15,1,15,1,0.9998510479927063,36,0.972972973
37,16,16,16,0.5711818933486938,0.42881810665130615,16,1,16,1,0.9999998807907104,37,0.973684211
38,3,3,3,0.5711802244186401,0.42881977558135986,3,1,3,1,0.9997886419296265,38,0.974358974
39,7,7,7,0.5712643265724182,0.4287356734275818,7,1,7,1,0.9984787106513977,39,0.975
40,15,15,20,0.571271539,0.42872849106788635,15,1,15,1,0.6643387675285339,40,0.975609756
41,5,5,5,0.5824003219604492,0.4175996780395508,5,1,5,1,0.9974334836006165,41,0.976190476
42,3,3,6,0.5832263231277466,0.4167737066745758,3,1,3,1,0.2891156077384949,42,0.976744186
43,14,14,7,0.6083469390869141,0.3916530907154083,14,1,14,1,0.3925309181213379,43,0.977272727
44,5,7,5,0.6234303712844849,0.37656962871551514,5,1,5,1,0.6697354316711426,44,0.977777778
45,7,7,7,0.6148725748062134,0.38512739539146423,7,1,7,1,0.8312132358551025,45,0.97826087
46,9,9,9,0.6224844455718994,0.377515584,9,1,9,1,0.9851760268211365,46,0.978723404
47,13,13,13,0.625079334,0.37492066621780396,13,1,13,1,0.999967635,47,0.979166667
48,6,6,6,0.6250662207603455,0.37493380904197693,6,1,6,1,0.640794039,48,0.979591837
49,23,23,23,0.6394262909889221,0.36057373881340027,23,1,23,1,0.994728148,49,0.98
50,21,21,21,0.6385948657989502,0.3614051342010498,21,1,21,1,0.9906452894210815,50,0.980392157
51,27,17,17,0.6409651041030884,0.35903486609458923,17,0,17,0,0.910017729,50,0.961538462
52,7,7,7,0.6465682983398438,0.35343170166015625,7,1,7,1,0.9986295104026794,51,0.962264151
53,7,7,7,0.6476097106933594,0.3523902893066406,7,1,7,1,0.986237645,52,0.962962963
54,8,8,8,0.6489695906639099,0.3510304391384125,8,1,8,1,0.998319685,53,0.963636364
55,24,24,24,0.6495370268821716,0.35046300292015076,24,1,24,1,0.9999631643295288,54,0.964285714
56,10,10,10,0.649752676,0.3502472937107086,10,1,10,1,0.9969971179962158,55,0.964912281
57,25,25,22,0.650374711,0.34962528944015503,25,1,25,1,0.5302633047103882,56,0.965517241
58,9,9,9,0.6667892932891846,0.33321067690849304,9,1,9,1,0.9999792575836182,57,0.966101695
59,6,6,4,0.6668379902839661,0.3331620395183563,6,1,6,1,0.6125704050064087,58,0.966666667
60,17,17,17,0.6799557209014893,0.32004424929618835,17,1,17,1,0.9999420046806335,59,0.967213115
61,23,23,23,0.6800771951675415,0.3199227750301361,23,1,23,1,0.9975613355636597,60,0.967741935
62,16,16,16,0.6807019114494324,0.3192980885505676,16,1,16,1,0.9360923171043396,61,0.968253968
63,11,11,4,0.6844477653503418,0.3155522346496582,11,1,11,1,0.22463080286979675,62,0.96875
64,5,5,19,0.7045735120773315,0.29542645812034607,5,1,5,1,0.6555853486061096,63,0.969230769
65,8,8,8,0.7127634882926941,0.2872364819049835,8,1,8,1,0.998997152,64,0.96969697
66,17,17,17,0.7115524411201477,0.2884475886821747,17,1,17,1,0.9709881544113159,65,0.970149254
67,14,14,14,0.7141258120536804,0.2858741879463196,14,1,14,1,0.9997256994247437,66,0.970588235
68,24,24,24,0.7142331600189209,0.2857668101787567,24,1,24,1,0.9999638199806213,67,0.971014493
69,26,26,26,0.7143516540527344,0.2856483459472656,26,1,26,1,0.9999919533729553,68,0.971428571
70,9,9,9,0.7144244909286499,0.2855755090713501,9,1,9,1,0.9995905160903931,69,0.971830986
71,25,25,2,0.7149890661239624,0.2850109338760376,25,1,2,0,0.2900696098804474,70,0.972222222
72,10,10,10,0.7319566607475281,0.2680433690547943,10,1,10,1,0.9421328902244568,71,0.97260274
73,11,11,6,0.7358068227767944,0.26419317722320557,11,1,11,1,0.5336825847625732,72,0.972972973
74,3,3,3,0.74943316,0.25056684017181396,3,1,3,1,0.9923800230026245,73,0.973333333
75,10,10,10,0.75138551,0.24861447513103485,10,1,10,1,0.8810020685195923,74,0.973684211
76,4,4,4,0.7552626132965088,0.2447374016046524,4,1,4,1,0.9964570999145508,75,0.974025974
77,9,9,9,0.756075919,0.2439241111278534,9,1,9,1,0.9410778284072876,76,0.974358974
78,0,0,0,0.7592592239379883,0.24074076116085052,0,1,0,1,1,77,0.974683544
79,19,19,19,0.7592588067054749,0.24074116349220276,19,1,19,1,0.9999951124191284,78,0.975
80,14,14,14,0.759316087,0.2406839281320572,14,1,14,1,0.9903448820114136,79,0.975308642
81,2,2,2,0.7607637047767639,0.23923631012439728,2,1,2,1,0.9998712539672852,80,0.975609756
82,24,24,24,0.7608938813209534,0.23910611867904663,24,1,24,1,0.9957703351974487,81,0.975903614
83,24,24,24,0.7625916004180908,0.23740842938423157,24,1,24,1,0.999532163,82,0.976190476
84,14,14,14,0.7629534602165222,0.23704655468463898,14,1,14,1,0.9992908835411072,83,0.976470588
85,26,26,26,0.7632983326911926,0.23670163750648499,26,1,26,1,0.9999999403953552,84,0.976744186
86,27,27,27,0.7633047103881836,0.23669525980949402,27,1,27,1,0.8870995044708252,85,0.977011494
