round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,18,18,25,0.5,0.5,18,1,25,0,0.19983656704425812,0.44273537397384644,0.2060401290655136,0.8147830373677332,1.5796843278749624,0.1700352281332016,0.8299647569656372,0.24650463461875916,0.040464505553245544
1,2,2,2,0.5201590657234192,0.4798409640789032,2,1,2,1,0.9698145985603333,0.7985304594039917,0.3074991703033447,0.22498216627627765,1.1792828899397096,0.5309709906578064,0.4690290093421936,0.3074991703033447,0.10223589837551117
2,22,22,22,0.5244126915931702,0.47558730840682983,22,1,22,1,0.6425580978393555,0.6284387707710266,0.4824795126914978,0.4645166769051839,0.7288168198475891,0.6484659910202026,0.35153400897979736,0.4824795126914978,0.3844542056322098
3,5,5,5,0.5400137305259705,0.45998626947402954,5,1,5,1,0.9828949570655823,0.8621137738227844,0.31828001141548157,0.1483680288346338,1.1448237446066432,0.4677208662033081,0.5322791934013367,0.31828001141548157,0.21081700176000595
4,9,27,14,0.5372161269187927,0.4627838730812073,27,0,27,0,0.09003844857215881,0.1935850977897644,0.1891092211008072,1.6420380813287518,1.6654305414140245,0.12662723660469055,0.8733728528022766,0.33088839054107666,0.12036345899105072
5,27,27,27,0.5276262760162354,0.47237372398376465,27,1,17,0,0.8908085823059082,0.7092569470405579,0.2620876729488373,0.3435374104302433,1.3390762016213147,0.6723522543907166,0.32764774560928345,0.32725298404693604,0.06516531109809875
6,7,8,17,0.5206717252731323,0.4793282747268677,8,0,17,0,0.12164876610040665,0.09538827836513519,0.0795947015285492,2.3497995763668102,2.5308077520589554,0.1746986359357834,0.8253013491630554,0.2563828229904175,0.052700549364089966
7,0,0,0,0.5282930731773376,0.47170692682266235,0,1,0,1,0.9999569058418274,0.9890782833099365,0.6807334423065186,0.010981796487957505,0.3845844704467753,0.5354928374290466,0.46450719237327576,0.6807334423065186,0.6283479370176792
8,12,12,12,0.5280347466468811,0.4719652235507965,12,1,12,1,0.8947219252586365,0.6631688475608826,0.2360585331916809,0.41072564918216287,1.4436754827102503,0.47804582118988037,0.5219541788101196,0.2360585331916809,0.1052238941192627
9,8,8,8,0.5184900164604187,0.4815099835395813,8,1,8,1,0.9746217727661133,0.8226705193519592,0.24775755405426025,0.19519949946904708,1.395304615604134,0.6668781042098999,0.3331218659877777,0.24775755405426025,0.1252143383026123
10,6,6,6,0.5139368772506714,0.4860631227493286,6,1,6,1,0.9150269627571106,0.717923104763031,0.28346189856529236,0.331392812099464,1.2606775614414507,0.43258243799209595,0.567417562007904,0.28346189856529236,0.17501597106456757
11,15,15,15,0.5235866904258728,0.4764133095741272,15,1,15,1,0.9999957084655762,0.9958651661872864,0.7882471084594727,0.0041434058755732035,0.23794364886756741,0.4761841893196106,0.5238158106803894,0.7882471084594727,0.7631299570202827
12,7,7,7,0.5236640572547913,0.47633594274520874,7,1,7,1,0.9627323746681213,0.8178536295890808,0.3392631411552429,0.20107189532317699,1.0809792451139315,0.3165266513824463,0.6834733486175537,0.3392631411552429,0.13805441558361053
