round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs
0,7,7,7,0.5,0.5,7,1,7,1,0.998027205
1,6,6,6,0.49878788,0.50121212,6,1,6,1,0.915026963
2,11,11,15,0.508450806,0.491549194,11,1,11,1,0.051064011
3,14,14,14,0.551409364,0.448590666,14,1,14,1,0.789334178
4,0,0,0,0.542805791,0.457194209,0,1,0,1,0.999999404
5,26,26,26,0.542767704,0.457232296,26,1,26,1,0.999999464
6,15,15,16,0.542754233,0.457245767,15,1,15,1,0.178793281
7,13,13,13,0.571282089,0.428717881,13,1,13,1,0.976680815
8,9,5,9,0.576312721,0.423687279,9,1,9,1,0.528523743
9,27,27,14,0.562756121,0.437243879,14,0,14,0,0.243262991
10,8,26,8,0.614190817,0.385809183,26,0,26,0,0.03306656
11,23,6,23,0.571681798,0.428318232,6,0,6,0,0.005432928
12,11,11,13,0.492845416,0.507154584,11,1,13,0,0.275423735
13,0,0,0,0.514578104,0.485421926,0,1,0,1,0.999999702
14,20,20,20,0.514547586,0.485452414,20,1,20,1,0.770464838
15,7,7,7,0.527110755,0.472889245,7,1,7,1,0.852652431
16,27,27,27,0.537556946,0.462443024,27,1,9,0,0.819862843
17,24,24,25,0.547138572,0.452861398,24,1,24,1,0.349698931
18,24,24,24,0.566644251,0.433355719,24,1,24,1,0.711355448
19,17,1,17,0.580563009,0.419436991,1,0,17,1,0.128326401
20,10,10,21,0.566249192,0.433750808,10,1,10,1,0.000845011
21,25,25,22,0.655163586,0.344836414,25,1,25,1,0.581194222
22,27,14,8,0.664709985,0.335290015,14,0,14,0,0.041538294
23,6,2,6,0.647628784,0.352371186,6,1,6,1,0.257680744
24,9,9,9,0.627007961,0.372992009,9,1,9,1,0.981763959
25,19,19,19,0.625570059,0.374429971,19,1,19,1,0.878711224
26,6,6,6,0.633251846,0.366748184,6,1,6,1,0.935766757
27,27,14,7,0.629777789,0.370222211,27,1,14,0,0.151185662
28,14,14,14,0.644435823,0.355564147,14,1,14,1,0.920284986
29,11,11,11,0.640108049,0.359891951,11,1,11,1,0.746549845
30,5,5,5,0.649187446,0.350812554,5,1,5,1,0.996684909
31,0,0,0,0.648159444,0.351840585,0,1,0,1,0.99999994
32,1,1,1,0.648154438,0.351845562,1,1,1,1,0.999802589
33,15,15,15,0.648716688,0.351283282,15,1,15,1,0.919745684
34,3,6,3,0.644576907,0.355423063,6,0,6,0,0.667149961
35,24,24,24,0.637767732,0.362232268,24,1,24,1,0.990787864
36,12,12,12,0.642013252,0.357986748,12,1,12,1,0.501435339
37,7,7,7,0.621634066,0.378365934,7,1,7,1,0.997979581
38,22,22,19,0.622428358,0.377571672,22,1,19,0,0.466001689
39,7,5,7,0.642838657,0.357161313,5,0,5,0,0.009171887
40,8,8,8,0.586497247,0.413502753,8,1,8,1,0.971578181
41,1,1,1,0.581587315,0.418412685,1,1,9,0,0.888205409
42,25,18,25,0.574020863,0.425979167,18,0,18,0,0.277109295
43,1,1,1,0.564075828,0.435924143,1,1,1,1,0.972694457
44,8,26,8,0.563530147,0.436469853,8,1,8,1,0.228053808
45,24,24,24,0.536239684,0.463760316,24,1,24,1,0.99911952
46,17,17,9,0.536803722,0.463196278,17,1,9,0,0.044889417
47,15,15,15,0.585606456,0.414393514,15,1,15,1,0.990749717
48,14,14,14,0.584641159,0.415358812,14,1,14,1,0.999828696
49,8,8,8,0.584398508,0.415601492,8,1,8,1,0.999976099
50,2,2,2,0.584243059,0.415756971,2,1,2,1,0.992838502
51,4,4,13,0.583058059,0.416941971,4,1,13,0,0.609540582
