round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,9,8,5,0.5,0.5,5,0,15,0,0.10277168452739716,0.07541801035404205,0.06741420924663544,2.584709168379753,2.6968994636002037,0.9057603478431702,0.09423962980508804,0.11889755725860596,0.011995404958724976
1,0,0,0,0.5038148760795593,0.4961850941181183,0,1,27,0,0.9998942613601685,0.9844591021537781,0.0076009058393538,0.015662923509081113,4.879487849403684,0.5514150261878967,0.44858506321907043,0.15049801766872406,0.030265532433986664
2,24,24,16,0.5037899613380432,0.4962100386619568,24,1,24,1,0.6243698596954346,0.6745564341545105,0.10201993584632874,0.3936999387030855,2.2825870353218147,0.1942104995250702,0.8057895302772522,0.10201993584632874,0.01791837066411972
3,16,16,16,0.5051130056381226,0.49488699436187744,16,1,27,0,0.9763491153717041,0.8866859078407288,0.007436217740178108,0.12026446553770552,4.90139292765572,0.2760176658630371,0.7239823341369629,0.18274153769016266,0.033151477575302124
4,24,0,10,0.505423367023468,0.4945766031742096,24,1,27,0,0.31500136852264404,0.3738994598388672,0.05892309546470642,0.983768341667491,2.831522152027958,0.5721418261528015,0.42785823345184326,0.10539215058088303,0.02983749657869339
5,24,24,10,0.5052826404571533,0.49471738934516907,24,1,18,0,0.0768556222319603,0.5403443574905396,0.06383485347032547,0.6155486436109047,2.7514559451565637,0.19581779837608337,0.804182231426239,0.09613341838121414,0.013812616467475891
6,25,25,25,0.5085799098014832,0.49142009019851685,25,1,24,0,0.8368622064590454,0.655247688293457,0.021802496165037155,0.42274196476125514,3.8257308127587044,0.26240894198417664,0.737591028213501,0.15496143698692322,0.04343415051698685
7,26,26,26,0.509211003780365,0.490788996219635,26,1,14,0,0.9999663829803467,0.9872642159461975,0.030042514204978943,0.012817579378713835,3.5051417603494746,0.8352258205413818,0.16477420926094055,0.14104145765304565,0.01797454059123993
8,25,25,25,0.5091872811317444,0.490812748670578,25,1,24,0,0.991773247718811,0.8795055150985718,0.022149141877889633,0.12839544410380785,3.809956524645991,0.364253431558609,0.6357465386390686,0.12605907022953033,0.027798667550086975
9,22,22,25,0.5093462467193604,0.49065378308296204,22,1,24,0,0.6373011469841003,0.46684643626213074,0.0036495125386863947,0.7617549056635792,5.613161671351295,0.5416350364685059,0.45836496353149414,0.1404104381799698,0.01121397316455841
10,17,17,17,0.5102174282073975,0.48978257179260254,17,1,24,0,0.9978122711181641,0.9211525917053223,0.011544161476194859,0.08212957598851728,4.46157546971903,0.6434810757637024,0.3565188944339752,0.13341562449932098,0.01414007693529129
11,20,20,15,0.510161817073822,0.4898381531238556,20,1,9,0,0.06494780629873276,0.5247175693511963,0.014563322067260742,0.6448951242851794,4.229249098278819,0.15551140904426575,0.8444886207580566,0.1510162502527237,0.026471607387065887
12,21,21,21,0.514159619808197,0.485840380191803,21,1,15,0,0.9490372538566589,0.8210509419441223,0.010235469788312912,0.19717012280163554,4.581896160745137,0.29817673563957214,0.7018232345581055,0.14766328036785126,0.027133777737617493
13,25,24,25,0.5145350098609924,0.48546499013900757,25,1,24,0,0.5600259304046631,0.3967110514640808,0.019213516265153885,0.9245470933571258,3.9521412754771297,0.2546995282173157,0.7453004717826843,0.2037302702665329,0.11177203059196472
14,12,12,12,0.5136914253234863,0.48630860447883606,12,1,5,0,0.9469744563102722,0.845766007900238,0.03068213351070881,0.1675125440393263,3.4840747641346703,0.6379270553588867,0.3620729148387909,0.10933084785938263,0.021136261522769928
15,7,27,7,0.5132614970207214,0.48673853278160095,7,1,5,0,0.5359053611755371,0.6668592095375061,0.026851827278733253,0.40517633550072835,3.6174214052690408,0.45149320363998413,0.5485068559646606,0.11687463521957397,0.015533946454524994
16,26,8,26,0.5120545029640198,0.4879454970359802,27,0,14,0,0.200434148311615,0.15631644427776337,0.01604527235031128,1.8558728373782813,4.132341030409731,0.6402527093887329,0.3597472012042999,0.10652767866849899,0.03278551250696182
17,7,7,7,0.5063948631286621,0.4936051070690155,7,1,11,0,0.9627323746681213,0.8147773146629333,0.032592978328466415,0.20484043661877271,3.4236584025063013,0.6926227807998657,0.30737724900245667,0.10967818647623062,0.009647831320762634
18,27,17,27,0.5066695809364319,0.4933303892612457,17,0,15,0,0.28078293800354004,0.2147343009710312,0.0979171171784401,1.5383538245337243,2.3236339012311595,0.7697398662567139,0.2302601933479309,0.10856454819440842,0.010647431015968323
19,2,22,2,0.5031922459602356,0.4968077540397644,2,1,27,0,0.6842851638793945,0.6672884225845337,0.0211790781468153,0.4045329088641234,3.854741464457931,0.771379828453064,0.2286202311515808,0.12625162303447723,0.02700679749250412
20,3,3,3,0.502297580242157,0.497702419757843,3,1,7,0,0.9955751299858093,0.8842055797576904,0.03201725333929062,0.12306568709453512,3.441480354627802,0.5593792200088501,0.4406207799911499,0.09897170960903168,0.015443533658981323
21,17,17,17,0.502418577671051,0.497581422328949,17,1,27,0,0.9857537746429443,0.7887636423110962,0.02017250843346119,0.23728856916079585,3.90343457017447,0.563605785369873,0.43639421463012695,0.1619509905576706,0.05657568573951721
