round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,17,17,17,0.5,0.5,17,1,26,0,0.6802613735198975,0.5819486379623413,0.017251642420887947,0.5413730860688533,4.059847927232122,0.4317369759082794,0.568263053894043,0.10971596837043762,0.032307758927345276
1,0,0,0,0.5099888443946838,0.4900111258029938,0,1,2,0,0.9999881386756897,0.9942734837532043,0.01060822606086731,0.005742975607567433,4.546125535352109,0.493287593126297,0.5067124366760254,0.10087285935878754,0.0037211552262306213
2,14,27,14,0.5099068284034729,0.4900932013988495,14,1,26,0,0.6851301789283752,0.623572826385498,0.020810486748814583,0.47228971814003196,3.872298248710082,0.7203677892684937,0.27963224053382874,0.13183504343032837,0.012650027871131897
3,14,14,14,0.4997271001338959,0.5002728700637817,14,1,0,0,0.7496035099029541,0.7309454679489136,0.017894215881824493,0.3134164212641132,4.023277753448426,0.5505704879760742,0.4494294822216034,0.10777060687541962,0.012900471687316895
4,2,21,22,0.4902360439300537,0.5097639560699463,22,0,9,0,0.03681732714176178,0.11694514006376266,0.016827840358018875,2.146050342490804,4.084720599986592,0.1882629692554474,0.8117370009422302,0.15852698683738708,0.07743183523416519
5,21,21,6,0.45357105135917664,0.5464289784431458,21,1,1,0,0.33943429589271545,0.5432254076004028,0.00898592546582222,0.6102309298985221,4.712095762846398,0.0869336724281311,0.9130663275718689,0.1377902328968048,0.0676170364022255
6,27,27,27,0.4745672643184662,0.5254327654838562,27,1,26,0,0.8198628425598145,0.6479681730270386,0.04082160443067551,0.43391369953509235,3.1985438173587615,0.7833563685417175,0.21664364635944366,0.08654531836509705,0.01597946137189865
7,21,21,22,0.48420169949531555,0.5157983303070068,21,1,9,0,0.06200810521841049,0.4988362789154053,0.011028142645955086,0.6954773354325845,4.507304851015315,0.3429259955883026,0.657073974609375,0.14380262792110443,0.04604649543762207
8,8,8,8,0.5266402959823608,0.47335970401763916,8,1,9,0,0.861012876033783,0.644685685634613,0.0072022066451609135,0.43899239005365204,4.933367821420497,0.4493463337421417,0.5506536960601807,0.21255570650100708,0.11340019106864929
9,13,13,11,0.5196714401245117,0.4803285598754883,13,1,17,0,0.3094851076602936,0.532441258430481,0.031158054247498512,0.6302827002900706,3.468682503847825,0.4226018786430359,0.5773981213569641,0.09806115180253983,0.008992835879325867
10,25,2,25,0.5441427230834961,0.4558573067188263,2,0,6,0,0.19083547592163086,0.2472040206193924,0.05159284174442291,1.3975412888893142,2.9643723420012225,0.3290664851665497,0.6709335446357727,0.11463216692209244,0.04581272602081299
11,8,8,8,0.5120612978935242,0.48793870210647583,8,1,9,0,0.9936658143997192,0.8762643933296204,0.008381764404475689,0.13208741471446833,4.7816968371904665,0.5144065618515015,0.4855934679508209,0.22156620025634766,0.11311569064855576
12,15,15,15,0.5116832256317139,0.4883168041706085,15,1,2,0,0.9977049231529236,0.9201438426971436,0.0333360880613327,0.08322527040279218,3.401114743236823,0.5194342136383057,0.4805658161640167,0.1123761460185051,0.028681211173534393
13,5,5,5,0.5096287131309509,0.4903712570667267,5,1,14,0,0.8635459542274475,0.773863673210144,0.012883797287940979,0.25635955370904523,4.351784781264639,0.8342396020889282,0.16576042771339417,0.08994651585817337,0.014188945293426514
14,24,24,10,0.5033555626869202,0.49664443731307983,24,1,7,0,0.49763888120651245,0.6586783528327942,0.018543442711234093,0.4175199473447719,3.9876390450777937,0.7206288576126099,0.27937114238739014,0.12730549275875092,0.03214973211288452
15,20,3,3,0.5174599289894104,0.4825400412082672,3,0,17,0,0.8983168005943298,0.07451985776424408,0.008704637177288532,2.5966896419429477,4.743899386436639,0.5943875312805176,0.40561240911483765,0.1004721000790596,0.0027396604418754578
16,4,4,4,0.49720463156700134,0.502795398235321,4,1,17,0,0.9980368614196777,0.9174739718437195,0.014309884048998356,0.08613106801851056,4.246804788241969,0.5208986401557922,0.47910138964653015,0.11264313012361526,0.03285486251115799
17,23,23,23,0.49676430225372314,0.5032356977462769,23,1,15,0,0.9967120885848999,0.9204263091087341,0.017758982256054878,0.08291833680014629,4.030863848462446,0.541191577911377,0.45880842208862305,0.16807053983211517,0.06156918406486511
18,6,6,6,0.49530327320098877,0.5046967267990112,6,1,2,0,0.9068945050239563,0.5399602055549622,0.034052908420562744,0.616259835556047,3.3798398338651254,0.4518791735172272,0.5481208562850952,0.10002558678388596,0.017706379294395447
