round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,22,2,16,0.5,0.5,16,0,22,1,0.019761258736252785,0.1761653870344162,0.30514392256736755,1.7363320261255626,1.1869717364037353,0.8994651436805725,0.1005348265171051,0.30514392256736755,0.13424837589263916
1,6,1,6,0.5490721464157104,0.45092782378196716,6,1,6,1,0.01260971836745739,0.363054484128952,0.20701837539672852,1.013202361961115,1.5749477196240893,0.7264431715011597,0.2735568583011627,0.20701837539672852,0.0265338271856308
2,25,25,25,0.4852384030818939,0.5147616267204285,25,1,25,1,0.8368622064590454,0.6477154493331909,0.3190668821334839,0.434303800471295,1.1423545363128176,0.16687729954719543,0.833122730255127,0.3190668821334839,0.09355348348617554
3,10,10,10,0.4915478527545929,0.5084521174430847,10,1,10,1,0.9115670323371887,0.6966750025749207,0.28316131234169006,0.3614362573444287,1.2617385354573853,0.2688814699649811,0.7311185598373413,0.28316131234169006,0.19887565076351166
4,4,4,4,0.5022737979888916,0.4977262020111084,4,1,4,1,0.9138815402984619,0.7316469550132751,0.29940545558929443,0.3124571832602275,1.2059565854214926,0.6428356170654297,0.3571644127368927,0.29940545558929443,0.07730011641979218
5,19,5,19,0.5088999271392822,0.4911000728607178,19,1,19,1,0.1970953792333603,0.2777254283428192,0.15909501910209656,1.2811223211883491,1.8382536508406135,0.3612916171550751,0.6387083530426025,0.15909501910209656,0.00196211040019989
6,8,8,8,0.47748297452926636,0.5225170254707336,8,1,8,1,0.9545477628707886,0.8124442100524902,0.44524356722831726,0.20770803168654395,0.8091338044668345,0.5674892663955688,0.43251076340675354,0.44524356722831726,0.33518238365650177
7,11,11,15,0.4723910689353943,0.5276089310646057,11,1,11,1,0.2701624929904938,0.43045854568481445,0.32166698575019836,0.8429042531659252,1.1342384743422242,0.04869458079338074,0.9513053894042969,0.32166698575019836,0.19157180190086365
8,9,9,9,0.4891861081123352,0.5108138918876648,9,1,9,1,0.5721458792686462,0.5795091986656189,0.1853923201560974,0.5455737428759935,1.6852810498146136,0.14496472477912903,0.8550352454185486,0.1853923201560974,0.008054152131080627
9,24,24,24,0.47267720103263855,0.5273227691650391,24,1,10,0,0.8530799746513367,0.7450718283653259,0.2444385290145874,0.294274651336911,1.4087914167505402,0.4913640022277832,0.5086360573768616,0.3753677010536194,0.13092917203903198
10,9,9,9,0.48053181171417236,0.5194681882858276,9,1,9,1,0.9712165594100952,0.7681697010993958,0.20626471936702728,0.26374460527045734,1.5785948896858122,0.79311603307724,0.20688402652740479,0.20626471936702728,0.025827735662460327
11,16,16,16,0.4816388785839081,0.5183611512184143,16,1,16,1,0.9999877214431763,0.9897938966751099,0.662150502204895,0.01025854270370016,0.4122624041636384,0.29444947838783264,0.7055505514144897,0.662150502204895,0.624772023409605
12,20,20,11,0.48167911171913147,0.5183209180831909,20,1,11,0,0.0692499652504921,0.507477879524231,0.2549900412559509,0.6783021561605144,1.3665307884845659,0.8631049990653992,0.1368950456380844,0.4229462742805481,0.16795623302459717
13,3,3,11,0.5181315541267395,0.4818684458732605,3,1,6,0,0.6053682565689087,0.602286696434021,0.2911575138568878,0.507021707115934,1.2338908735208096,0.3423750400543213,0.6576250195503235,0.3353067636489868,0.044149249792099
14,24,24,24,0.5327476859092712,0.46725234389305115,24,1,10,0,0.7362610697746277,0.7732434868812561,0.3643335700035095,0.25716129049639447,1.0096854298759974,0.4307461082935333,0.5692539215087891,0.5473942160606384,0.1830606460571289
15,24,24,24,0.5409409999847412,0.4590589702129364,24,1,24,1,0.9950757622718811,0.9520437121391296,0.5487899780273438,0.04914432913235303,0.6000394643491899,0.458495169878006,0.5415048003196716,0.5487899780273438,0.2598406970500946
16,23,12,23,0.5422144532203674,0.45778554677963257,23,1,23,1,0.038938552141189575,0.3029819428920746,0.1281806379556656,1.1940820696641812,2.054314775888752,0.5515116453170776,0.44848835468292236,0.1281806379556656,0.03293466567993164
17,3,15,6,0.488623708486557,0.5113762617111206,15,0,6,0,0.0364084467291832,0.02403719536960125,0.03904430568218231,3.728152841279057,3.2430582345283034,0.9552964568138123,0.04470352828502655,0.17622680962085724,0.028563067317008972
18,15,15,15,0.46791526675224304,0.5320847630500793,15,1,15,1,0.998996913433075,0.9462115168571472,0.3794954717159271,0.05528914416486323,0.9689126144549883,0.42953231930732727,0.5704677104949951,0.3794954717159271,0.2417464256286621
19,22,25,22,0.46912312507629395,0.530876874923706,25,0,25,0,0.5688562989234924,0.17450596392154694,0.2533547580242157,1.7457963607228404,1.372964566797588,0.11037012189626694,0.8896298408508301,0.3075895309448242,0.05423477292060852
20,16,16,16,0.4198376536369324,0.5801623463630676,16,1,16,1,0.9999838471412659,0.9899593591690063,0.7360008358955383,0.010091388040568975,0.30652402452627214,0.46374037861824036,0.5362595915794373,0.7360008358955383,0.6775373630225658
21,0,0,0,0.4199172258377075,0.5800827741622925,0,1,0,1,1.0,0.999751091003418,0.9685040712356567,0.0002489399795677236,0.03200259249326951,0.3968088626861572,0.6031911373138428,0.9685040712356567,0.9639657475054264
22,11,11,4,0.4199184775352478,0.5800815224647522,4,0,11,1,0.29146498441696167,0.31439727544784546,0.1819918155670166,1.1570978843429887,1.7037935623284928,0.19218695163726807,0.8078130483627319,0.1819918155670166,0.018877536058425903
23,8,8,8,0.44422924518585205,0.555770754814148,8,1,8,1,0.6991806626319885,0.7027533650398254,0.4109577238559723,0.35274928081873463,0.8892649314408272,0.4109880328178406,0.5890119671821594,0.4109577238559723,0.30965613573789597
24,18,18,22,0.43068477511405945,0.5693152546882629,18,1,22,0,0.3633419871330261,0.4951488971710205,0.1919144093990326,0.70289675927971,1.65070579072579,0.26441553235054016,0.7355844378471375,0.20522919297218323,0.013314783573150635
25,13,13,13,0.45057412981987,0.5494258999824524,13,1,13,1,0.9950294494628906,0.8395029902458191,0.2972411811351776,0.17494524053423355,1.2132114120256943,0.38456645607948303,0.6154335737228394,0.2972411811351776,0.18144508451223373
