round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,27,9,9,0.5,0.5,9,0,4,0,0.7974069714546204,0.19762592017650604,0.03217339888215065,1.6213793272887373,3.436615289530676,0.12569625675678253,0.8743037581443787,0.08680523931980133,0.014894083142280579
1,9,9,9,0.48215118050575256,0.5178488492965698,9,1,12,0,0.9171530604362488,0.7534884214401245,0.014505261555314064,0.2830416274037576,4.233243829491783,0.5661718249320984,0.4338282346725464,0.1509745568037033,0.07750025391578674
2,4,4,4,0.47745025157928467,0.5225497484207153,4,1,17,0,0.9979420304298401,0.941855788230896,0.009638800285756588,0.05990310717540917,4.641958629789437,0.39807963371276855,0.6019203662872314,0.08686728030443192,0.016370870172977448
3,21,21,21,0.4761368930339813,0.5238631367683411,21,1,18,0,0.9999857544898987,0.9941669702529907,0.013553502969443798,0.005850108310586928,4.3011102433372415,0.300606906414032,0.699393093585968,0.12386329472064972,0.017354421317577362
4,27,17,14,0.47624269127845764,0.52375727891922,14,0,13,0,0.6335353255271912,0.1330699473619461,0.03427429124712944,2.0168803689932124,3.3733597321682915,0.083790123462677,0.916209876537323,0.11106416583061218,0.008952207863330841
5,13,21,4,0.4740375578403473,0.5259624123573303,4,0,17,0,0.2421712428331375,0.07947621494531631,0.02647491917014122,2.5322974851638187,3.6315574405629265,0.10367345064878464,0.8963265419006348,0.09354066848754883,0.010464154183864594
6,9,9,9,0.4537472426891327,0.5462527275085449,9,1,12,0,0.9991485476493835,0.8901616334915161,0.02438781037926674,0.11635222208054706,3.713671846132173,0.34210267663002014,0.6578973531723022,0.17136722803115845,0.08083056658506393
7,2,2,2,0.4533146321773529,0.5466853380203247,2,1,16,0,0.9943562746047974,0.9170385599136353,0.009612531401216984,0.08660575754035654,4.644687677449132,0.46712809801101685,0.5328718423843384,0.08724194765090942,0.0014832913875579834
8,3,3,3,0.455269455909729,0.544730544090271,3,1,2,0,0.9990044236183167,0.9101252555847168,0.018933426588773727,0.09417304544354987,3.9668263164718702,0.5979282259941101,0.4020718038082123,0.11648869514465332,0.013165704905986786
9,10,10,10,0.4549175202846527,0.5450825095176697,10,1,5,0,0.9191476106643677,0.8293636441230774,0.014576329849660397,0.18709656607913597,4.228356309078677,0.4411449730396271,0.5588550567626953,0.08399035036563873,0.005478225648403168
10,9,9,9,0.45951640605926514,0.5404835939407349,9,1,12,0,0.9712165594100952,0.7667363882064819,0.03729464113712311,0.2656122287290109,3.2889056318998113,0.3523837924003601,0.6476162075996399,0.14984138309955597,0.02210994064807892
11,16,16,16,0.4606179893016815,0.5393820405006409,16,1,13,0,0.9985331892967224,0.9437863826751709,0.04122085124254227,0.05785542798299116,3.1888110525311584,0.4040442109107971,0.5959558486938477,0.16043837368488312,0.06182485073804855
12,4,4,11,0.461636483669281,0.538363516330719,4,1,7,0,0.4136463403701782,0.4050082564353943,0.01319995429366827,0.903847825823162,4.327541911996695,0.7695419788360596,0.23045799136161804,0.11550305783748627,0.009944096207618713
13,3,3,15,0.48717159032821655,0.5128284096717834,3,1,27,0,0.027183830738067627,0.49195361137390137,0.03950922191143036,0.7093708527604206,3.2312211682118717,0.1975458264350891,0.8024541735649109,0.17684048414230347,0.09273801743984222
14,27,14,27,0.537950873374939,0.4620491564273834,27,1,13,0,0.072707399725914,0.45954909920692444,0.044634055346250534,0.7775094893433072,3.109258138543618,0.5293885469436646,0.47061148285865784,0.10407278686761856,0.027463823556900024
15,2,2,2,0.4956493377685547,0.5043506622314453,2,1,5,0,0.9058144092559814,0.6150566339492798,0.012810073792934418,0.48604092769302704,4.357523402517532,0.3660963773727417,0.6339036226272583,0.08841732889413834,0.01105991005897522
16,5,5,5,0.490640252828598,0.5093597769737244,5,1,3,0,0.9032114744186401,0.750252902507782,0.12291274219751358,0.28734492594834166,2.096280588390558,0.43171536922454834,0.5682846307754517,0.12392251938581467,0.0010097771883010864
17,1,2,5,0.4828481078147888,0.5171518921852112,5,0,3,0,0.45261940360069275,0.21559269726276398,0.0195937417447567,1.5343643122149984,3.932545062469264,0.20952321588993073,0.7904767990112305,0.14545100927352905,0.026456981897354126
18,7,7,7,0.4570918083190918,0.5429081916809082,7,1,13,0,0.9627323746681213,0.80599445104599,0.01599922776222229,0.21567842105753252,4.135214822768249,0.3699062168598175,0.6300937533378601,0.14316444098949432,0.009890183806419373
19,6,0,6,0.45982062816619873,0.5401793718338013,6,1,13,0,0.09647369384765625,0.476880818605423,0.047647908329963684,0.7404886754861673,3.04391654638342,0.5253214836120605,0.47467854619026184,0.18558362126350403,0.09773095697164536
20,6,6,6,0.4192148447036743,0.5807851552963257,6,1,13,0,0.9690818190574646,0.871848464012146,0.06011166423559189,0.13713964997720177,2.8115513758130515,0.3484135568141937,0.6515864729881287,0.0874437540769577,0.011964589357376099
21,3,3,3,0.41685980558395386,0.5831401944160461,3,1,2,0,0.9089178442955017,0.7558363080024719,0.03841933235526085,0.27993045005352174,3.259194499323669,0.5854417085647583,0.4145582914352417,0.09004398435354233,0.0003442242741584778
22,7,5,7,0.42249733209609985,0.5775026679039001,7,1,3,0,0.361605167388916,0.6496925354003906,0.053186286240816116,0.43125605046380816,2.933954693293119,0.6228519082069397,0.3771480917930603,0.13794121146202087,0.02402501553297043
23,15,15,15,0.4016633927822113,0.5983366370201111,15,1,27,0,0.9992352724075317,0.9743049740791321,0.017147619277238846,0.026030909278917987,4.065895932659962,0.5225816369056702,0.47741836309432983,0.2114909589290619,0.13253547251224518
24,4,4,4,0.4009694457054138,0.5990305542945862,4,1,27,0,0.6612544655799866,0.5489771366119385,0.016903741285204887,0.5996984838553997,4.08022030373079,0.6837179660797119,0.3162820637226105,0.06277909129858017,0.004854876548051834
25,9,9,9,0.4170645773410797,0.5829354524612427,9,1,27,0,0.9112027883529663,0.7804024815559387,0.04500056058168411,0.24794549038695687,3.1010803319186517,0.09579940140247345,0.9042006134986877,0.14967836439609528,0.04289335012435913
26,8,26,8,0.40951159596443176,0.5904884338378906,8,1,7,0,0.22805380821228027,0.5248981714248657,0.023302806541323662,0.6445509943937617,3.7591814732469677,0.7016471028327942,0.2983528673648834,0.1342296302318573,0.02205026149749756
27,12,12,19,0.38313260674476624,0.6168673634529114,12,1,3,0,0.4462112486362457,0.15530218183994293,0.018444590270519257,1.862382499731446,3.9929841617600954,0.27005547285079956,0.7299445271492004,0.1700383573770523,0.04711679369211197
28,10,10,10,0.40352141857147217,0.5964785814285278,10,1,5,0,0.9115670323371887,0.6467153429985046,0.01954331062734127,0.43584904574761885,3.935122218502807,0.5401925444602966,0.45980748534202576,0.09689734876155853,0.018150687217712402
29,2,2,2,0.41389012336730957,0.5861098766326904,2,1,27,0,0.9814478754997253,0.8183254599571228,0.01847488060593605,0.20049514870156865,3.9913432746350024,0.18188436329364777,0.8181156516075134,0.09595825523138046,0.00590292364358902
30,10,10,21,0.4178224802017212,0.5821775197982788,21,0,3,0,0.0008450105669908226,0.414670467376709,0.019039899110794067,0.8802711286936677,3.961218548435789,0.8642529249191284,0.13574713468551636,0.07884426414966583,0.00041087716817855835
