round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,11,11,11,0.5,0.5,11,1,11,1,0.973118245601654,0.8693592548370361,0.3657488524913788,0.13999882736760166,1.0058083764993233,0.5237179398536682,0.4762820601463318,0.3657488524913788,0.161115363240242
1,8,5,8,0.5003213882446289,0.4996785819530487,8,1,8,1,0.4578503370285034,0.5701628923416138,0.15469485521316528,0.5618331829418163,1.866300778496753,0.26009997725486755,0.7399000525474548,0.15469485521316528,0.046498797833919525
2,16,6,16,0.49788230657577515,0.5021176934242249,16,1,16,1,0.2310032844543457,0.5042088031768799,0.1626167893409729,0.6847648046883922,1.8163588317193688,0.5283558964729309,0.4716441035270691,0.1626167893409729,0.007530421018600464
3,12,12,12,0.4953782260417938,0.5046217441558838,12,1,12,1,0.9992724657058716,0.9501289129257202,0.3814864158630371,0.05115760577711882,0.9636800360657904,0.6374104022979736,0.36258959770202637,0.3814864158630371,0.27995002269744873
4,5,1,1,0.4953185021877289,0.5046815276145935,1,0,1,0,0.7757973670959473,0.21490541100502014,0.2214571237564087,1.5375572964742077,1.507526280440294,0.5842753648757935,0.41572463512420654,0.28997716307640076,0.06852003931999207
5,10,10,10,0.4994112551212311,0.5005887746810913,10,1,10,1,0.9914578199386597,0.9274857640266418,0.5292195081710815,0.07527783337667787,0.6363519839077754,0.4297988712787628,0.5702010989189148,0.5292195081710815,0.40265457332134247
6,2,2,2,0.49922341108322144,0.5007765889167786,2,1,2,1,0.9928385019302368,0.8825424909591675,0.5566473007202148,0.12494834293812482,0.5858234519699642,0.5642076134681702,0.43579235672950745,0.5566473007202148,0.46543924510478973
7,2,2,2,0.4991014897823334,0.5008984804153442,2,1,2,1,0.9979848861694336,0.9105718731880188,0.5846055746078491,0.09368244477724241,0.5368178905860893,0.5644983649253845,0.4355016052722931,0.5846055746078491,0.5256774015724659
8,10,10,24,0.4988705515861511,0.5011294484138489,10,1,10,1,0.14105527102947235,0.5521066784858704,0.29813167452812195,0.5940139932504112,1.2102200292358594,0.9387364387512207,0.061263568699359894,0.29813167452812195,0.02931174635887146
9,12,12,19,0.5016235113143921,0.4983764588832855,12,1,2,0,0.4462112486362457,0.18576110899448395,0.05909699574112892,1.6832937910111647,2.828575189345586,0.6649942398071289,0.3350057303905487,0.1659170538187027,0.07699458301067352
10,19,5,19,0.5037599205970764,0.4962400496006012,19,1,2,0,0.1970953792333603,0.28019043803215027,0.12694494426250458,1.2722857711713322,2.064001796260119,0.7908497452735901,0.20915022492408752,0.21432216465473175,0.08737722039222717
11,27,17,17,0.5006166696548462,0.4993833005428314,17,0,17,0,0.9980512261390686,0.026657525449991226,0.10000582784414291,3.624683787369545,2.302526816250739,0.5390545725822449,0.4609454274177551,0.4346942603588104,0.32124878466129303
12,14,27,14,0.49986356496810913,0.5001364350318909,14,1,14,1,0.17232584953308105,0.5221967697143555,0.3545146584510803,0.6497108086528338,1.03700558421439,0.11903152614831924,0.880968451499939,0.3545146584510803,0.05110245943069458
13,6,3,11,0.49739164113998413,0.5026083588600159,3,0,3,0,0.3490656316280365,0.23214387893676758,0.14112664759159088,1.4603979317095315,1.9580975818836244,0.7752512097358704,0.22474877536296844,0.20908035337924957,0.06795370578765869
14,11,11,16,0.4979996681213379,0.5020003318786621,11,1,20,0,0.21131324768066406,0.31883126497268677,0.1080571711063385,1.1430932660695385,2.2250948298248776,0.29680338501930237,0.7031965851783752,0.16594944894313812,0.027092397212982178
15,24,24,24,0.5021986961364746,0.4978013038635254,24,1,24,1,0.9886260032653809,0.8562572598457336,0.28108397126197815,0.15518441078969386,1.2691018241754153,0.6206129193305969,0.3793870806694031,0.28108397126197815,0.191096730530262
16,18,18,22,0.5026235580444336,0.4973764419555664,18,1,18,1,0.5060890913009644,0.5853493809700012,0.4470127820968628,0.5355463775952377,0.8051680894824108,0.33229243755340576,0.6677075028419495,0.4470127820968628,0.3130663335323334
17,15,15,15,0.5042876601219177,0.4957123100757599,15,1,15,1,0.9964345693588257,0.9541653394699097,0.5759172439575195,0.046918310737285314,0.5517913022931603,0.5118080973625183,0.4881919324398041,0.5759172439575195,0.4255477786064148
18,1,5,1,0.5044040679931641,0.49559593200683594,1,1,5,0,0.6220211982727051,0.6577749252319336,0.23892389237880707,0.41889246509034983,1.4316102196937017,0.7010216116905212,0.29897838830947876,0.28017279505729675,0.041248902678489685
19,0,0,0,0.5031889081001282,0.4968111217021942,0,1,0,1,1.0,0.999855637550354,0.9522557854652405,0.00014437287090740127,0.04892159806798594,0.534771740436554,0.46522822976112366,0.9522557854652405,0.9454966709017754
20,9,5,9,0.5031887888908386,0.4968112111091614,9,1,9,1,0.14590317010879517,0.3347712457180023,0.2870202958583832,1.0943078290073438,1.2482023484462683,0.7952610850334167,0.20473888516426086,0.2870202958583832,0.21303218603134155
21,7,5,7,0.49880555272102356,0.5011944770812988,5,0,7,1,0.33369481563568115,0.21682952344417572,0.17829541862010956,1.5286438404400189,1.7243134492266163,0.41599559783935547,0.5840044021606445,0.17829541862010956,0.05377846211194992
22,10,10,10,0.4972727298736572,0.5027272701263428,10,1,10,1,0.9961848258972168,0.9285051226615906,0.4529183804988861,0.07417938106771861,0.7920433452318059,0.5421149730682373,0.4578850567340851,0.4529183804988861,0.28009916841983795
23,6,3,11,0.4974556565284729,0.5025443434715271,3,0,3,0,0.01868894137442112,0.01623639278113842,0.04129819571971893,4.120500088308798,3.186936467143338,0.8518518209457397,0.14814825356006622,0.23226793110370636,0.10342507064342499
24,1,5,22,0.499263197183609,0.5007367730140686,5,0,2,0,0.17342734336853027,0.07134754210710526,0.04771753400564194,2.6401923840464105,3.0424563594153935,0.12126626074314117,0.8787338137626648,0.09918589144945145,0.00015401840209960938
25,4,4,4,0.4978889524936676,0.50211101770401,4,1,4,1,0.9998841881752014,0.9755042195320129,0.5668864250183105,0.024800793421393335,0.5675963039285156,0.5355415344238281,0.4644584655761719,0.5668864250183105,0.526384312659502
26,20,20,15,0.4979379177093506,0.5020620822906494,20,1,20,1,0.1888854056596756,0.5269294381141663,0.3273404836654663,0.6406886329268187,1.1167544153425095,0.5346775650978088,0.4653224050998688,0.3273404836654663,0.050999850034713745
27,21,21,21,0.5005642175674438,0.49943578243255615,21,1,21,1,0.9999985694885254,0.997347891330719,0.892734944820404,0.002655631739900558,0.11346555647458155,0.5883480906486511,0.4116518795490265,0.892734944820404,0.8731941040605307
28,13,13,4,0.5005587339401245,0.4994412660598755,13,1,4,0,0.16943761706352234,0.5436280965805054,0.21418984234333038,0.6094899119103938,1.5408925434592553,0.7713032960891724,0.22869673371315002,0.22040590643882751,0.006216064095497131
29,1,1,1,0.5035316348075867,0.49646836519241333,1,1,1,1,0.8778105974197388,0.7774098515510559,0.41389310359954834,0.2517875882091971,0.8821475423630053,0.6334183216094971,0.36658164858818054,0.41389310359954834,0.17337600886821747
30,13,13,13,0.5028177499771118,0.4971822500228882,13,1,13,1,0.5848528742790222,0.5886501669883728,0.14603470265865326,0.5299232157777323,1.9239109960746303,0.7039464712142944,0.2960534691810608,0.14603470265865326,0.015560895204544067
31,21,21,21,0.5046939849853516,0.49530601501464844,21,1,21,1,0.9832345247268677,0.8531765937805176,0.5149824619293213,0.15878872621117804,0.663622433404441,0.6130222678184509,0.3869777321815491,0.5149824619293213,0.3979680836200714
32,15,15,15,0.5042704343795776,0.4957295358181,15,1,15,1,0.8941365480422974,0.7692285180091858,0.3398587703704834,0.262367191059832,1.0792251289299086,0.3898068964481354,0.610193133354187,0.3398587703704834,0.221247598528862
33,17,17,17,0.5050477385520935,0.4949522614479065,17,1,17,1,0.9857537746429443,0.7886343002319336,0.2655947804450989,0.23745256338947343,1.3257835135115938,0.5622527003288269,0.43774735927581787,0.2655947804450989,0.0899183601140976
34,4,4,4,0.5049697756767273,0.4950302243232727,4,1,4,1,0.9699692130088806,0.6910267472267151,0.26014819741249084,0.36957674796546186,1.3465038203011936,0.6822647452354431,0.3177352547645569,0.26014819741249084,0.15133828669786453
35,25,25,22,0.5044441819190979,0.4955558180809021,25,1,25,1,0.5415109992027283,0.5862376689910889,0.2846645712852478,0.5340299931467589,1.2564437347134243,0.5865029692649841,0.4134970009326935,0.2846645712852478,0.14097946882247925
36,26,26,26,0.5059387683868408,0.4940612316131592,26,1,26,1,0.8009529113769531,0.6707226037979126,0.14778117835521698,0.3993996346433654,1.9120226239410354,0.5842374563217163,0.41576245427131653,0.14778117835521698,0.0020848065614700317
37,24,24,24,0.5072610974311829,0.49273890256881714,24,1,24,1,0.9558687806129456,0.8474160432815552,0.416303426027298,0.1655635086092575,0.8763408951074133,0.4290323853492737,0.5709676146507263,0.416303426027298,0.21989762783050537
