round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,7,26,7,0.5,0.5,7,1,12,0,0.24674567580223083,0.2702409029006958,0.15399308502674103,1.30844148482145,1.8708475800004114,0.44417500495910645,0.5558249950408936,0.23425550758838654,0.0324455201625824
1,9,9,9,0.45996204018592834,0.5400379300117493,9,1,9,1,0.9112027883529663,0.7611591815948486,0.21410828828811646,0.2729127687566858,1.5412733719073242,0.6682387590408325,0.33176127076148987,0.21410828828811646,0.02719263732433319
2,21,21,21,0.4522348940372467,0.5477650761604309,21,1,21,1,0.9948246479034424,0.8806506991386414,0.3893379867076874,0.12709421391481426,0.9433074521733449,0.5571996569633484,0.4428003430366516,0.3893379867076874,0.25332772731781006
3,7,8,12,0.4526928961277008,0.5473070740699768,8,0,8,0,0.10201967507600784,0.12995493412017822,0.08902762085199356,2.040567549241249,2.4188086107459448,0.24962753057479858,0.7503724694252014,0.09682466089725494,0.007797040045261383
4,24,24,24,0.47844579815864563,0.5215542316436768,24,1,24,1,0.9886260032653809,0.8494150638580322,0.43886688351631165,0.16320732655568904,0.8235591385037754,0.3526805639266968,0.6473193764686584,0.43886688351631165,0.3346213847398758
5,17,17,27,0.4826880395412445,0.5173119306564331,27,0,12,0,0.03398682922124863,0.10813899338245392,0.11961512267589569,2.224337903537906,2.1234760016805545,0.3209695816040039,0.6790304780006409,0.13368330895900726,0.014068186283111572
6,4,4,13,0.5054570436477661,0.4945429563522339,4,1,13,0,0.44914302229881287,0.4795973300933838,0.17000140249729156,0.7348084227888443,1.7719485919818383,0.8273348808288574,0.17266511917114258,0.21281246840953827,0.042811065912246704
7,3,16,6,0.5173407793045044,0.4826591908931732,6,0,16,0,0.15072491765022278,0.124266617000103,0.11632884293794632,2.0853258845161733,2.151334245580076,0.23777684569358826,0.7622231245040894,0.2058562934398651,0.08952745050191879
8,24,24,24,0.4874632656574249,0.5125367641448975,24,1,24,1,0.711355447769165,0.6512112617492676,0.34317246079444885,0.42892117060233037,1.0695221570283437,0.43110430240631104,0.568895697593689,0.34317246079444885,0.2325332909822464
9,27,27,27,0.5016887187957764,0.498311311006546,27,1,27,1,0.9704968929290771,0.8049930930137634,0.28179582953453064,0.2169215817075092,1.2665724790077268,0.668674647808075,0.33132535219192505,0.28179582953453064,0.02587231993675232
10,24,26,21,0.5051429867744446,0.4948570132255554,21,0,21,0,0.18138867616653442,0.07786905020475388,0.07543760538101196,2.55272670665841,2.5844493831939697,0.686119019985199,0.31388092041015625,0.0983535423874855,0.02291593700647354
11,18,18,22,0.47475460171699524,0.5252454280853271,18,1,18,1,0.5060890913009644,0.5664142966270447,0.31306400895118713,0.5684294957011166,1.161347607908061,0.30276796221733093,0.6972320675849915,0.31306400895118713,0.1371610015630722
12,3,6,3,0.49137619137763977,0.5086238384246826,3,1,3,1,0.6671499609947205,0.5030511021614075,0.3057671785354614,0.6870635192885062,1.18493132108569,0.6016126871109009,0.39838728308677673,0.3057671785354614,0.07263973355293274
13,0,0,0,0.4839816093444824,0.5160183906555176,0,1,0,1,1.0,0.9997575879096985,0.9062116146087646,0.00024244147686147674,0.0984824300040826,0.4872434139251709,0.5127565264701843,0.9062116146087646,0.8928115088492632
14,15,15,15,0.4839828610420227,0.5160171389579773,15,1,15,1,0.7943978309631348,0.7243406176567078,0.2373073846101761,0.3224935308543597,1.438398996723409,0.6337710618972778,0.3662288784980774,0.2373073846101761,0.06636391580104828
15,2,2,2,0.4935152530670166,0.5064847469329834,2,1,19,0,0.9225703477859497,0.7261733412742615,0.18872188031673431,0.3199665305707119,1.667480880405783,0.6545704007148743,0.34542950987815857,0.20594723522663116,0.01722535490989685
16,25,25,25,0.48653870820999146,0.5134612917900085,25,1,22,0,0.9042900800704956,0.7154297828674316,0.20134492218494415,0.3348718219538334,1.6027358108507292,0.41241103410720825,0.5875889658927917,0.25080445408821106,0.04945953190326691
17,22,2,16,0.4921134412288666,0.5078865885734558,16,0,16,0,0.019761258736252785,0.17349287867546082,0.17352578043937683,1.7516187255358049,1.7514291002050026,0.7571467757225037,0.24285322427749634,0.3185194730758667,0.14499369263648987
18,16,16,16,0.5412494540214539,0.45875054597854614,16,1,16,1,0.9999997019767761,0.9978020191192627,0.8420672416687012,0.002200399986128319,0.1718954084643919,0.3234061002731323,0.6765938997268677,0.8420672416687012,0.8222704268991947
19,9,17,27,0.5412799715995789,0.45872002840042114,27,0,17,0,0.35856109857559204,0.04847121238708496,0.10797285288572311,3.0267852162937734,2.2258754456239127,0.3499618470668793,0.6500381827354431,0.326254278421402,0.11907635629177094
20,22,18,25,0.5486084222793579,0.4513916075229645,25,0,19,0,0.06190597638487816,0.07534223794937134,0.1364212930202484,2.5857143724956084,1.9920074385696622,0.8521609902381897,0.1478390097618103,0.17180269956588745,0.017988726496696472
21,14,27,14,0.616496205329895,0.383503794670105,14,1,14,1,0.14569643139839172,0.2333908975124359,0.13910846412181854,1.455040559408452,1.9725013327176462,0.4540829360485077,0.5459170937538147,0.13910846412181854,0.006891608238220215
22,4,4,13,0.5707986354827881,0.4292013943195343,4,1,4,1,0.5058996677398682,0.6397859454154968,0.25689172744750977,0.44662161886102236,1.3591005768347195,0.8385694622993469,0.16143055260181427,0.25689172744750977,0.11711061000823975
23,14,14,14,0.5907799601554871,0.40922001004219055,14,1,14,1,0.6439652442932129,0.6007475256919861,0.2591322660446167,0.5095805230723576,1.35041666792616,0.30008459091186523,0.6999154090881348,0.2591322660446167,0.12133343517780304
24,14,14,14,0.6026151180267334,0.397384911775589,14,1,14,1,0.9952916502952576,0.8850880861282349,0.4520191252231598,0.12206810657893508,0.7940307876044329,0.6210764646530151,0.3789235055446625,0.4520191252231598,0.3212757855653763
