round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,4,13,13,0.5,0.5,13,0,13,0,0.9862426519393921,0.0665033832192421,0.11594812572002411,2.710502457137117,2.154612379964723,0.8020697832107544,0.19793018698692322,0.47141334414482117,0.35546521842479706
1,15,15,15,0.4485894739627838,0.5514105558395386,15,1,15,1,0.991400420665741,0.886227011680603,0.5739595890045166,0.12078214033754602,0.5551962875720938,0.4577101469039917,0.5422898530960083,0.5739595890045166,0.5115931108593941
2,4,5,4,0.4508799612522125,0.5491200685501099,4,1,4,1,0.025323251262307167,0.4083631932735443,0.1386876255273819,0.8955983209608329,1.9755311731801755,0.7098719477653503,0.29012805223464966,0.1386876255273819,0.06024101376533508
3,21,21,21,0.38013216853141785,0.6198678612709045,21,1,21,1,0.9720593690872192,0.8599238395690918,0.5171278715133667,0.1509114522967225,0.6594651013740801,0.773777961730957,0.22622208297252655,0.5171278715133667,0.37884384393692017
4,3,3,3,0.3830297291278839,0.6169702410697937,3,1,15,0,0.9616955518722534,0.5997565984725952,0.15459303557872772,0.511231375284347,1.866959191846562,0.7594801783561707,0.24051986634731293,0.20094452798366547,0.046351492404937744
5,5,7,5,0.38797232508659363,0.6120277047157288,5,1,8,0,0.47807571291923523,0.5253583192825317,0.18922141194343567,0.6436747362774249,1.6648374578193164,0.5474711656570435,0.45252886414527893,0.21375122666358948,0.02452981472015381
6,2,2,2,0.374809592962265,0.6251903772354126,2,1,2,1,0.9985095262527466,0.928348183631897,0.7138189673423767,0.07434841868586042,0.3371258959305913,0.5718616247177124,0.42813840508461,0.7138189673423767,0.6657775118947029
7,7,7,7,0.37476903200149536,0.6252309679985046,7,1,7,1,0.993843138217926,0.8749688267707825,0.26733580231666565,0.13356701980684033,1.3192497242278802,0.4944249093532562,0.5055750608444214,0.26733580231666565,0.09612582623958588
8,24,24,24,0.37611299753189087,0.6238870024681091,24,1,24,1,0.7362610697746277,0.6977618336677551,0.7460755109786987,0.3598774469563781,0.29292846274982054,0.681388795375824,0.3186112344264984,0.7460755109786987,0.5985706150531769
9,23,18,18,0.3838765025138855,0.6161234974861145,18,0,25,0,0.5725117325782776,0.18592150509357452,0.08995283395051956,1.6824307099685347,2.4084698132395417,0.7193912863731384,0.28060874342918396,0.2347407191991806,0.05469980835914612
10,17,17,17,0.4239857792854309,0.5760142207145691,17,1,17,1,0.9999785423278809,0.9544180631637573,0.47028979659080505,0.04665348217912436,0.7544061857995394,0.7784485816955566,0.22155141830444336,0.47028979659080505,0.21395602822303772
11,21,21,21,0.4239264726638794,0.5760735273361206,21,1,21,1,0.9490372538566589,0.7990421056747437,0.4053654074668884,0.2243416366384645,0.9029663779910636,0.6632485389709473,0.33675146102905273,0.4053654074668884,0.23548851907253265
12,9,9,9,0.4276007413864136,0.5723992586135864,9,1,9,1,0.9112027883529663,0.7756760716438293,0.34873515367507935,0.25402027939718747,1.0534425168599937,0.5848115086555481,0.4151885211467743,0.34873515367507935,0.2669743150472641
13,13,6,21,0.41999441385269165,0.5800055861473083,21,0,21,0,0.06270439177751541,0.11870785802602768,0.12048379331827164,2.131089778832937,2.116240030380782,0.9129034876823425,0.08709657192230225,0.1588830053806305,0.022170305252075195
14,20,11,6,0.4041033089160919,0.5958967208862305,11,0,11,0,0.27186936140060425,0.10344753414392471,0.11598740518093109,2.2686907112861294,2.154273669797032,0.8036988973617554,0.19630107283592224,0.14887696504592896,0.032889559864997864
15,4,4,13,0.4025243818759918,0.5974755883216858,4,1,4,1,0.44914302229881287,0.43609583377838135,0.20586715638637543,0.8298932575420829,1.580524190122681,0.831204891204834,0.16879506409168243,0.20586715638637543,0.04248376190662384
16,24,24,24,0.41401407122612,0.5859858989715576,24,1,24,1,0.9986635446548462,0.9669154286384583,0.8779365420341492,0.03364424481111317,0.13018096354655595,0.8626110553741455,0.13738897442817688,0.8779365420341492,0.8393803834915161
17,3,3,3,0.4147055745124817,0.5852944254875183,3,1,3,1,0.9850383400917053,0.8443299531936646,0.39665794372558594,0.16921192098031415,0.9246809723942352,0.38252630829811096,0.6174736618995667,0.39665794372558594,0.22833776473999023
18,15,15,15,0.4174830913543701,0.5825169086456299,15,1,15,1,0.8941365480422974,0.7291038632392883,0.4554957449436188,0.3159390835426047,0.7863689038326305,0.7889527678489685,0.2110472023487091,0.4554957449436188,0.3670167401432991
19,8,8,8,0.4250636696815491,0.5749363303184509,8,1,8,1,0.9999822378158569,0.9922026991844177,0.7753371000289917,0.00782785871532329,0.25445737642050786,0.644935131072998,0.35506483912467957,0.7753371000289917,0.7447150964289904
20,17,17,17,0.42486652731895447,0.5751335024833679,17,1,17,1,0.9978122711181641,0.9246512651443481,0.4477667212486267,0.07833862321085497,0.8034828936830658,0.7324466109275818,0.26755332946777344,0.4477667212486267,0.2523795813322067
21,8,8,8,0.42432305216789246,0.5756769180297852,8,1,8,1,0.9545477628707886,0.8296846151351929,0.4659334421157837,0.18670963216768535,0.7637124831351098,0.4131726026535034,0.5868274569511414,0.4659334421157837,0.3629149869084358
22,0,0,0,0.41934308409690857,0.5806569457054138,0,1,0,1,0.9971543550491333,0.949923038482666,0.7167189121246338,0.05137430979271931,0.33307154854663684,0.5566539764404297,0.4433459937572479,0.7167189121246338,0.6611670069396496
23,8,8,8,0.41787418723106384,0.5821257829666138,8,1,8,1,0.9985201954841614,0.9689853191375732,0.7521846890449524,0.031505817734961424,0.2847733880520911,0.7265716791152954,0.2734283208847046,0.7521846890449524,0.6919592246413231
24,6,6,6,0.41713371872901917,0.5828662514686584,6,1,6,1,0.7763303518295288,0.5760282278060913,0.18930938839912415,0.551598612879233,1.664372626650001,0.6966035962104797,0.3033963739871979,0.18930938839912415,0.01006537675857544
25,6,4,4,0.4160972833633423,0.5839027166366577,4,0,4,0,0.7834557890892029,0.05474484711885452,0.04180464148521423,2.9050720312653695,3.174747905299816,0.8598906993865967,0.14010924100875854,0.2720007002353668,0.0749005675315857
26,14,14,14,0.4471011161804199,0.5528988838195801,14,1,9,0,0.7227166891098022,0.43836191296577454,0.2180173248052597,0.8247104244814786,1.523180747766987,0.6816992163658142,0.3183007836341858,0.24469603598117828,0.02667871117591858
27,0,0,0,0.4449792206287384,0.555020809173584,0,1,0,1,0.9998605847358704,0.9856314063072205,0.8232401609420776,0.014472821544960152,0.19450730927952734,0.5734026432037354,0.42659732699394226,0.8232401609420776,0.7566696926951408
28,4,21,4,0.44491589069366455,0.5550841093063354,4,1,4,1,0.3483486473560333,0.6379769444465637,0.321266770362854,0.449453133521404,1.1354834406711238,0.8593389987945557,0.14066101610660553,0.321266770362854,0.09046179056167603
29,15,15,15,0.42522379755973816,0.5747762322425842,15,1,15,1,0.9992352724075317,0.9729868173599243,0.7972158193588257,0.02738474533608949,0.22662984718906834,0.41594791412353516,0.5840520858764648,0.7972158193588257,0.7453143894672394
30,6,15,24,0.42451804876327515,0.5754819512367249,15,0,15,0,0.05237860605120659,0.038365237414836884,0.037753645330667496,3.2606035050532176,3.276673242898413,0.9586321115493774,0.04136788472533226,0.24193830788135529,0.13172344863414764
31,14,14,14,0.4461956024169922,0.5538043975830078,14,1,14,1,0.763805091381073,0.44327113032341003,0.1369064301252365,0.8135736638196516,1.9884575782857519,0.8063971996307373,0.19360285997390747,0.1369064301252365,0.011366814374923706
32,1,1,1,0.4415120780467987,0.5584878921508789,1,1,5,0,0.887962818145752,0.7217134237289429,0.1576104313135147,0.32612713892593703,1.847628915211193,0.6279417276382446,0.37205827236175537,0.20846201479434967,0.05085158348083496
33,2,2,2,0.4494205713272095,0.5505794286727905,2,1,2,1,0.9698145985603333,0.7795835137367249,0.5575368404388428,0.2489954586519583,0.5842266963264989,0.782192587852478,0.21780741214752197,0.5575368404388428,0.47276508063077927
34,10,10,24,0.4536426365375519,0.5463573336601257,10,1,24,0,0.14105527102947235,0.5120348334312439,0.1637687236070633,0.6693626222114417,1.8093000683648426,0.6209922432899475,0.3790077567100525,0.49944302439689636,0.33567430078983307
35,6,6,11,0.4810480773448944,0.518951952457428,6,1,3,0,0.11396851390600204,0.38223952054977417,0.1956310272216797,0.9617078497226748,1.6315249080834664,0.8893221616744995,0.1106778234243393,0.22295184433460236,0.02330198884010315
36,23,6,23,0.5121375322341919,0.4878624379634857,6,0,23,1,0.005432928446680307,0.3845333755016327,0.22611354291439056,0.9557246914585955,1.486718003595556,0.8714945912361145,0.12850534915924072,0.22611354291439056,0.02804434299468994
37,14,14,14,0.4332074522972107,0.5667925477027893,14,1,14,1,0.9834511876106262,0.8941715955734253,0.46162697672843933,0.11185758086970946,0.7729981237098548,0.6215602159500122,0.3784397840499878,0.46162697672843933,0.2996862232685089
38,21,21,21,0.4301651120185852,0.5698348879814148,21,1,21,1,0.726520299911499,0.6916841864585876,0.3523031175136566,0.36862580548659774,1.0432633446429973,0.32371971011161804,0.6762803196907043,0.3523031175136566,0.11807361245155334
39,27,9,9,0.4383107125759125,0.5616893172264099,9,0,9,0,0.7974069714546204,0.2125808447599411,0.17570917308330536,1.5484329170397335,1.7389250763681638,0.5909452438354492,0.4090547263622284,0.38929283618927,0.19772258400917053
