round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,p_b0_gt,p_m1_gt,loss_b0,loss_m1,pi0,pi1,m1_conf_top1,m1_margin
0,7,7,27,0.5,0.5,7,1,9,0,0.02671869657933712,0.2782512903213501,0.09373845160007477,1.2792306515637395,2.3672468046517934,0.4200000464916229,0.5799998641014099,0.17965452373027802,0.021846473217010498
1,10,10,10,0.5733796954154968,0.4266203045845032,10,1,10,1,0.7978729009628296,0.7573666572570801,0.2603859007358551,0.2779077871173726,1.3455905147531702,0.47392281889915466,0.5260772109031677,0.2603859007358551,0.015568971633911133
2,23,23,23,0.5834073424339294,0.41659268736839294,23,1,23,1,0.9967120885848999,0.9111186861991882,0.4093971848487854,0.09308210897951381,0.8930694820639209,0.4591991901397705,0.5408008098602295,0.4093971848487854,0.27968816459178925
3,1,1,1,0.5819861888885498,0.4180138409137726,1,1,1,1,0.8998174071311951,0.786993145942688,0.40121254324913025,0.2395357396970826,0.9132639590532394,0.23624271154403687,0.7637573480606079,0.40121254324913025,0.21196356415748596
4,8,9,8,0.5768626928329468,0.4231373369693756,8,1,8,1,0.355266809463501,0.4992886781692505,0.1779239922761917,0.6945708371397333,1.726398829568965,0.0736067071557045,0.9263932704925537,0.1779239922761917,0.019429385662078857
5,11,11,15,0.5522177219390869,0.4477822780609131,11,1,11,1,0.2597508430480957,0.312062531709671,0.15280532836914062,1.1645516891081085,1.878590531331925,0.04473463445901871,0.9552653431892395,0.15280532836914062,0.042210668325424194
6,5,8,5,0.5689728856086731,0.4310271143913269,5,1,8,0,0.35520413517951965,0.5271401405334473,0.23604410886764526,0.6402888444757417,1.4437365894389786,0.7414491176605225,0.25855085253715515,0.25856491923332214,0.02252081036567688
7,4,4,4,0.551289439201355,0.448710560798645,4,1,11,0,0.989951491355896,0.810412585735321,0.20767292380332947,0.21021179589268799,1.5717909186425745,0.5395250916481018,0.4604749381542206,0.2175212800502777,0.009848356246948242
8,2,2,2,0.5501391887664795,0.4498608112335205,2,1,2,1,0.9960943460464478,0.8808231353759766,0.1887899488210678,0.12689842759712136,1.6671202638644331,0.5302106142044067,0.4697894752025604,0.1887899488210678,0.006902158260345459
9,0,0,0,0.5501542091369629,0.4498458206653595,0,1,0,1,0.9999994039535522,0.9980999231338501,0.7409908771514893,0.001901884302072886,0.2997669652982895,0.597516655921936,0.40248337388038635,0.7409908771514893,0.7013074792921543
