round,agent_id,metric,value
0,0,loss,7.677879
0,1,loss,0.0
0,2,loss,0.0
0,3,loss,0.0
0,4,loss,0.0
0,5,loss,0.0
0,6,loss,0.0
0,7,loss,0.0
0,8,loss,0.0
0,9,loss,0.0
1,0,loss,0.0
1,1,loss,0.0
1,2,loss,0.0
1,3,loss,0.0
1,4,loss,0.0
1,5,loss,0.0
1,6,loss,0.0
1,7,loss,0.0
1,8,loss,0.0
1,9,loss,0.0
2,0,loss,0.0
2,1,loss,0.0
2,2,loss,0.0
2,3,loss,0.0
2,4,loss,0.0
2,5,loss,0.0
2,6,loss,0.0
2,7,loss,0.0
2,8,loss,0.0
2,9,loss,0.0
3,0,loss,0.0
3,1,loss,0.0
3,2,loss,0.0
3,3,loss,0.0
3,4,loss,0.0
3,5,loss,0.0
3,6,loss,0.0
3,7,loss,0.0
3,8,loss,0.0
3,9,loss,0.0
4,0,loss,0.0
4,1,loss,0.0
4,2,loss,0.0
4,3,loss,0.0
4,4,loss,0.0
4,5,loss,0.0
4,6,loss,0.0
4,7,loss,0.0
4,8,loss,0.0
4,9,loss,0.0
5,0,loss,0.0
5,1,loss,0.0
5,2,loss,0.0
5,3,loss,0.0
5,4,loss,0.0
5,5,loss,0.0
5,6,loss,0.0
5,7,loss,0.0
5,8,loss,0.0
5,9,loss,0.0
6,0,loss,0.0
6,1,loss,0.0
6,2,loss,0.0
6,3,loss,0.0
6,4,loss,0.0
6,5,loss,0.0
6,6,loss,0.0
6,7,loss,0.0
6,8,loss,0.0
6,9,loss,0.0
7,0,loss,0.0
7,1,loss,0.0
7,2,loss,0.0
7,3,loss,0.0
7,4,loss,0.0
7,5,loss,0.0
7,6,loss,0.0
7,7,loss,0.0
7,8,loss,0.0
7,9,loss,0.0
8,0,loss,0.0
8,1,loss,0.0
8,2,loss,0.0
8,3,loss,0.0
8,4,loss,0.0
8,5,loss,0.0
8,6,loss,0.0
8,7,loss,0.0
8,8,loss,0.0
8,9,loss,0.0
